player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
1007546,Yousri Bouzok,yousri-bouzok,41757,Raja Club Athletic,7.78,,,14,,,8,,22,845,197,1042,81.09,,,95,64,63,65.63,,,3,0,0,31,41.33,51,28,,,,3,50.0,116,36.14,2278,27.45,5,5,,,0,,,,,,,,,43,62.32,17,,2,,,,,,,27,17,,,28,6,1,2,0,,,,0,,,,,,,,,,,0,24,100.0,,,,75,205,3,,,,69,0,,,162.71,0,,,,,,,0,89,,27
1401589,Amine Zouhzouh,amine-zouhzouh,24394,AS FAR Rabat,7.76,,,9,,,7,,16,800,140,940,85.11,,,70,58,90,72.58,,,2,0,0,37,52.86,52,23,,,,11,25.58,170,41.67,2026,17.31,0,0,,,13,,,,,,,,,41,67.21,6,,3,,,,,,,34,16,,,19,1,0,2,0,,,,0,,,,,,,,,,,0,21,0.0,,,,70,238,32,,,,61,0,,,225.11,0,,,,,,,0,88,,29
1140869,Mohamed Saber,mohamed-saber,55049,Moghreb Atlético Tetuán,7.7,,,0,,,0,,0,14,2,16,87.5,,,0,0,0,0.0,,,0,0,0,0,0.0,0,0,,,,0,0.0,1,100.0,90,0.0,0,0,,,0,,,,,,,,,4,100.0,2,,1,,,,,,,1,0,,,0,0,0,0,5,,,,0,,,,,,,,,,,0,1,0.0,,,,0,0,0,,,,4,1,,,,0,,,,,,,8,8,,1
797021,Adam Ennafati,adam-ennafati,41757,Raja Club Athletic,7.69,207.6,27.0,8,,,3,,11,720,244,964,74.69,,,97,40,90,80.36,,,5,0,0,41,29.29,58,26,,,,7,23.33,152,44.57,2058,13.79,0,0,,,4,,,,,,,,,36,48.65,6,,3,,,,,,,13,10,,,13,11,1,1,0,,,,0,,,,,,,,,,,0,23,0.0,,,,140,189,23,,,,74,0,,,257.25,0,,,,,,,0,81,,27
1401592,Ayoub El Khayati,ayoub-el-khayati,24394,AS FAR Rabat,7.6,15.2,2.0,0,,,0,,0,42,8,50,84.0,,,2,0,0,0.0,,,0,0,0,0,0.0,0,0,,,,2,100.0,2,100.0,180,0.0,0,0,,,0,,,,,,,,,14,70.0,3,,0,,,,,,,1,0,,,0,0,0,0,7,,,,1,,,,,,,,,,,0,2,0.0,,,,0,0,0,,,,20,1,,,,0,,,,,,,11,12,,2
1140885,Mehdi Al Harrar,mehdi-harrar,327830,SC Chabab Mohammédia,7.59,53.1,7.0,0,,,0,,0,107,19,126,84.92,,,11,0,0,0.0,,,2,0,0,0,0.0,0,0,,,,7,87.5,8,80.0,630,0.0,0,0,,,0,,,,,,,,,26,63.41,3,,2,,,,,,,2,0,,,0,0,0,0,29,,,,3,,,,,,,,,,,1,7,0.0,,,,0,2,1,,,,41,6,,,,0,,,,,,,76,55,,7
919489,Mohamed Rabie Hrimat,mohamed-rabie-hrimat,24394,AS FAR Rabat,7.57,219.6,29.0,10,,,4,,14,1834,198,2032,90.26,,,322,24,42,67.74,,,3,0,0,8,61.54,45,18,,,,57,50.44,247,44.75,2610,22.22,8,6,,,0,,,,,,,,,89,67.94,37,,11,,,,,,,53,32,,,57,0,7,1,0,,,,0,,,,,,,,,,,0,29,75.0,,,,13,305,56,,,,131,0,,,261.0,0,,,,,,,0,284,,29
970755,Mehdi Maftah,mehdi-maftah,36268,Wydad Casablanca,7.57,22.7,3.0,0,,,0,,0,55,6,61,90.16,,,2,0,0,0.0,,,0,0,0,0,0.0,0,0,,,,3,100.0,4,100.0,270,0.0,0,0,,,0,,,,,,,,,19,79.17,1,,1,,,,,,,2,0,,,0,0,0,0,7,,,,3,,,,,,,,,,,0,3,0.0,,,,0,0,0,,,,24,0,,,,0,,,,,,,19,17,,3
879567,Badereddine Benaachour,badereddine-benaachour,87180,Ittihad Tanger,7.5,,,0,,,0,,0,60,19,79,75.95,,,9,0,0,0.0,,,1,0,0,0,0.0,0,0,,,,7,100.0,10,90.91,446,0.0,0,0,,,0,,,,,,,,,18,51.43,5,,2,,,,,,,3,0,,,1,0,0,0,15,,,,2,,,,,,,,,,,0,4,0.0,,,,0,1,0,,,,35,2,,,,0,,,,,,,31,28,,5
1459304,Sidi Amar Bouna,sidi-amar-bouna,36268,Wydad Casablanca,7.45,,,3,,,0,,3,309,83,392,78.83,,,39,11,43,78.18,,,1,0,0,2,10.53,32,12,,,,13,26.0,108,43.03,969,9.38,0,0,,,1,,,,,,,,,11,45.83,3,,1,,,,,,,8,15,,,16,1,3,0,0,,,,0,,,,,,,,,,,0,10,0.0,,,,19,143,37,,,,24,0,,,323.0,0,,,,,,,0,55,,11
