player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
1007546,Yousri Bouzok,yousri-bouzok,41757,Raja Club Athletic,7.78,14,,63,,8,81.09
1401589,Amine Zouhzouh,amine-zouhzouh,24394,AS FAR Rabat,7.76,9,,90,,7,85.11
1140869,Mohamed Saber,mohamed-saber,55049,Moghreb Atlético Tetuán,7.7,0,,0,,0,87.5
797021,Adam Ennafati,adam-ennafati,41757,Raja Club Athletic,7.69,8,,90,,3,74.69
1401592,Ayoub El Khayati,ayoub-el-khayati,24394,AS FAR Rabat,7.6,0,,0,,0,84.0
1140885,Mehdi Al Harrar,mehdi-harrar,327830,SC Chabab Mohammédia,7.59,0,,0,,0,84.92
919489,Mohamed Rabie Hrimat,mohamed-rabie-hrimat,24394,AS FAR Rabat,7.57,10,,42,,4,90.26
970755,Mehdi Maftah,mehdi-maftah,36268,Wydad Casablanca,7.57,0,,0,,0,90.16
879567,Badereddine Benaachour,badereddine-benaachour,87180,Ittihad Tanger,7.5,0,,0,,0,75.95
1459304,Sidi Amar Bouna,sidi-amar-bouna,36268,Wydad Casablanca,7.45,3,,43,,0,78.83
978955,Youssef El Fahli,youssef-el-fahli,80395,RS Berkane,7.42,9,,98,,4,61.31
1015212,Lahcen Dahdouh,lahcen-dahdouh,297607,Jeunesse Sportive Soualem,7.4,1,,9,,1,79.31
1874639,Abdallah Ziani,abdallah-ziani,80395,RS Berkane,7.4,1,,4,,0,0.0
1140859,Hamza Igamane,hamza-igamane,24394,AS FAR Rabat,7.36,7,,37,,3,70.55
1461412,Hamza Bahaj,hamza-bahaj,327830,SC Chabab Mohammédia,7.35,3,,3,,0,77.28
1014435,Zouhair Marour,zouhair-marour,24394,AS FAR Rabat,7.32,1,,9,,1,90.93
1008621,Ismail Khafi,ismail-khafi,87180,Ittihad Tanger,7.32,13,,60,,0,68.09
1525290,Adil Cherkaoui,adil-cherkaoui,263373,Renaissance Zemamra,7.32,0,,0,,0,78.57
919329,Achraf Harmach,achraf-harmach,55035,MAS de Fès,7.31,0,,52,,2,89.02
970586,Achraf Hilali,achraf-hilali,118830,CA Youssoufia Berrechid,7.3,0,,1,,0,82.45
1476706,Khalid Ait Ouarkhane,khalid-ait-ouarkhane,24394,AS FAR Rabat,7.3,5,,28,,2,85.16
919677,Yahia Attiyat Allah,yahia-attiyat-allah,36268,Wydad Casablanca,7.3,2,,10,,2,83.14
970819,Mohamed Boulacsout,mohamed-boulacsout,41757,Raja Club Athletic,7.3,0,,62,,2,82.89
1212072,Rachid Ghanimi,rachid-ghanimi,55027,Fath Union Sport,7.3,0,,0,,0,91.04
796155,Sabir Bougrine,sabir-bougrine,41757,Raja Club Athletic,7.29,2,,49,,4,82.99
1004427,Omar Jerrari,jerrari-omar,55035,MAS de Fès,7.29,1,,20,,0,84.01
1474715,Mohssine Bourika,mohssine-bourika,55035,MAS de Fès,7.28,12,,29,,3,78.04
307470,Anas Zniti,anas-zniti,41757,Raja Club Athletic,7.27,0,,1,,0,91.45
919753,Marouane Fakhr,marouane-fakhr,263373,Renaissance Zemamra,7.26,0,,0,,0,78.7
855858,Hicham Boussefiane,hicham-boussefiane,36268,Wydad Casablanca,7.25,1,,37,,3,68.75
782542,Hamza El Moussaoui,hamza-el-moussaoui,80395,RS Berkane,7.25,0,,52,,2,81.73
919712,Yahya Jabrane,jabrane-yahya,36268,Wydad Casablanca,7.25,2,,14,,2,87.43
1619134,Driss El-Jabli,driss-el-jabli,55035,MAS de Fès,7.25,0,,5,,0,83.28
919486,Naoufel Zerhouni,naoufel-zerhouni,41757,Raja Club Athletic,7.24,7,,60,,3,81.38
919583,Ayoub Nanah,ayoub-nanah,55027,Fath Union Sport,7.24,7,,37,,6,81.36
972816,Mohamed Walid Bencherifa,mohamed-walid-bencherifa,87180,Ittihad Tanger,7.24,0,,19,,2,78.33
1463237,Badreddine Abyir,badreddine-abyir,55039,Hassania d'Agadir,7.23,0,,0,,0,83.33
1170317,Imad Riahi,imad-riahi,55035,MAS de Fès,7.23,2,,93,,3,78.13
1009912,Khalid Kbiri Alaoui,khalid-kbiri-alaoui,55037,Olympic Safi,7.23,0,,1,,0,76.25
1140872,Mohamed Moufid,mohamed-moufid,24394,AS FAR Rabat,7.23,0,,35,,2,84.21
919761,Larbi Naji,larbi-najji,24394,AS FAR Rabat,7.22,3,,16,,1,88.72
919633,Ayoub Moudden,moudden-ayoub,55049,Moghreb Atlético Tetuán,7.22,0,,9,,0,82.15
973404,El Hadji Kane,el-hadji-kane,87180,Ittihad Tanger,7.21,5,,20,,2,81.84
919532,Yassine Labhiri,yassine-labhiri,80395,RS Berkane,7.21,2,,63,,1,86.39
919484,Youssef Belammari,youssef-belammari,41757,Raja Club Athletic,7.21,1,,33,,2,85.54
971021,Ismail Mokadem,ismail-mokadem,41757,Raja Club Athletic,7.2,0,,6,,0,89.58
1140828,Ayman Dairani,ayman-dairani,118834,Union Touarga Sport,7.19,1,,8,,0,83.02
1404071,Ziad Laafsa,ziad-laafsa,170588,MC Oujda,7.19,0,,0,,0,83.3
190411,Reda Jaadi,reda-jaadi,87180,Ittihad Tanger,7.18,0,,11,,1,84.68
970572,Ayoub El Amloud,el-amloud-ayoub,36268,Wydad Casablanca,7.18,3,,19,,2,77.6
1140862,Hassan Doughmi,hassan-doughmi,297607,Jeunesse Sportive Soualem,7.18,0,,0,,0,80.41
1140958,Moncef Amri,moncef-amri,24394,AS FAR Rabat,7.18,0,,13,,1,78.94
1140945,Hamza El Janati,hamza-el-janati,55035,MAS de Fès,7.18,2,,24,,2,79.42
919671,Mohamed El Morabit,mohamed-el-morabit,80395,RS Berkane,7.16,2,,54,,5,79.56
882322,Badr Gaddarine,badr-gaddarine,36268,Wydad Casablanca,7.16,3,,5,,1,81.08
1186787,Youness Najari,youness-najari,55037,Olympic Safi,7.15,9,,72,,0,63.84
1095732,Oussama Zemraoui,oussama-zemraoui,36268,Wydad Casablanca,7.15,2,,51,,1,84.9
970606,Ayoub Boucheta,ayoub-boucheta,36268,Wydad Casablanca,7.15,2,,32,,3,78.51
1799533,Mohamed Amine Ouakaf,mohamed-amine-ouakaf,55035,MAS de Fès,7.15,1,,4,,0,66.67
359280,Ahmed Reda Tagnaouti,ahmed-reda-tagnaouti,55035,MAS de Fès,7.15,0,,0,,0,90.91
1525311,Mohamed Habbali,mohamed-habbali,263373,Renaissance Zemamra,7.15,7,,37,,4,75.04
980301,Gaya Merbah,gaya-merbah,87180,Ittihad Tanger,7.15,0,,0,,0,83.68
1401591,Ayman Hadidi,ayman-hadidi,297607,Jeunesse Sportive Soualem,7.14,1,,15,,0,73.77
1182584,Youssef Mehri,youssef-mehri,80395,RS Berkane,7.14,7,,68,,1,78.86
970617,Mohamed El Khaloui,mohamed-el-khaloui,297607,Jeunesse Sportive Soualem,7.13,5,,71,,3,75.52
919533,Ahmed Hammoudan,ahmed-hammoudan,24394,AS FAR Rabat,7.13,4,,83,,2,74.6
1008280,Hilal Ferdaoussi,hilal-ferdaoussi,55049,Moghreb Atlético Tetuán,7.11,2,,29,,0,81.51
919690,Zakaria Nassik,zakaria-nassik,55035,MAS de Fès,7.1,1,,4,,4,83.33
359284,Omar Arjoune,omar-arjoune,80395,RS Berkane,7.1,0,,9,,2,88.1
359290,Zouhair El Moutaraji,zouhair-el-moutaraji,36268,Wydad Casablanca,7.1,0,,1,,1,0.0
1874626,Ali Meftah,ali-meftah,80395,RS Berkane,7.1,0,,1,,0,83.33
1140810,Abdelkarim Ialioune,abdelkarim-ialioune,55039,Hassania d'Agadir,7.1,0,,0,,0,75.68
1008634,Mohamed Ferni,mohamed-ferni,263373,Renaissance Zemamra,7.1,0,,0,,0,81.53
880101,Hamza El Wasti,hamza-el-wasti,87180,Ittihad Tanger,7.1,1,,52,,5,75.28
1545319,Melo Ndiaye,melo-ndiaye,118830,CA Youssoufia Berrechid,7.1,0,,13,,0,82.84
884819,Mahmoud Benhalib,mahmoud-benhalib,263373,Renaissance Zemamra,7.09,4,,21,,3,70.33
1014377,Et-Tayeb Boukhriss,et-tayeb-boukhriss,24394,AS FAR Rabat,7.09,0,,15,,0,82.73
919551,Yahia El Filali,yahia-el-filali,55049,Moghreb Atlético Tetuán,7.09,0,,2,,0,81.13
1103725,Ade Oguns,ade-oguns,36268,Wydad Casablanca,7.09,5,,24,,2,77.0
1140959,Karim El Bounagate,karim-el-bounagate,55037,Olympic Safi,7.08,0,,2,,0,79.06
970766,Abdellah Khafifi,abdellah-khafifi,41757,Raja Club Athletic,7.08,2,,5,,0,89.67
973040,Elhadji Konate,elhadji-konate,87180,Ittihad Tanger,7.07,0,,4,,2,86.01
919701,Abdelkarim Baadi,baadi-abdelkarim,80395,RS Berkane,7.07,0,,42,,1,79.25
919477,Anas Bach,anas-bach,55027,Fath Union Sport,7.07,0,,36,,2,85.55
970611,Abderrahim Khadou,abderrahim-khadou,263373,Renaissance Zemamra,7.07,1,,3,,0,76.07
1402221,Abdelhay El Forsy,abdelhay-el-forsy,263373,Renaissance Zemamra,7.07,2,,61,,3,78.53
1525865,Aymen Moutawi,aymen-moutawi,263373,Renaissance Zemamra,7.07,1,,22,,1,71.04
975834,Ilyes Chetti,ilyes-chetti,36268,Wydad Casablanca,7.07,0,,21,,0,83.09
1151070,Tahar El Khalej,tahar-el-khalej,118834,Union Touarga Sport,7.07,0,,3,,0,83.09
