player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
873554,Omar Marmoush,omar-marmoush,2674,Eintracht Frankfurt,8.16,15,8.87,46,12,9,79.59
259117,Joshua Kimmich,joshua-kimmich,2672,FC Bayern München,7.91,3,1.77,12,47,6,92.93
978838,Michael Olise,michael-olise,2672,FC Bayern München,7.91,12,9.75,72,36,15,86.21
108579,Harry Kane,harry-kane,2672,FC Bayern München,7.73,26,20.47,23,13,8,80.71
1019322,Florian Wirtz,florian-wirtz,2681,Bayer 04 Leverkusen,7.68,10,9.4,82,32,12,82.33
997183,Xavi Simons,xavi-simons,36360,RB Leipzig,7.58,10,5.11,33,28,7,82.9
1010231,Jamal Musiala,jamal-musiala,2672,FC Bayern München,7.58,12,9.32,72,36,2,83.53
1149294,Tiago Pereira Cardoso,cardoso-tiago-pereira,2527,Borussia M'gladbach,7.56,0,,0,1,0,71.34
280453,Franck Honorat,franck-honorat,2527,Borussia M'gladbach,7.43,4,4.53,12,17,7,75.55
117777,Granit Xhaka,granit-xhaka,2681,Bayer 04 Leverkusen,7.41,2,0.91,7,48,7,90.85
901882,Angelo Stiller,angelo-stiller,2677,VfB Stuttgart,7.38,1,1.76,20,49,8,89.9
788949,Maximilian Mittelstädt,maximilian-mittelstadt,2677,VfB Stuttgart,7.37,1,0.88,21,79,7,87.37
578166,Moritz Nicolas,moritz-nicolas,2527,Borussia M'gladbach,7.37,0,,0,0,0,82.86
798583,Dayot Upamecano,dayot-upamecano,2672,FC Bayern München,7.37,2,1.21,3,36,0,94.08
327755,Nadiem Amiri,nadiem-amiri,2556,1. FSV Mainz 05,7.32,7,5.47,32,50,5,82.53
177177,Alejandro Grimaldo,alex-grimaldo,2681,Bayer 04 Leverkusen,7.3,2,2.51,20,24,7,86.39
171961,Vincenzo Grifo,vincenzo-grifo,2538,SC Freiburg,7.3,8,7.8,25,30,11,82.02
945063,Mohamed Simakan,mohamed-simakan,36360,RB Leipzig,7.3,0,,0,0,0,81.4
228981,Tim Kleindienst,tim-kleindienst,2527,Borussia M'gladbach,7.29,16,13.51,14,30,7,62.0
136933,Marius Müller,marius-muller,2524,VfL Wolfsburg,7.28,0,,0,0,0,66.14
246999,Raphaël Guerreiro,raphael-guerreiro,2672,FC Bayern München,7.28,4,2.86,10,19,3,90.01
1048422,Hugo Ekitiké,hugo-ekitike,2674,Eintracht Frankfurt,7.27,15,21.67,52,16,8,76.44
136924,Willi Orbán,willi-orban,36360,RB Leipzig,7.27,5,4.0,3,38,0,88.05
126346,Thomas Dähne,thomas-dahne,2573,Holstein Kiel,7.27,0,,0,0,0,73.24
258325,Marvin Ducksch,marvin-ducksch,2534,SV Werder Bremen,7.27,8,10.11,7,10,8,70.58
822564,Finn Dahmen,finn-dahmen,2600,FC Augsburg,7.26,0,,0,1,0,67.51
1129935,Tom Bischof,tom-bischof,2569,TSG Hoffenheim,7.26,5,2.2,29,95,2,83.67
328027,Serhou Guirassy,serhou-guirassy,2673,Borussia Dortmund,7.26,21,22.9,11,7,2,72.96
37096,Péter Gulácsi,peter-gulacsi,36360,RB Leipzig,7.26,0,,0,1,0,79.37
1134203,Kauã Santos,kaua-dos-santos,2674,Eintracht Frankfurt,7.26,0,,0,0,0,66.67
830127,Romano Schmid,romano-schmid,2534,SV Werder Bremen,7.25,5,4.34,45,43,4,79.0
843665,Alphonso Davies,alphonso-davies,2672,FC Bayern München,7.24,1,1.24,31,30,2,91.07
799046,Waldemar Anton,waldemar-anton,2673,Borussia Dortmund,7.22,2,1.65,20,34,2,91.46
939830,Jonathan Burkardt,jonathan-burkardt,2556,1. FSV Mainz 05,7.22,18,14.8,16,15,2,74.64
1159759,Nathaniel Brown,nathaniel-brown,2674,Eintracht Frankfurt,7.22,3,2.18,11,71,6,85.76
980621,Paul Nebel,paul-nebel,2556,1. FSV Mainz 05,7.21,10,5.73,25,38,4,78.18
1069252,Lasse Riess,lasse-riess,2556,1. FSV Mainz 05,7.2,0,,0,0,0,59.74
987437,Ben Voll,ben-voll,2526,FC St. Pauli,7.2,0,,0,0,0,51.11
830142,Jens Stage,jens-stage,2534,SV Werder Bremen,7.2,10,7.18,8,49,5,78.51
856076,David Raum,david-raum,36360,RB Leipzig,7.2,1,0.49,11,38,5,78.6
280609,Patrik Schick,patrik-schick,2681,Bayer 04 Leverkusen,7.19,21,12.52,10,6,0,78.36
293127,Denis Vavro,denis-vavro,2524,VfL Wolfsburg,7.19,2,1.37,3,21,0,87.57
980626,Noah Atubolu,noah-atubolu,2538,SC Freiburg,7.18,0,,0,0,0,71.89
855663,Diogo Leite,diogo-leite,2547,1. FC Union Berlin,7.18,1,1.31,10,61,2,78.43
293519,Leroy Sané,leroy-sane,2672,FC Bayern München,7.18,11,10.23,39,23,5,86.44
537552,Jae-sung Lee,jae-sung-lee,2556,1. FSV Mainz 05,7.18,7,5.3,11,42,6,79.98
822600,Exequiel Palacios,exequiel-palacios,2681,Bayer 04 Leverkusen,7.18,1,1.52,8,22,6,90.21
1107591,Mohamed Amoura,mohamed-el-amine-amoura,2524,VfL Wolfsburg,7.17,10,8.96,37,29,9,72.75
790965,Ritsu Doan,ritsu-doan,2538,SC Freiburg,7.17,10,6.45,56,66,7,75.6
796047,Aleix García,aleix-garcia,2681,Bayer 04 Leverkusen,7.17,3,0.97,4,13,4,91.06
1002837,Piero Hincapié,piero-hincapie,2681,Bayer 04 Leverkusen,7.17,2,2.94,5,52,2,89.36
174345,Robin Zentner,robin-zentner,2556,1. FSV Mainz 05,7.15,0,0.01,0,2,0,58.98
822877,Alexis Claude-Maurice,alexis-claude-maurice,2600,FC Augsburg,7.15,9,4.74,42,41,2,84.63
1142251,Aleksandar Pavlović,aleksandar-pavlovic,2672,FC Bayern München,7.14,1,0.56,5,38,0,93.54
896569,Kim Min-jae,kim-min-jae,2672,FC Bayern München,7.14,2,1.64,3,35,0,92.59
826069,Jonas Wind,jonas-wind,2524,VfL Wolfsburg,7.14,9,5.71,6,10,3,71.55
67647,Andrej Kramarić,andrej-kramaric,2569,TSG Hoffenheim,7.14,11,11.82,20,15,8,83.52
963198,Chrislain Matsima,chrislain-matsima,2600,FC Augsburg,7.14,1,1.82,7,31,1,86.46
147289,Maximilian Arnold,maximilian-arnold,2524,VfL Wolfsburg,7.13,3,0.89,1,34,5,84.13
184661,Leon Goretzka,leon-goretzka,2672,FC Bayern München,7.13,4,2.76,7,21,1,90.57
226978,Julian Brandt,julian-brandt,2673,Borussia Dortmund,7.13,5,4.76,19,26,10,82.62
48480,Pascal Groß,pascal-gro,2673,Borussia Dortmund,7.13,0,2.4,3,44,10,85.94
963801,Adam Hložek,adam-hlozek,2569,TSG Hoffenheim,7.13,8,5.54,33,22,3,70.89
325061,Nikola Vasilj,nikola-vasilj,2526,FC St. Pauli,7.12,0,,1,0,0,71.64
280441,Kingsley Coman,kingsley-coman,2672,FC Bayern München,7.12,5,4.34,39,17,4,88.6
920525,Moritz Jenz,jenz-moritz,2556,1. FSV Mainz 05,7.12,0,1.55,2,36,0,84.34
282229,Nico Elvedi,nico-elvedi,2527,Borussia M'gladbach,7.12,1,2.04,0,38,1,92.22
227672,Jonathan Tah,jonathan-tah,2681,Bayer 04 Leverkusen,7.11,3,1.12,3,19,0,93.12
921789,Rasmus Kristensen,rasmus-kristensen,2674,Eintracht Frankfurt,7.11,5,2.5,22,59,3,79.31
889861,Anton Stach,anton-stach,2569,TSG Hoffenheim,7.1,1,2.01,15,66,2,83.4
1864760,Hennes Behrens,hennes-behrens,2569,TSG Hoffenheim,7.1,0,,1,1,0,71.43
137692,Frederik Rønnow,frederik-rnnow,2547,1. FC Union Berlin,7.1,0,0.09,1,0,0,63.59
146853,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,2600,FC Augsburg,7.09,1,1.71,7,50,4,83.6
801030,Atakan Karazor,atakan-karazor,2677,VfB Stuttgart,7.09,2,2.26,12,59,4,87.09
965778,Arthur Theate,arthur-theate,2674,Eintracht Frankfurt,7.09,0,2.4,10,36,0,84.44
581302,Robin Koch,robin-koch,2674,Eintracht Frankfurt,7.09,3,1.74,1,24,0,90.8
