player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
842718,Matheo Raab,matheo-raab,2547,1. FC Union Berlin,9.7,0,,0,0,0,53.13
1030355,Sander Tangvik,sander-tangvik,2676,Hamburger SV,8.8,0,,0,0,0,66.67
978838,Michael Olise,michael-olise,2672,FC Bayern München,7.87,15,11.46,65,24,19,84.14
108579,Harry Kane,harry-kane,2672,FC Bayern München,7.84,36,26.87,32,19,5,81.02
1083359,Frank Feller,frank-feller,5885,1. FC Heidenheim,7.77,0,,0,1,0,71.55
2087085,Yan Diomande,yan-diomande,36360,RB Leipzig,7.72,12,7.14,118,29,8,83.97
259117,Joshua Kimmich,joshua-kimmich,2672,FC Bayern München,7.71,2,2.65,11,32,8,92.38
940871,Nico Schlotterbeck,nico-schlotterbeck,2673,Borussia Dortmund,7.67,5,3.72,15,50,1,88.26
26768,Sven Ulreich,sven-ulreich,2672,FC Bayern München,7.6,0,,0,0,0,47.37
991591,Karl Hein,karl-hein,2534,SV Werder Bremen,7.6,0,,1,0,0,75.45
826205,Dan Zagadou,dan-zagadou,2677,VfB Stuttgart,7.53,0,0.34,1,5,0,86.38
1568521,Mick Schmetgens,mick-schmetgens,2534,SV Werder Bremen,7.5,0,,0,1,0,90.0
796047,Aleix García,aleix-garcia,2681,Bayer 04 Leverkusen,7.45,3,2.29,4,26,8,92.88
1386651,Leo Scienza,leo-scienza,5885,1. FC Heidenheim,7.45,1,0.13,3,2,0,75.68
327755,Nadiem Amiri,nadiem-amiri,2556,1. FSV Mainz 05,7.43,12,10.4,25,31,2,81.28
94312,Daniel Batz,daniel-batz,2556,1. FSV Mainz 05,7.42,0,,0,0,0,63.86
577726,Ramy Bensebaini,ramy-bensebaini,2673,Borussia Dortmund,7.38,5,3.11,4,28,2,87.41
578166,Moritz Nicolas,moritz-nicolas,2527,Borussia M'gladbach,7.34,0,,0,1,0,70.68
856076,David Raum,david-raum,36360,RB Leipzig,7.33,3,2.2,16,48,7,80.78
177177,Alejandro Grimaldo,alex-grimaldo,2681,Bayer 04 Leverkusen,7.31,8,6.65,25,49,8,87.4
1405212,Luka Vušković,luka-vuskovic,2676,Hamburger SV,7.28,6,4.22,8,22,0,83.05
883537,Luis Díaz,luis-diaz,2672,FC Bayern München,7.26,15,15.1,61,21,14,85.81
96832,Janis Blaswich,janis-blaswich,2681,Bayer 04 Leverkusen,7.25,0,,0,0,0,74.19
901882,Angelo Stiller,angelo-stiller,2677,VfB Stuttgart,7.25,2,3.08,14,49,5,88.12
794962,Maximilian Wöber,maximilian-wober,2534,SV Werder Bremen,7.25,0,,0,1,0,50.0
799046,Waldemar Anton,waldemar-anton,2673,Borussia Dortmund,7.25,2,1.74,13,73,0,89.85
227672,Jonathan Tah,jonathan-tah,2672,FC Bayern München,7.24,2,0.71,3,24,1,96.31
1500263,Aarón Anselmino,anselmino-aaron,2673,Borussia Dortmund,7.24,1,0.07,1,9,0,87.32
896569,Kim Min-jae,kim-min-jae,2672,FC Bayern München,7.23,1,0.62,1,22,1,94.94
148167,Carl Klaus,carl-klaus,2547,1. FC Union Berlin,7.23,0,,0,0,0,61.47
138156,Emre Can,emre-can,2673,Borussia Dortmund,7.22,3,2.45,3,12,0,86.22
1518931,Johan Manzambi,johan-manzambi,2538,SC Freiburg,7.22,5,3.85,33,35,4,84.45
136924,Willi Orbán,willi-orban,36360,RB Leipzig,7.22,2,2.38,6,47,0,89.66
1006489,Loïc Badé,loic-bade,2681,Bayer 04 Leverkusen,7.21,0,1.29,3,33,0,92.12
902080,Kamil Grabara,kamil-grabara,2524,VfL Wolfsburg,7.21,0,0.04,1,1,0,66.0
788949,Maximilian Mittelstädt,maximilian-mittelstadt,2677,VfB Stuttgart,7.2,6,4.4,14,67,4,86.17
883262,Edmond Tapsoba,edmond-tapsoba,2681,Bayer 04 Leverkusen,7.2,5,2.5,8,31,3,90.95
584722,Alexander Nübel,alexander-nubel,2677,VfB Stuttgart,7.19,0,,0,0,1,69.77
1130647,Jonas Urbig,jonas-urbig,2672,FC Bayern München,7.19,0,,0,0,0,83.41
1440948,Can Uzun,can-uzun,2674,Eintracht Frankfurt,7.19,8,3.93,16,15,4,81.62
794298,Deniz Undav,deniz-undav,2677,VfB Stuttgart,7.19,19,16.4,9,18,6,72.64
1142251,Aleksandar Pavlović,aleksandar-pavlovic,2672,FC Bayern München,7.18,3,1.6,4,26,1,94.55
113442,Daniel Fernandes,daniel-fernandes,2676,Hamburger SV,7.18,0,0.26,1,0,0,74.16
1198075,Brajan Gruda,gruda-brajan,36360,RB Leipzig,7.18,3,3.44,21,8,3,78.46
904835,Fábio Vieira,fabio-vieira,2676,Hamburger SV,7.18,7,4.65,32,20,5,83.02
891510,Chris Führich,chris-fuhrich,2677,VfB Stuttgart,7.17,7,4.26,28,15,7,82.97
798583,Dayot Upamecano,dayot-upamecano,2672,FC Bayern München,7.16,1,1.03,4,44,1,92.6
556866,Gregor Kobel,gregor-kobel,2673,Borussia Dortmund,7.14,0,,0,0,0,72.13
