player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
1129365,Anton Kade,anton-kade,2600,FC Augsburg,9.6,9.6,1,1,2,3,1,0.88,2,18,9,27,66.67,6,12,7,3,1,50.0,0,0,0,0,0,0,0.0,6,4,1,2,28.57,2,50.0,4,36.36,90,16.67,0,0,0,0,0,0,0,1,5,1,0,0,1,3,75.0,1,0,0,2,14,1,1,1,46,1,1,0,0,1,0,1,0,0,10.52,24,34.39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,7,2,0,0,0,4,0,0,0.0,90.0,0,0,0,8,19,1,1.06,0,2,0,1
1019321,Igor Matanović,igor-matanovic,2538,SC Freiburg,8.6,25.8,3,3,1,1,1,0.63,4,33,17,50,66.0,7,26,15,3,8,72.73,1,1,0,0,0,0,0.0,13,7,2,14,66.67,12,60.0,26,63.41,241,23.08,0,0,0,0,0,0,1,2,7,6,1,0,2,3,100.0,11,0,0,2,34,3,1,1,119,5,1,0,0,1,1,4,0,0,27.42,36,29.59,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,11,0,15,8,0,0,0,3,0,1,100.0,80.33,0,0,0,11,39,2,1.71,0,14,1,3
788949,Maximilian Mittelstädt,maximilian-mittelstadt,2677,VfB Stuttgart,8.3,24.9,3,1,4,0,1,1.2,2,116,28,144,80.56,35,81,28,11,2,50.0,8,5,1,0,0,10,34.48,3,1,0,11,57.89,3,60.0,14,58.33,258,33.33,0,0,0,0,0,0,1,0,1,2,0,1,0,2,33.33,5,0,0,2,53,2,9,2,226,1,2,0,0,2,0,2,0,0,29.9,34,33.19,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,11,4,29,10,2,0,0,0,6,7,5,62.5,258.0,0,0,0,41,103,2,0.25,0,10,3,3
1048650,Rocco Reitz,rocco-reitz,36360,RB Leipzig,8.1,8.1,1,1,0,0,0,0.11,1,19,7,26,73.08,7,12,10,3,1,50.0,0,0,0,0,0,0,0.0,2,1,0,3,50.0,0,0.0,3,50.0,83,50.0,0,0,0,0,0,0,1,0,2,0,0,0,1,3,50.0,2,0,0,1,12,0,4,1,41,2,1,0,0,0,0,1,0,0,9.81,12,32.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,3,0,0,0,0,6,0,0,0.0,83.0,0,0,0,10,16,0,0.46,0,2,0,1
174135,Loris Karius,loris-karius,2530,FC Schalke 04,8.1,24.3,3,0,0,0,0,0.01,0,34,64,98,34.69,17,17,4,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,1,100.0,0,0.0,1,50.0,270,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21.95,0,0,1,0,65,0,9,2,135,1,0,0,0,0,0,0,0,22,,,,1,0,0,14,7,3,1,0,0,0,3,0,3,0,0,0,0,0,1,1,0,0,0,82,4,0,0.0,0.0,0,0,6,26,72,0,,27,34,0,3
822564,Finn Dahmen,finn-dahmen,2600,FC Augsburg,8.1,24.3,3,0,0,0,0,0.0,0,78,36,114,68.42,63,15,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,100.0,1,50.0,270,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37.5,4,0,0,0,38,0,7,5,156,1,0,0,0,1,0,0,0,14,,,,1,0,0,9,5,3,0,2,2,2,3,0,3,0,0,0,0,0,1,0,0,0,0,56,3,0,0.0,0.0,0,0,3,69,45,1,,21,42,0,3
1048651,Nahuel Noll,nahuel-noll,2561,SC Paderborn 07,8.1,24.3,3,0,0,0,0,0.02,0,126,44,170,74.12,103,23,12,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,100.0,1,100.0,270,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,44.87,8,0,0,0,45,0,45,23,202,0,0,0,0,0,0,0,0,13,,,,1,0,0,8,5,4,0,5,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,78,4,0,0.0,0.0,0,0,3,111,59,0,,9,24,0,3
1198075,Brajan Gruda,gruda-brajan,36360,RB Leipzig,8.1,16.2,2,0,0,0,0,1.04,0,61,16,77,79.22,21,40,30,3,8,53.33,2,0,0,0,0,1,33.33,4,2,2,14,51.85,0,0.0,14,51.85,163,0.0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,75.0,0,0,0,3,32,2,8,5,119,4,2,0,0,1,0,0,0,0,16.93,14,35.01,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,15,3,13,0,0,0,0,4,0,0,0.0,0.0,0,0,0,22,55,1,0.23,0,11,0,2
1121923,Antonio Nusa,antonio-nusa,36360,RB Leipzig,8.07,24.2,3,2,3,0,2,0.39,4,68,21,89,76.4,14,54,32,5,9,60.0,4,0,1,0,0,2,33.33,8,5,3,21,65.63,0,0.0,21,60.0,252,25.0,0,0,0,0,0,0,1,1,6,2,0,0,2,2,40.0,0,0,0,3,38,2,7,1,143,8,1,1,0,1,0,0,0,0,24.33,42,35.13,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,15,6,14,3,0,0,0,5,3,2,50.0,126.0,0,0,0,15,74,1,0.42,0,13,0,3
259117,Joshua Kimmich,joshua-kimmich,2672,FC Bayern München,8.07,24.2,3,0,4,0,2,1.29,2,216,23,239,90.38,55,161,80,6,1,100.0,2,4,0,0,0,5,31.25,1,1,0,7,87.5,3,60.0,10,76.92,205,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,76.0,1,0,0,0,41,1,29,15,284,4,0,0,0,1,1,0,0,0,27.34,17,30.35,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,1,16,3,2,0,0,0,25,1,2,100.0,0.0,0,0,0,61,178,1,0.03,0,14,1,3
