player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
918622,Naser Mansi,naser-mansi,42368,Zamalek SC,8.1,16.2,2,3,0,2,0,,3,12,9,21,57.14,3,9,5,0,1,100.0,1,0,0,0,0,0,0.0,8,6,2,4,44.44,5,50.0,9,47.37,109,37.5,0,0,0,0,0,0,2,1,7,1,1,0,2,0,0.0,1,0,0,1,12,0,0,0,38,2,2,0,0,2,0,0,0,0,,,,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0.0,0,1,0,10,5,0,0,0,0,6,1,100.0,36.33,0,0,0,4,17,1,,,,,3
975839,Badreddine Souyad,badreddine-souyad,42202,JS Kabylie,7.57,22.7,3,1,0,0,0,,1,71,12,83,85.54,62,9,3,0,0,0.0,4,4,1,0,0,0,0.0,2,1,1,6,75.0,7,77.78,13,76.47,270,50.0,0,0,0,0,0,0,1,0,2,0,1,0,0,5,41.67,22,0,0,0,14,0,6,3,124,2,1,0,0,1,0,0,0,0,,,,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0.0,0,0,0,4,2,0,0,0,12,1,1,25.0,270.0,0,0,0,68,15,1,,,,,3
547494,Zizo,zizo,42368,Zamalek SC,7.53,45.2,6,1,4,0,2,,3,143,26,169,84.62,39,120,67,19,12,46.15,4,2,2,0,0,16,29.09,16,5,8,31,46.97,3,30.0,34,44.74,540,6.25,1,1,0,0,4,0,1,0,7,9,0,0,1,7,87.5,0,0,0,11,109,6,7,5,334,15,7,1,0,4,1,3,0,0,,,,1,0,0,0,0,9,0,0,0,0,0,0,6,100,0.0,19,26,55,42,7,0,0,0,8,9,1,25.0,540.0,0,0,0,45,179,2,,,,,6
1097370,Ibrahima Sory Doumbouya,ibrahima-sory-doumbouya,134322,Horoya,7.5,7.5,1,0,0,0,0,,0,38,13,51,74.51,25,13,4,0,0,0.0,2,1,0,0,0,0,0.0,0,0,0,5,100.0,9,81.82,14,87.5,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41.67,3,0,0,0,14,0,8,4,64,3,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,2,2,0,0,0,12,0,2,100.0,0.0,0,0,0,32,19,0,,,,,1
1393732,Rafaat Khalil,rafaat-khalil,6910,Al Ahly FC,7.4,7.4,1,1,0,0,0,,1,5,3,8,62.5,2,3,0,0,1,100.0,0,0,0,0,0,0,0.0,1,1,0,1,100.0,0,0.0,1,100.0,18,100.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,0.0,18.0,0,0,0,3,5,0,,,,,1
943962,Peter Shalulile,peter-shalulile,7665,Mamelodi Sundowns,7.35,58.8,8,6,2,3,1,,7,90,21,111,81.08,26,66,39,7,5,50.0,4,0,0,0,0,2,40.0,22,11,7,21,46.67,8,47.06,29,46.77,671,27.27,0,0,0,0,0,0,6,0,22,0,1,3,2,2,50.0,7,0,0,2,57,3,5,2,216,12,10,1,0,7,14,4,0,0,,,,0,0,0,0,0,7,1,0,0,0,0,0,8,0,0.0,7,10,5,33,9,0,0,0,4,8,3,75.0,111.83,0,0,0,29,87,3,,,,,8
919681,Hamza Khabba,khabba-hamza,41757,Raja Club Athletic,7.34,51.4,7,5,2,2,1,,6,101,42,143,70.63,26,76,43,6,5,41.67,4,0,0,0,0,1,25.0,12,5,6,20,39.22,22,61.11,42,48.28,535,41.67,1,1,1,0,0,0,3,2,10,2,1,1,3,2,50.0,5,0,0,7,74,5,3,3,234,12,11,1,0,7,7,1,0,0,,,,1,0,0,0,0,3,1,0,0,0,0,0,7,100,0.0,6,12,4,45,14,0,0,0,4,4,2,50.0,107.0,0,0,0,28,119,2,,,,,7
1007532,Adem Redjem,adem-redjem,42202,JS Kabylie,7.33,22.0,3,1,0,0,0,,1,30,9,39,76.92,10,22,9,1,16,76.19,2,1,1,0,0,2,66.67,2,2,0,23,74.19,0,0.0,23,74.19,74,50.0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,50.0,0,0,0,1,18,0,3,0,78,5,3,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,21,3,8,0,0,0,0,2,1,1,50.0,74.0,0,0,0,11,31,1,,,,,3
559504,Themba Zwane,themba-zwane,7665,Mamelodi Sundowns,7.33,51.3,7,3,0,1,1,,4,316,41,357,88.52,90,227,122,15,13,61.9,9,5,0,0,0,1,50.0,11,6,4,28,49.12,0,0.0,28,48.28,569,27.27,0,0,0,0,0,0,2,1,7,4,0,0,3,5,71.43,3,0,0,12,88,10,8,6,475,6,7,0,0,3,0,1,0,0,,,,0,0,0,0,0,7,1,0,0,0,0,0,7,0,0.0,15,21,2,30,1,0,0,0,7,8,6,66.67,189.67,0,0,0,98,261,3,,,,,7
1169364,David Abagna,david-abagna,69322,Al-Hilal Omdurman,7.33,29.3,4,1,1,0,0,,1,87,25,112,77.68,41,46,24,2,4,80.0,11,5,0,0,0,0,0.0,7,4,2,16,72.73,0,0.0,16,59.26,273,14.29,0,0,0,0,0,0,1,0,5,2,0,0,1,1,50.0,1,0,0,1,42,2,4,1,165,1,3,1,0,1,0,1,0,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0.0,2,5,6,11,5,0,0,0,2,2,6,54.55,273.0,0,0,0,46,72,1,,,,,4
