player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
796371,Djigui Diarra,djigui-diarra,134320,Young Africans SC,7.57,0,,0,0,0,68.89
873544,Osama Galal,osama-galal,175002,Pyramids FC,7.55,0,,1,4,0,93.66
295361,Mahmoud Trézéguet,mahmoud-trezeguet,6910,Al Ahly FC,7.51,6,2.43,11,5,1,84.33
1166995,Soumaila Sidibe,soumaila-sidibe,80395,RS Berkane,7.4,0,,3,1,0,78.79
1427164,N'Golo Traoré,ngolo-traore,69326,Stade Malien,7.38,0,,0,0,0,41.11
1017196,Abdelrazig Omer,abdelrazig-omer,69322,Al-Hilal Omdurman,7.35,5,2.88,1,4,1,71.43
1469685,Ibrahim Hamad,ibrahim-hamad-bacca,134320,Young Africans SC,7.33,1,0.78,0,14,0,84.98
873548,Nasser Maher,nasser-maher,175002,Pyramids FC,7.32,2,0.79,1,0,1,82.69
1501390,Esdras Kabamba,esdras-kabamba,371343,FC Saint-Éloi Lupopo,7.3,0,,0,0,0,55.0
1518450,Marouane Louadni,marwan-louadni,24394,AS FAR Rabat,7.3,0,0.6,0,29,0,77.84
1013699,Marwan Attia,attia-marwan,6910,Al Ahly FC,7.28,0,0.07,2,19,0,87.76
845274,Mounir Chouiar,mounir-chouiar,80395,RS Berkane,7.27,4,3.61,15,8,1,82.72
921022,Neo Maema,maema-neo,212409,Simba SC,7.27,1,0.12,3,2,0,85.05
848867,Ewerton,ewerton,175002,Pyramids FC,7.25,1,0.54,3,1,0,82.76
1094526,Mohamed Réda Hamidi,mohamed-reda-hamidi,42202,JS Kabylie,7.22,0,0.28,2,13,0,75.86
1031287,Anicet Oura,oura-anicet,212409,Simba SC,7.2,2,1.22,4,2,0,80.49
1465314,Djibrilla Kassali Djibo,mahamadou-tanja,212409,Simba SC,7.2,0,,1,1,0,65.81
307470,Anas Zniti,anas-zniti,80395,RS Berkane,7.2,0,,0,1,0,74.59
918592,Ahmed Samy,ahmed-samy,175002,Pyramids FC,7.17,0,0.28,0,4,1,89.98
873546,Mahmoud Marei,mahmoud-marei,175002,Pyramids FC,7.16,0,0.02,1,16,0,85.9
359280,Ahmed Reda Tagnaouti,ahmed-reda-tagnaouti,24394,AS FAR Rabat,7.15,0,,0,0,0,52.75
846722,Bernardo Dias,bernardo-dias,148072,Atlético Petróleos de Luanda,7.15,1,1.05,5,5,1,89.59
1564226,Ismaila Simpara,ismaila-simpara,69326,Stade Malien,7.14,1,0.2,0,6,0,65.96
1528546,Rúben,ruben,148072,Atlético Petróleos de Luanda,7.13,0,,1,9,0,86.0
1185674,Josaphat Arthur Bada,josaphat-arthur-bada,42202,JS Kabylie,7.12,0,0.06,4,12,0,84.95
930552,Nuno Santos,nuno-santos,7665,Mamelodi Sundowns,7.11,2,1.47,4,7,4,81.58
1102957,Paul Bassène,paul-bassene,80395,RS Berkane,7.1,3,2.45,2,5,0,80.16
1012937,Mohamed Idir Hadid,mohamed-idir-hadid,42202,JS Kabylie,7.1,0,,0,0,0,73.91
2139701,Anthony Richard Mligo,anthony-richard-mligo,212409,Simba SC,7.1,0,,0,8,0,66.67
1048378,Mostafa Shobeir,mostafa-shobeir,6910,Al Ahly FC,7.1,0,,0,0,0,76.05
1155596,Mamadou Lamine Camara,camara-mamadou-lamine,80395,RS Berkane,7.1,0,0.34,3,8,0,81.7
881117,Teboho Mokoena,teboho-mokoena,7665,Mamelodi Sundowns,7.08,2,0.7,4,18,0,86.7
359378,Chiheb Jbéli,chiheb-jbeli,59628,Espérance Sportive De Tunis,7.08,0,0.09,4,4,1,83.01
918506,Mohanad Lasheen,mohanad-lasheen,175002,Pyramids FC,7.08,0,0.07,2,11,0,88.74
837099,Aubrey Modiba,aubrey-modiba,7665,Mamelodi Sundowns,7.07,1,0.31,3,14,2,87.01
892309,Miguel Reisinho,miguel-reisinho,7665,Mamelodi Sundowns,7.07,0,0.22,0,2,1,81.72
919642,Mohamed Chibi,chibi-mohamed,175002,Pyramids FC,7.06,0,0.32,5,2,1,80.18
1173879,Ahmed Atef,ahmed-atef,175002,Pyramids FC,7.05,4,1.64,3,13,0,78.7
2073087,Yakoub Suleiman,yakoub-suleiman,212409,Simba SC,7.05,0,,0,0,0,77.78
918723,Mohamed Hamdi,mohamed-hamdi,175002,Pyramids FC,7.05,0,0.12,0,1,0,71.43
1612715,Dramane Traoré,dramane-traore,69326,Stade Malien,7.05,0,0.02,0,5,0,71.43
1425274,Mahmoud Zalaka,mahmoud-zalaka,175002,Pyramids FC,7.04,2,1.8,5,21,2,78.26
822446,Marcelo Allende,marcelo-allende,7665,Mamelodi Sundowns,7.04,1,0.37,3,8,0,91.12
936047,Khuliso Mudau,khuliso-mudau,7665,Mamelodi Sundowns,7.03,1,1.05,7,11,0,89.15
1107552,Duke Abuya,duke-abuya,134320,Young Africans SC,7.03,0,0.07,1,14,0,85.71
973053,Mohamed Hussein,mohamed-husseini,134320,Young Africans SC,7.03,0,0.01,2,5,0,77.7
1140803,Abdelhak Assal,abdelhak-assal,80395,RS Berkane,7.03,0,0.05,3,18,1,89.11
845603,Mohamed Benkhemassa,mohamed-benkhemassa,42204,MC Alger,7.03,0,,1,4,0,91.96
577736,Karim Hafez,karim-hafez,175002,Pyramids FC,7.02,0,0.02,5,5,1,89.0
934196,Ismael Kandouss,ismael-kandouss,80395,RS Berkane,7.01,0,0.48,1,11,1,84.29
1470538,Onuche Ogbelu,onuche-ogbelu,59628,Espérance Sportive De Tunis,7.01,0,0.03,4,17,0,81.74
1000809,Amine Ben Hmida,amine-ben-hamida,59628,Espérance Sportive De Tunis,7.01,0,,3,15,2,79.04
919489,Mohamed Rabie Hrimat,mohamed-rabie-hrimat,24394,AS FAR Rabat,7.0,2,3.31,8,23,0,86.32
918773,Mohamed Reda,mohamed-reda,175002,Pyramids FC,7.0,1,0.09,1,2,1,81.48
919532,Yassine Labhiri,yassine-labhiri,80395,RS Berkane,7.0,1,0.93,4,2,0,79.7
2002669,Haman Mandjan,haman-mandjan,69326,Stade Malien,7.0,1,0.55,0,16,0,72.56
251845,Pedro Pinto,pedro-pinto,148072,Atlético Petróleos de Luanda,7.0,1,0.16,0,1,0,89.89
966891,Mohamed Ali Ben Romdhane,ben-romdhane-mohamed-ali,6910,Al Ahly FC,7.0,0,0.62,4,3,1,88.18
804375,Walid El Karti,walid-el-karti,175002,Pyramids FC,7.0,0,0.2,3,6,1,85.14
871735,Mohamed El-Shenawy,mohamed-el-shenawy,6910,Al Ahly FC,7.0,0,,0,0,0,81.82
1050729,Mohamed Shokry,mohamed-shokry,6910,Al Ahly FC,7.0,0,,0,2,0,57.14
2002451,Chamou Karaboue,chamou-karaboue,212409,Simba SC,7.0,0,,1,0,0,96.15
2367152,Lassine Bagayoko,lassine-bagayoko,69326,Stade Malien,7.0,0,,1,0,0,80.0
980301,Gaya Merbah,gaya-merbah,42202,JS Kabylie,7.0,0,,0,0,0,85.92
1035892,Nejc Gradišar,nejc-gradisar,6910,Al Ahly FC,7.0,0,0.59,0,1,0,71.43
895067,Rushine De Reuck,de-reuck-rushine,212409,Simba SC,7.0,0,0.16,4,6,0,88.93
1049129,Yassin Marei,yassin-marei,6910,Al Ahly FC,7.0,0,0.1,0,7,0,89.15
38716,Ryad Boudebouz,ryad-boudebouz,42202,JS Kabylie,7.0,0,0.09,1,9,0,89.38
2129151,Pascal Phiri,pascal-phiri,175002,Pyramids FC,7.0,0,0.03,0,1,0,100.0
1083169,Kondwani Chiboni,kondwani-chiboni,191877,Power Dynamos,6.98,1,0.13,1,12,1,70.14
539792,Ronwen Williams,ronwen-williams,7665,Mamelodi Sundowns,6.97,0,,0,0,0,79.89
842400,Zinedine Ferhat,zinedine-ferhat,42204,MC Alger,6.97,1,0.68,4,3,1,69.44
889363,Youssef Obama,youssef-obama,175002,Pyramids FC,6.97,1,0.91,4,1,0,88.24
1183552,Pacôme Zouzoua,pacome-zouzoua,134320,Young Africans SC,6.97,0,0.96,9,8,0,81.07
1089447,Steve Ebuela,steve-ebuela,69322,Al-Hilal Omdurman,6.96,1,0.12,7,15,1,70.19
1105780,Arthur Sales,arthur-sales,7665,Mamelodi Sundowns,6.95,2,0.88,6,15,2,77.95
898739,Hamza Jelassi,hamza-jelassi,59628,Espérance Sportive De Tunis,6.95,1,1.15,3,16,0,79.7
1481930,Yusuph Kagoma,yusuph-kagoma,212409,Simba SC,6.95,1,0.19,0,4,0,86.59
886626,Chahreddine Boukholda,chahreddine-boukholda,42204,MC Alger,6.95,0,0.22,1,3,2,69.07
141967,Munir El Kajoui,munir-mohamedi,80395,RS Berkane,6.95,0,,0,0,0,82.81
