player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
1002239,Adem Alilet,adem-alilet,42206,USM Alger,7.8,7.8,1,1,0,1,0,,1,67,12,79,84.81,50,17,2,0,0,0.0,1,0,0,0,0,0,0.0,5,1,3,3,75.0,4,100.0,7,87.5,90,20.0,0,0,0,0,0,0,1,0,4,1,1,0,0,3,50.0,2,0,0,0,17,0,4,3,95,2,1,1,0,0,0,1,0,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.0,0,0,0,1,0,0,0,0,6,2,1,100.0,90.0,0,0,0,58,21,1,,0,5,1,1
876307,Ramiro Vaca,ramiro-vaca,36268,Wydad Casablanca,7.73,23.2,3,1,5,0,0,,1,89,15,104,85.58,24,65,46,12,2,100.0,1,2,0,0,0,7,36.84,5,2,1,6,54.55,0,0.0,6,54.55,247,20.0,0,0,0,0,0,0,1,0,2,3,0,0,1,17,100.0,1,0,0,0,29,1,14,13,142,3,4,0,0,1,0,2,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0.0,12,2,19,5,0,0,0,0,17,1,0,0.0,247.0,0,0,0,27,77,1,,0,11,0,3
893450,Turan Manafov,turan-manafov,43555,Stellenbosch,7.6,7.6,1,0,0,0,0,,0,32,7,39,82.05,15,17,9,1,2,100.0,0,2,0,0,0,1,16.67,1,1,0,3,75.0,1,100.0,4,80.0,90,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,44.44,2,0,0,0,21,0,8,3,69,1,1,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,2,6,1,0,0,0,0,9,0,0,0.0,0.0,0,0,0,15,24,0,,0,7,0,1
966578,Aboubakar Karamoko,aboubakar-karamoko,238206,FC San Pedro,7.5,7.5,1,1,0,0,0,,1,15,8,23,65.22,6,9,4,0,0,0.0,2,0,0,0,0,0,0.0,2,1,1,3,60.0,1,100.0,4,66.67,78,50.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.0,0,0,0,1,13,1,0,0,35,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0.0,0,1,0,2,0,0,0,0,2,2,1,50.0,78.0,0,0,0,10,13,0,,0,5,0,1
809290,Bart Meijers,bart-meijers,36268,Wydad Casablanca,7.5,7.5,1,0,0,0,0,,0,76,3,79,96.2,54,22,8,0,0,0.0,2,0,0,0,0,0,0.0,0,0,0,3,75.0,2,66.67,5,71.43,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66.67,4,0,0,0,4,0,7,5,88,1,1,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,2,1,0,0,0,6,0,2,100.0,0.0,0,0,0,55,24,0,,3,4,0,1
1006326,Kelvin Kampamba,kelvin-kampamba,191184,ZESCO United,7.5,7.5,1,0,0,0,0,,0,16,4,20,80.0,4,12,8,1,2,50.0,4,1,0,0,0,1,16.67,1,0,1,8,72.73,0,0.0,8,66.67,79,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,50.0,0,0,0,1,18,1,3,2,49,2,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1,4,6,4,1,0,0,0,4,1,1,25.0,0.0,0,0,0,5,15,0,,0,6,0,1
2368139,Lebato Kipré,lebato-kipre,238206,FC San Pedro,7.4,14.8,2,0,0,0,0,,0,33,22,55,60.0,29,4,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,50.0,1,50.0,2,50.0,180,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18.52,3,0,0,0,22,0,2,0,74,2,0,0,0,1,0,0,0,6,,,,1,0,0,5,1,3,0,1,0,0,1,0,2,0,0.0,0,0,0,2,1,0,0,0,27,3,0,0.0,0.0,0,0,2,33,22,0,,10,15,0,2
249437,Hakim Ziyech,hakim-ziyech,36268,Wydad Casablanca,7.38,29.5,4,1,2,1,0,,1,119,41,160,74.38,40,79,41,8,6,54.55,6,1,0,0,0,6,18.75,29,9,11,21,56.76,0,0.0,21,56.76,277,3.45,0,0,0,0,5,1,0,1,5,24,0,1,0,19,55.88,0,1,0,6,91,3,30,14,280,9,3,1,0,3,0,9,0,0,,,,1,0,0,0,0,1,0,0,0,0,0,0,3,0,20.0,8,11,32,16,0,0,0,0,34,1,4,66.67,277.0,0,0,0,43,117,0,,0,16,0,4
1018477,Chouaib Keddad,chouaib-keddad,42207,CR Belouizdad,7.33,44.0,6,0,0,0,0,,0,271,41,312,86.86,213,58,19,1,2,100.0,6,8,2,0,0,0,0.0,2,0,2,17,70.83,24,77.42,41,74.55,540,0.0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,66.67,48,0,0,1,50,1,33,20,408,9,4,1,0,2,0,0,0,0,,,,4,0,0,0,0,4,1,0,0,0,0,0,6,0,0.0,1,2,2,14,7,0,0,0,69,5,5,83.33,0.0,0,0,0,224,88,2,,0,18,3,6
973037,Aishi Manula,aishi-manula,212411,Azam FC,7.3,14.6,2,0,0,0,0,,0,38,22,60,63.33,28,10,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,100.0,1,100.0,180,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43.59,4,0,0,0,22,0,4,3,78,0,0,0,0,0,0,0,0,9,,,,1,0,0,6,3,2,0,3,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,39,2,0,0.0,0.0,0,0,4,33,27,0,,22,11,0,2
886931,Mahmoud Hamdy,mahmoud-hamdy,43560,Al-Masry,7.3,36.5,5,0,0,0,0,,0,94,31,125,75.2,78,16,4,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,2,100.0,2,100.0,447,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,50.79,5,1,0,0,31,0,13,8,168,1,0,0,0,0,0,0,0,23,,,,1,2,0,11,12,7,0,1,2,2,0,0,5,0,0.0,0,0,0,0,0,0,0,0,63,7,0,0.0,0.0,0,0,5,82,43,0,,38,36,0,5
