player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
985952,Metacha Mnata,metacha-mnata,134320,Young Africans SC,9.0,0,,0,1,0,54.55
967309,Bechir Ben Said,bechir-ben-said,59638,US Monastir,7.8,0,,0,0,0,41.67
1100192,Philippe Kinzumbi,philippe-kinzumbi,38873,Tout Puissant Mazembe,7.66,0,,15,5,1,80.0
894842,Judas Moseamedi,judas-moseamedi,263077,Marumo Gallants FC,7.65,1,,1,0,1,83.33
863253,Lucky Mohomi,mohomi-lucky,263077,Marumo Gallants FC,7.5,0,,8,5,3,87.36
1469693,Jonathan Membo,jonathan-membo,305261,Daring Club Motema Pembe,7.5,0,,0,0,0,40.0
941632,Saâdi Redouani,saadi-redouani,42206,USM Alger,7.41,2,,5,20,3,64.34
1111597,Ridwan Tawfiq,ridwan-tawfiq,375031,Al Akhdar SC,7.4,0,,0,0,0,64.0
943702,Ranga Chivaviro,ranga-chivaviro,263077,Marumo Gallants FC,7.37,6,,9,7,0,66.33
841931,Ahmed El-Shenawy,el-shenawy-ahmed,175002,Pyramids FC,7.36,0,,0,0,0,68.83
1008616,Franck Zouzou,franck-zouzou,42360,ASEC Mimosas,7.35,1,,5,12,0,71.33
1469665,Dhody Foutou,dhody-foutou,134292,Diables Noirs,7.35,0,,0,0,0,66.98
198472,Abdallah El-Said,abdallah-el-said,175002,Pyramids FC,7.33,2,,7,5,3,79.94
1469705,Joslain Liwanda,joslain-liwanda,305261,Daring Club Motema Pembe,7.27,0,,1,6,0,76.0
1004417,Bakary Mané,mane-bakary,24394,AS FAR Rabat,7.25,0,,0,8,0,81.91
1183549,Kouassi Yao,kouassi-attohoula,42360,ASEC Mimosas,7.24,0,,15,15,2,71.55
918506,Mohanad Lasheen,mohanad-lasheen,265830,Modern Sport FC,7.24,1,,1,19,0,82.0
796371,Djigui Diarra,djigui-diarra,134320,Young Africans SC,7.22,0,,0,0,0,70.47
1007556,Fiston Mayele,fiston-mayele,134320,Young Africans SC,7.22,7,,27,0,3,67.5
1469728,Horso Mwaku,horso-mwaku,371343,FC Saint-Éloi Lupopo,7.22,3,,5,4,1,80.49
370272,Haykeul Chikhaoui,haykeul-chikhaoui,59638,US Monastir,7.21,0,,17,9,5,79.33
1004433,Reda Slim,slim-reda,24394,AS FAR Rabat,7.21,0,,14,7,4,74.1
804430,Ali Gabr,ali-gabr,175002,Pyramids FC,7.2,1,,0,6,0,82.43
855909,Ahmed Refaat,ahmed-refaat,265830,Modern Sport FC,7.2,0,,7,1,1,75.47
1013821,Sadok Yeddes,sadok-yeddes,59638,US Monastir,7.2,0,,0,0,0,50.0
948350,Aimen Mahious,mahious-aimen,42206,USM Alger,7.18,3,,14,11,1,59.9
