player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
958123,Ismaïl Belkacemi,belkacemi-abdelfetah-ismail,42206,USM Alger,8.18,32.7,4,5,2,1,2,,7,52,32,84,61.9,13,39,22,4,1,25.0,6,0,0,0,0,0,0.0,15,8,6,14,58.33,11,42.31,25,50.0,352,33.33,1,1,0,0,0,0,5,0,13,2,1,0,4,1,33.33,4,0,0,3,46,3,3,2,137,7,7,1,0,0,3,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0.0,4,4,0,25,15,0,0,0,3,0,3,50.0,70.4,0,0,0,17,67,2,,0,7,,4
970755,Mehdi Maftah,mehdi-maftah,80395,RS Berkane,7.9,7.9,1,0,0,0,0,,0,20,14,34,58.82,14,6,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,100.0,1,100.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41.67,3,0,0,0,14,0,13,7,46,0,0,0,0,0,0,0,0,3,,,,1,0,0,1,2,0,0,2,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0,0,24,0,0,0.0,0.0,0,0,1,19,15,1,,10,10,,1
1655374,Brahim Dib,brahim-dib,55393,CS Constantine,7.75,77.5,10,2,9,0,5,,7,355,83,438,81.05,149,215,121,24,7,35.0,19,7,2,0,0,9,23.08,23,5,13,71,57.72,18,47.37,89,55.28,863,8.7,0,0,0,0,3,0,2,0,15,8,0,1,1,27,67.5,14,0,0,16,183,6,40,30,697,46,14,1,0,10,1,5,0,0,,,,0,0,0,0,0,7,4,0,0,0,0,0,10,0,0.0,24,20,39,72,20,0,0,0,40,11,14,73.68,431.5,0,0,0,162,315,5,,0,43,,10
1427164,N'Golo Traoré,ngolo-traore,69326,Stade Malien,7.63,22.9,3,0,0,0,0,,0,35,46,81,43.21,14,21,9,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,2,100.0,2,66.67,4,80.0,270,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35.21,6,0,0,0,46,0,3,1,112,3,0,0,0,0,0,0,0,14,,,,1,1,0,10,4,2,0,2,0,0,2,0,3,0,0.0,1,0,0,1,1,0,0,0,71,2,0,0.0,0.0,0,0,0,20,61,1,,31,24,,3
547494,Zizo,zizo,42368,Zamalek SC,7.57,53.0,7,2,4,3,2,,4,157,35,192,81.77,36,134,71,14,10,55.56,0,1,0,0,0,13,20.31,21,10,3,24,52.17,1,33.33,25,51.02,609,9.52,0,0,0,0,0,0,1,1,10,11,0,0,2,3,37.5,1,0,0,7,118,6,12,4,349,14,5,1,0,3,1,8,0,0,,,,4,0,0,0,0,2,2,0,0,0,0,0,7,0,0.0,14,18,64,24,2,0,0,0,8,4,0,0.0,304.5,0,0,0,40,216,3,,0,26,,7
1002239,Adem Alilet,adem-alilet,42206,USM Alger,7.48,44.9,6,1,0,2,0,,1,418,60,478,87.45,304,114,25,1,6,75.0,7,7,1,0,0,0,0.0,8,4,2,21,72.41,23,74.19,44,73.33,540,12.5,1,1,0,0,3,0,1,0,5,3,0,0,1,44,66.67,30,0,2,2,70,0,35,17,569,9,3,1,0,1,0,2,0,0,,,,4,0,0,0,0,2,0,0,0,0,0,0,6,100,0.0,1,8,0,16,8,0,0,0,66,2,5,71.43,540.0,0,0,0,329,149,2,,0,26,,6
2002448,Jean Ahoua,jean-ahoua,212409,Simba SC,7.43,89.1,12,3,4,5,2,,5,347,93,440,78.86,106,252,141,28,15,57.69,7,5,0,0,0,11,24.44,35,11,19,52,56.52,6,25.0,58,50.0,1005,8.57,1,1,0,0,12,1,2,1,11,24,0,0,3,21,56.76,7,0,0,16,183,8,47,26,682,30,8,1,0,6,1,5,0,0,,,,3,0,0,0,0,8,1,0,0,0,0,0,12,100,8.33,28,26,45,58,18,0,0,0,37,9,5,71.43,335.0,0,0,0,118,367,4,,0,47,,12
1393699,Ahmed Esho,ahmed-esho,42368,Zamalek SC,7.4,7.4,1,1,0,0,0,,1,14,4,18,77.78,3,11,6,0,0,0.0,2,0,0,0,0,0,0.0,1,1,0,2,33.33,0,0.0,2,25.0,62,100.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,1,0,0,1,8,2,0,0,29,0,0,0,0,2,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,6,2,0,0,0,1,0,2,100.0,62.0,0,0,0,4,14,0,,0,2,,1
159681,Mohamed Sobhi,mohamed-sobhi,42368,Zamalek SC,7.4,7.4,1,0,0,0,0,,0,22,5,27,81.48,21,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37.5,1,0,0,0,6,0,2,1,40,0,0,0,0,0,0,0,0,5,,,,0,0,0,2,3,1,0,0,2,2,0,0,1,0,0.0,0,0,0,0,0,0,0,0,8,1,0,0.0,0.0,0,0,0,23,4,0,,8,6,,1
1464675,Elie Mpanzu,elie-mpanzu,212409,Simba SC,7.39,66.5,9,1,2,0,2,,3,224,60,284,78.87,70,162,72,16,32,72.73,7,6,2,0,0,8,18.6,31,8,10,56,60.22,9,34.62,65,54.62,747,3.23,0,0,0,0,0,0,0,1,13,18,0,0,1,9,56.25,2,0,0,19,155,8,17,9,509,18,5,0,0,1,0,13,0,0,,,,3,0,0,0,0,5,1,0,0,0,0,0,9,0,0.0,16,44,43,54,17,0,0,0,16,6,5,71.43,747.0,0,0,0,84,243,4,,0,41,,9
1024076,Joseph Atule,joseph-atule,42371,Enyimba,7.38,29.5,4,2,2,2,1,,3,70,20,90,77.78,22,48,31,4,8,57.14,2,1,2,0,0,0,0.0,9,3,5,12,48.0,2,28.57,14,43.75,283,22.22,0,0,0,0,0,0,1,1,6,3,0,0,2,0,0.0,2,0,0,2,43,5,5,2,149,2,3,0,0,3,4,1,0,0,,,,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0.0,4,14,1,18,5,0,0,0,2,5,2,100.0,141.5,0,0,0,25,66,1,,0,17,,4
1093721,Mostafa Shalaby,mostafa-shalaby,42368,Zamalek SC,7.38,59.0,8,1,5,1,1,,2,183,50,233,78.54,34,158,89,13,19,73.08,4,6,0,0,0,9,37.5,11,4,4,35,54.69,10,66.67,45,56.96,588,9.09,0,0,0,0,0,0,1,0,8,3,1,0,0,9,60.0,7,0,0,6,94,5,10,5,362,12,13,0,0,4,4,3,0,0,,,,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0.0,13,26,24,34,5,0,0,0,15,3,4,100.0,588.0,0,0,0,44,213,1,,0,26,,8
198472,Abdallah El-Said,abdallah-el-said,42368,Zamalek SC,7.37,44.2,6,0,1,2,0,,0,250,69,319,78.37,77,179,102,17,4,57.14,3,4,0,0,0,6,28.57,9,4,4,12,54.55,0,0.0,12,44.44,522,0.0,0,0,0,0,0,0,0,0,7,2,0,0,0,20,57.14,3,0,0,6,109,6,38,18,406,5,1,0,0,1,0,1,0,0,,,,1,0,0,0,0,2,2,0,0,0,0,0,6,0,0.0,17,7,21,15,5,0,0,0,35,4,2,66.67,0.0,0,0,0,85,255,1,,0,40,,6
1140803,Abdelhak Assal,abdelhak-assal,80395,RS Berkane,7.36,66.2,9,0,1,0,1,,1,394,69,463,85.1,274,123,40,4,5,71.43,22,13,1,0,0,3,60.0,3,0,3,34,70.83,18,60.0,52,66.67,786,0.0,0,0,0,0,0,0,0,0,2,1,0,0,0,34,48.57,43,0,0,2,87,0,47,26,618,9,9,0,0,2,0,0,0,0,,,,5,0,0,0,0,3,0,0,0,0,0,0,8,0,0.0,4,7,5,26,12,0,0,0,70,3,18,81.82,0.0,0,0,0,293,175,2,,0,33,,9
290623,Fakhreddine Ben Youssef,fakhreddine-ben-youssef,43560,Al-Masry,7.33,51.3,7,3,0,0,0,,3,92,27,119,77.31,41,53,29,1,5,62.5,6,4,0,0,0,2,22.22,9,5,3,16,64.0,12,60.0,28,62.22,403,33.33,0,0,0,0,0,0,3,0,7,2,1,0,2,1,33.33,5,0,0,1,40,7,5,1,174,5,4,1,0,2,1,1,0,0,,,,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0.0,1,8,9,17,8,0,0,0,3,4,4,66.67,134.33,0,0,0,43,85,1,,0,18,,7
918505,Nabil Donga,nabil-donga,42368,Zamalek SC,7.33,51.3,7,1,0,1,0,,1,358,49,407,87.96,179,179,77,5,1,50.0,11,10,2,0,0,0,0.0,12,5,6,19,42.22,10,62.5,29,47.54,604,8.33,0,0,0,0,0,0,0,1,4,8,0,1,0,54,77.14,7,0,0,6,67,3,58,42,496,8,9,0,0,10,1,1,0,0,,,,3,0,0,0,0,2,2,0,0,0,0,0,7,0,0.0,5,2,2,32,6,0,0,0,70,4,5,45.45,604.0,0,0,0,193,216,1,,0,52,,7
931032,Fawaaz Basadien,fawaaz-basadien,43555,Stellenbosch,7.3,58.4,8,1,2,0,2,,3,246,70,316,77.85,116,144,65,13,2,50.0,9,12,0,0,0,14,35.9,8,1,6,13,48.15,8,50.0,21,48.84,657,12.5,1,1,0,0,1,0,1,0,2,6,0,1,0,18,34.62,21,0,0,4,142,0,49,24,512,3,6,0,0,3,2,1,0,0,,,,5,0,0,0,0,4,3,0,0,0,0,0,7,100,0.0,13,4,39,22,8,0,0,0,52,7,5,55.56,657.0,0,0,0,127,228,4,,0,22,,8
918728,Hassan Ali,hassan-ali,43560,Al-Masry,7.3,21.9,3,0,1,1,0,,0,108,21,129,83.72,53,56,35,5,5,83.33,10,10,1,0,0,1,11.11,5,0,3,18,60.0,3,42.86,21,56.76,270,0.0,1,0,0,0,2,0,0,0,2,3,0,0,0,6,42.86,6,0,0,2,40,1,9,7,232,3,4,1,0,5,0,2,0,0,,,,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0.0,5,6,9,16,4,0,1,0,14,2,6,60.0,0.0,0,0,0,59,79,0,,0,16,,3
1140833,Oussama Lamlioui,oussama-lamlioui,80395,RS Berkane,7.29,65.6,9,5,1,4,1,,6,69,29,98,70.41,33,36,19,3,1,20.0,7,3,0,0,0,0,0.0,27,12,11,19,54.29,12,36.36,31,45.59,610,18.52,0,0,1,0,0,0,4,1,23,4,0,1,4,3,27.27,7,0,0,4,53,2,3,0,195,12,12,1,0,1,8,4,0,0,,,,2,0,0,0,0,2,0,0,0,0,0,0,7,0,0.0,3,5,1,37,21,0,0,0,11,2,5,71.43,122.0,0,0,0,37,62,1,,0,13,,9
941632,Saâdi Redouani,saadi-redouani,42206,USM Alger,7.27,43.6,6,2,0,0,0,,2,263,71,334,78.74,154,115,56,10,3,17.65,8,11,1,0,0,6,27.27,3,2,1,16,38.1,15,83.33,31,51.67,540,66.67,0,0,0,0,0,0,2,0,3,0,0,0,2,22,61.11,9,0,0,5,122,1,33,16,511,6,4,0,0,3,0,0,0,0,,,,4,0,0,0,0,2,0,0,0,0,0,0,6,0,0.0,10,17,22,29,3,0,0,0,36,2,6,75.0,270.0,0,0,0,177,179,1,,0,22,,6
1000908,Danilson,danilson,394492,CD Lunda Sul,7.27,21.8,3,1,0,0,0,,1,46,10,56,82.14,18,28,13,1,0,0.0,4,1,0,0,0,0,0.0,5,1,4,7,63.64,5,55.56,12,60.0,159,20.0,0,0,0,0,0,0,1,0,4,1,1,0,0,8,61.54,9,0,1,1,15,0,9,4,88,3,0,0,0,1,1,0,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0.0,1,2,0,8,4,0,0,0,13,1,2,50.0,159.0,0,0,0,22,34,1,,0,3,,4
1107548,Jean Rémi Bocandé,jean-remi-bocande,87306,ASC Jaraaf,7.27,43.6,6,0,1,2,2,,2,123,50,173,71.1,61,81,26,15,1,50.0,5,7,1,0,0,19,47.5,2,2,0,6,35.29,3,60.0,9,40.91,445,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,19,50.0,13,0,0,1,100,1,24,9,321,1,5,0,0,4,0,0,0,0,,,,3,0,0,0,0,2,0,0,0,0,0,0,5,0,0.0,15,2,40,13,2,0,0,1,38,2,3,60.0,0.0,0,0,0,73,140,2,,0,39,,6
1095727,Haytam Manaout,haytam-manaout,80395,RS Berkane,7.27,65.4,9,0,4,0,2,,2,303,77,380,79.74,175,134,67,9,0,0.0,17,5,2,0,0,6,24.0,3,1,1,26,52.0,10,62.5,36,54.55,733,0.0,0,0,0,0,0,0,0,0,1,2,0,0,0,16,34.04,21,0,0,6,136,1,38,17,601,9,8,0,0,3,1,1,0,0,,,,6,0,0,0,0,1,0,0,0,0,0,0,9,0,0.0,9,7,25,30,6,0,0,0,47,1,15,88.24,0.0,0,0,0,201,204,1,,0,40,,9
