player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
804430,Ali Gabr,ali-gabr,175002,Pyramids FC,7.6,22.8,3,1,0,0,0,0.04,1,214,22,236,90.68,145,69,12,1,1,100.0,2,1,2,0,0,0,0.0,2,1,1,4,57.14,15,78.95,19,73.08,270,50.0,0,0,0,1,0,0,1,0,2,0,1,0,0,11,47.83,15,0,0,0,22,0,9,5,263,1,2,0,0,2,0,0,0,0,,,,1,0,0,0,0,2,0,0,0,0,0,0,3,0.0,0.0,1,1,0,7,4,0,0,0,23,2,2,100.0,270.0,0,0,0,154,82,0,0.3,0,15,2,3
2610837,Youssef Galal,youssef-galal,265830,Modern Sport FC,7.6,7.6,1,1,0,0,0,0.0,1,7,1,8,87.5,3,4,3,0,0,0.0,0,1,0,0,0,0,0.0,1,1,0,0,0.0,0,0.0,0,0.0,11,100.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0,0,0,0,1,0,1,1,10,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0.0,11.0,0,0,0,3,5,0,0.05,0,0,0,1
919642,Mohamed Chibi,chibi-mohamed,175002,Pyramids FC,7.57,166.5,22,2,6,0,6,6.81,8,951,233,1184,80.32,403,548,325,67,15,53.57,28,21,3,0,1,53,23.87,15,5,6,68,60.18,14,53.85,82,58.99,1961,13.33,0,0,1,0,3,0,1,1,4,11,0,0,2,123,59.42,26,0,1,8,493,4,191,107,1838,25,15,1,0,10,1,4,0,0,,,,6,0,0,0,0,18,0,0,0,0,0,0,22,0.0,0.0,67,28,222,57,12,0,0,0,207,18,22,78.57,980.5,1,0,0,454,730,7,0.78,0,113,0,22
1119721,Ahmed Nader El Sayed,ahmed-nader-el-sayed,373168,ZED FC,7.4,14.8,2,0,0,0,0,0.01,0,36,14,50,72.0,30,6,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,180,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40.91,1,0,0,0,14,0,2,0,68,0,0,0,0,0,0,0,0,7,,,,1,0,0,5,2,1,0,1,0,0,1,0,2,0.0,0.0,0,0,0,0,0,0,0,0,22,1,0,0.0,0.0,0,0,0,32,18,0,,8,19,0,2
967032,Emam Ashour,emam-ashour,6910,Al Ahly FC,7.39,96.1,13,2,4,0,4,2.54,6,406,83,489,83.03,107,299,171,24,18,45.0,21,9,0,0,0,3,18.75,36,9,17,66,55.0,11,50.0,77,54.23,974,5.56,0,0,1,0,0,0,2,0,13,23,1,0,1,32,68.09,6,0,0,14,173,11,37,20,733,27,10,1,0,8,0,10,0,0,,,,4,0,0,0,0,6,2,0,0,0,0,0,11,0.0,0.0,24,40,16,65,11,0,0,0,47,8,17,80.95,487.0,0,0,0,118,371,3,1.92,0,69,2,13
560158,Mohamed Awad,mohamed-awad,42368,Zamalek SC,7.3,7.3,1,0,0,0,0,0.0,0,7,12,19,36.84,3,4,2,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,25.0,2,0,0,0,12,0,0,0,32,0,1,0,0,0,0,0,0,5,,,,1,1,1,2,3,0,0,0,0,0,1,0,1,0.0,0.0,0,0,0,1,0,0,0,0,16,0,0,0.0,0.0,0,0,0,3,16,0,,9,9,0,1
2611010,Segun Oloruntoba,paul-oluwasegun,35187,Al-Ittihad Alexandria,7.3,7.3,1,0,0,0,0,0.0,0,2,0,2,100.0,0,2,0,0,0,0.0,3,0,0,0,0,0,0.0,0,0,0,3,100.0,0,0.0,3,100.0,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,33.33,0.0,0,0,0,0,2,0,,1,0,1,1
1063327,Hossam Abdelmaguid,hossam-abdelmaguid,42368,Zamalek SC,7.29,182.2,25,4,1,2,0,0.67,4,1228,211,1439,85.34,850,378,99,5,1,100.0,19,22,3,0,0,1,33.33,26,7,15,34,53.97,80,73.39,114,66.28,2211,15.38,5,3,0,0,1,0,4,0,22,4,1,0,3,105,45.85,130,0,0,6,235,0,124,52,1718,14,19,1,0,4,2,4,0,0,,,,14,0,0,0,0,14,0,0,0,0,0,0,25,60.0,0.0,5,1,3,58,29,0,1,1,229,14,13,68.42,552.75,0,0,0,920,519,0,5.08,36,71,13,25
918506,Mohanad Lasheen,mohanad-lasheen,175002,Pyramids FC,7.28,174.7,24,0,2,0,2,1.54,2,902,177,1079,83.6,398,504,218,21,19,61.29,57,21,0,0,0,3,17.65,24,4,15,114,68.26,32,68.09,146,68.22,2080,0.0,0,0,0,0,0,0,0,0,6,18,0,0,0,99,60.37,35,0,0,11,244,5,127,72,1395,38,21,0,0,11,0,5,0,0,,,,7,0,0,0,0,21,0,0,0,0,0,0,23,0.0,0.0,21,31,17,68,15,0,0,0,164,21,49,85.96,0.0,0,0,0,440,639,2,0.74,0,128,8,24
936330,Hady Reyad,hady-reyad,6910,Al Ahly FC,7.27,145.3,20,2,0,0,0,0.28,2,416,186,602,69.1,238,178,80,5,0,0.0,22,22,1,0,0,0,0.0,12,2,10,35,76.09,75,68.81,110,70.97,1741,16.67,0,0,0,2,0,0,2,0,11,1,1,1,0,96,44.24,164,0,0,1,197,1,118,61,910,13,8,0,0,1,1,0,0,0,,,,7,0,0,0,0,17,1,0,0,0,0,0,18,0.0,0.0,5,2,3,45,34,0,0,0,217,18,17,77.27,870.5,0,0,0,293,309,2,1.51,0,42,21,20
