player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
804430,Ali Gabr,ali-gabr,175002,Pyramids FC,7.6,1,0.3,1,2,0,90.68
2610837,Youssef Galal,youssef-galal,265830,Modern Sport FC,7.6,1,0.05,0,0,0,87.5
919642,Mohamed Chibi,chibi-mohamed,175002,Pyramids FC,7.57,2,0.78,15,28,6,80.32
1119721,Ahmed Nader El Sayed,ahmed-nader-el-sayed,373168,ZED FC,7.4,0,,0,0,0,72.0
967032,Emam Ashour,emam-ashour,6910,Al Ahly FC,7.39,2,1.92,18,21,4,83.03
560158,Mohamed Awad,mohamed-awad,42368,Zamalek SC,7.3,0,,0,0,0,36.84
2611010,Segun Oloruntoba,paul-oluwasegun,35187,Al-Ittihad Alexandria,7.3,0,,0,3,0,100.0
1063327,Hossam Abdelmaguid,hossam-abdelmaguid,42368,Zamalek SC,7.29,4,5.08,1,19,0,85.34
918506,Mohanad Lasheen,mohanad-lasheen,175002,Pyramids FC,7.28,0,0.74,19,57,2,83.6
936330,Hady Reyad,hady-reyad,6910,Al Ahly FC,7.27,2,1.51,0,22,0,69.1
1013699,Marwan Attia,attia-marwan,6910,Al Ahly FC,7.26,0,0.83,5,47,0,84.79
198472,Abdallah El-Said,abdallah-el-said,42368,Zamalek SC,7.25,2,2.6,15,26,2,83.8
966969,Ahmed Shousha,ahmed-shousha,58319,Ghazl El Mahalla FC,7.21,7,6.44,1,34,1,76.53
919020,Seif Teka,seif-teka,43568,Wadi Degla,7.2,3,1.9,1,28,1,82.19
1083289,Mohamed El-Maghrabi,mohamed-el-maghrabi,371622,Cleopatra FC,7.2,0,,0,1,0,66.67
1426405,Ahmed Kalosha,ahmed-kalosha,43564,ENPPI,7.18,3,2.22,5,22,1,79.87
1463559,Juan Bezerra,juan-alvina,42368,Zamalek SC,7.18,3,3.7,21,14,5,80.24
1094001,Ahmed Mayhoub,ahmed-mayhoub,43563,Smouha,7.18,0,,0,1,0,59.96
