player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
991011,Jude Bellingham,jude-bellingham,2829,Real Madrid,8.05,225.4,28,19,7,7,6,4.31,25,1347,153,1500,89.8,454,897,481,48,50,58.82,42,21,5,1,1,4,19.05,63,35,14,162,55.67,26,50.0,188,54.81,2324,30.16,1,1,0,0,0,0,18,1,46,17,3,7,9,50,83.33,13,0,0,40,311,29,85,59,2056,72,32,1,0,24,4,14,0,0,,,,9,0,0,0,0,14,2,0,0,0,0,0,27,100.0,0.0,48,85,21,155,26,0,0,0,60,16,34,80.95,122.32,0,0,0,475,1046,11,11.12,0.0,118.0,,28
70988,Thibaut Courtois,thibaut-courtois,2829,Real Madrid,8.0,32.0,4,0,1,0,0,0.02,0,88,10,98,89.8,86,2,2,1,0,0.0,1,0,0,0,0,0,0.0,0,0,0,2,100.0,1,100.0,3,100.0,333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,56.52,2,0,0,0,10,0,9,9,145,1,0,0,0,0,0,0,0,16,,,,3,0,0,8,7,0,0,2,2,2,2,0,4,0.0,0.0,1,0,0,0,0,0,0,0,23,0,0,0.0,0.0,0,0,8,89,9,1,,18.0,32.0,,4
791046,Dominik Greif,dominik-greif,2826,Mallorca,7.8,7.8,1,0,0,0,0,0.01,0,21,8,29,72.41,11,10,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,57.89,0,0,0,0,8,0,0,0,36,0,0,0,0,0,0,0,0,4,,,,1,0,0,2,2,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,19,0,0,0.0,0.0,0,0,0,11,18,0,,9.0,6.0,,1
26502,Toni Kroos,toni-kroos,2829,Real Madrid,7.63,251.7,33,1,9,0,8,5.93,9,2242,126,2368,94.68,979,1299,576,63,5,62.5,53,17,3,0,0,36,30.51,35,13,12,96,61.54,8,66.67,104,61.9,2135,2.86,0,0,0,0,10,0,0,1,4,31,0,0,1,231,85.87,6,0,1,6,231,15,281,228,2735,38,17,2,0,35,3,10,1,0,,,,5,0,0,0,0,17,2,0,0,0,0,0,24,0.0,0.0,62,8,118,64,4,0,0,0,269,19,34,64.15,2135.0,0,0,0,1006,1480,6,1.62,0.0,144.0,,33
19356,Iago Aspas,iago-aspas,2821,Celta Vigo,7.54,264.0,35,9,21,9,10,9.31,19,898,247,1145,78.43,238,703,448,91,29,70.73,11,10,6,1,1,43,28.86,79,28,33,98,55.06,8,21.05,106,49.07,2715,11.39,5,3,1,0,6,0,7,2,53,26,0,8,1,46,56.79,6,0,0,36,460,20,79,46,1672,59,19,2,0,14,12,18,1,0,,,,1,0,0,0,0,40,4,0,0,0,0,0,31,60.0,0.0,90,41,149,110,30,0,0,2,81,44,6,54.55,301.67,0,0,0,282,1012,4,11.47,0.0,99.0,,35
103417,Isco,isco,2816,Real Betis,7.52,218.1,29,8,12,11,5,6.36,13,1151,184,1335,86.22,318,876,487,81,76,59.38,41,10,10,0,0,43,28.29,64,26,18,196,53.26,16,29.09,212,50.12,2338,12.5,2,2,0,0,4,0,8,0,41,23,0,2,6,71,71.72,6,0,0,67,504,22,122,75,2076,79,31,3,0,24,3,20,0,0,,,,4,0,0,0,0,27,3,0,0,0,0,0,28,100.0,0.0,81,128,152,211,39,0,0,0,99,30,27,65.85,292.25,0,0,0,343,1144,4,8.3,0.0,129.0,,29
45853,İlkay Gündoğan,ilkay-gundogan,2817,FC Barcelona,7.48,269.2,36,5,14,6,9,9.89,14,2115,221,2336,90.54,884,1273,597,97,34,64.15,31,20,5,0,0,42,26.75,43,17,15,106,54.36,8,30.77,114,51.58,2997,11.63,2,1,1,0,5,0,5,0,26,17,0,2,3,85,72.03,16,0,1,28,436,18,134,85,2856,42,15,1,0,27,6,11,0,0,,,,10,0,0,0,0,39,3,0,0,0,0,0,33,50.0,0.0,97,53,157,107,18,0,0,1,118,42,22,70.97,599.4,0,0,0,937,1556,5,7.3,0.0,189.0,,36
796047,Aleix García,aleix-garcia,24264,Girona FC,7.48,276.6,37,3,9,0,6,6.04,9,2499,225,2724,91.74,1229,1328,612,59,15,71.43,49,36,4,1,1,58,30.21,39,12,15,98,57.31,19,45.24,117,54.93,3201,7.69,0,0,0,0,8,0,2,1,6,33,0,0,3,218,74.15,49,1,2,15,416,21,254,179,3306,36,29,1,0,26,1,12,2,0,,,,10,0,0,0,0,42,2,0,0,0,0,0,36,0.0,0.0,57,21,192,96,23,0,0,0,294,44,28,57.14,1067.0,0,0,0,1304,1612,5,1.78,0.0,208.0,,37
7635,Ivan Rakitić,ivan-rakitic,2833,Sevilla,7.46,134.3,18,2,3,0,1,4.09,3,759,175,934,81.26,303,498,257,49,8,47.06,30,14,6,0,0,42,32.06,32,8,13,56,59.57,13,50.0,69,57.5,1425,6.25,0,0,0,0,3,0,1,1,6,26,0,0,2,90,60.4,11,0,0,5,320,20,152,87,1296,19,16,0,0,8,1,11,0,0,,,,2,0,0,0,0,20,3,0,0,0,0,0,16,0.0,0.0,49,17,131,51,13,0,0,0,149,23,16,53.33,712.5,0,0,0,337,728,4,1.28,0.0,117.0,,18
85859,Antoine Griezmann,antoine-griezmann,2836,Atlético Madrid,7.45,245.9,33,16,10,11,6,5.81,22,1030,216,1246,82.66,392,666,327,43,22,59.46,33,10,5,0,0,28,22.76,79,34,22,81,50.0,14,34.15,95,46.8,2654,20.25,4,4,0,0,3,0,16,0,56,23,2,12,2,56,71.79,21,1,0,26,404,15,98,59,1736,26,16,2,0,26,14,23,0,0,,,,6,0,0,0,0,26,7,0,0,0,0,0,31,100.0,0.0,43,37,123,108,27,0,0,0,78,33,19,57.58,165.88,0,0,0,443,926,4,12.44,0.0,100.0,,33
795222,Frenkie de Jong,frenkie-de-jong,2817,FC Barcelona,7.45,148.9,20,2,4,0,0,4.88,2,1526,113,1639,93.11,635,901,399,22,13,61.9,43,14,7,0,0,10,40.0,7,4,1,78,58.65,23,57.5,101,58.38,1637,28.57,0,0,0,0,0,0,2,0,4,3,0,0,2,46,67.65,27,0,1,17,171,8,87,57,1895,22,19,1,0,11,1,2,1,0,,,,6,0,0,0,0,21,4,0,0,0,0,0,20,0.0,0.0,21,21,25,72,17,0,0,0,68,25,26,60.47,818.5,0,0,0,662,1002,5,0.7,2.0,117.0,,20
880218,Takefusa Kubo,takefusa-kubo,2824,Real Sociedad,7.41,215.0,29,7,10,4,4,6.49,11,572,138,710,80.56,141,468,288,59,55,55.56,26,11,2,0,0,37,25.52,46,21,13,133,56.6,11,39.29,144,54.75,2155,15.22,0,0,0,0,2,0,7,0,31,15,0,6,1,22,68.75,5,0,1,27,397,21,40,23,1288,52,21,1,0,14,8,12,1,0,,,,5,0,0,0,0,22,2,0,0,0,0,0,24,0.0,0.0,58,99,145,119,17,0,0,0,32,24,17,65.38,307.86,0,0,0,164,691,3,3.54,0.0,98.0,,30
831808,Federico Valverde,federico-valverde,2829,Real Madrid,7.38,273.2,37,2,9,6,7,3.41,9,1890,183,2073,91.17,731,1165,606,49,22,51.16,47,43,2,0,0,6,20.0,56,19,23,84,55.26,21,67.74,105,57.38,2910,3.57,0,0,0,0,1,0,1,1,20,36,0,0,2,87,68.5,30,0,0,12,282,19,111,70,2519,15,19,2,0,18,0,14,0,0,,,,14,0,0,0,0,20,2,0,0,0,0,0,33,0.0,0.0,49,43,30,78,10,0,0,0,127,22,34,72.34,1455.0,0,0,0,762,1341,2,3.52,3.0,160.0,,37
15466,Luka Modrić,luka-modric,2829,Real Madrid,7.35,235.1,32,2,12,0,6,4.83,8,1424,139,1563,91.11,501,943,481,57,21,55.26,22,21,2,0,0,20,22.22,25,10,9,64,47.76,8,50.0,72,48.0,1685,8.0,0,0,0,0,1,0,1,1,11,14,0,1,1,99,79.2,6,0,0,19,269,10,150,108,1887,21,19,2,0,16,2,6,2,0,,,,2,0,0,0,0,15,1,0,0,0,0,0,18,0.0,0.0,55,38,90,78,8,0,0,0,125,16,15,68.18,842.5,0,0,0,535,1118,6,1.31,0.0,92.0,,32
146866,Gerard Moreno,gerard-moreno,2819,Villarreal,7.35,220.4,30,10,9,7,6,4.62,16,766,197,963,79.54,227,546,325,55,43,54.43,25,9,0,0,0,7,25.93,63,21,23,106,46.9,27,49.09,133,47.33,2229,15.87,3,2,0,0,0,0,9,1,53,10,0,7,3,53,67.09,23,0,0,53,368,17,79,41,1415,38,22,3,0,14,17,19,2,0,,,,1,0,0,0,0,42,3,0,0,0,0,0,28,66.67,0.0,53,79,27,148,28,0,1,0,79,45,12,48.0,222.9,0,0,0,275,715,3,9.68,0.0,87.0,,30
