player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
123226,Mathieu Gorgelin,mathieu-gorgelin,1648,RC Lens,8.3,8.3,1,0,0,0,0,0.0,0,24,10,34,70.59,20,4,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,2,100.0,2,100.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37.5,4,0,0,0,10,0,2,1,51,0,0,0,0,0,0,0,0,4,6.72,1.0,26.37,1,0,0,3,1,0,0,2,2,2,2,0,1,0.0,0.0,0,0,0,0,0,0,0,0,16,0,0,0.0,0.0,0,0,0,23,11,0,,3,15,0,1
599192,Lionel Mpasi Nzau,lionel-mpasi-nzau,1662,Le Havre,7.83,31.3,4,0,0,0,0,0.0,0,103,46,149,69.13,82,21,4,0,0,0.0,0,0,2,0,0,0,0.0,0,0,0,0,0.0,2,100.0,2,100.0,315,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40.26,5,0,0,0,46,0,7,4,195,1,0,0,0,0,0,0,0,15,21.61,0.0,26.67,1,0,0,8,7,2,0,3,2,2,3,0,3,0.0,0.0,0,0,0,0,0,0,0,0,77,2,0,0.0,0.0,0,0,5,88,61,0,,37,37,0,4
2199216,Mezian Mesloub,mezian-mesloub,1648,RC Lens,7.7,7.7,1,1,1,0,0,0.0,1,3,1,4,75.0,2,1,1,1,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,0,0.0,0,0.0,11,100.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,100.0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0.0,11.0,0,0,0,3,1,0,0.16,0,1,0,1
788180,Rémy Descamps,remy-descamps,1649,Olympique Lyonnais,7.66,38.3,5,0,0,0,0,0.0,0,100,35,135,74.07,96,4,1,0,1,100.0,0,0,0,0,0,0,0.0,0,0,0,1,50.0,0,0.0,1,50.0,450,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34.04,3,0,0,0,37,0,12,8,178,0,0,0,1,1,0,0,0,14,17.71,0.0,24.77,4,0,0,10,4,3,0,2,2,1,3,0,5,0.0,0.0,0,1,0,1,0,0,0,0,47,3,0,0.0,0.0,0,0,5,110,25,1,,15,35,0,5
902029,Vitinha,vitinha,1644,Paris Saint-Germain,7.58,219.8,29,1,8,0,7,3.74,8,2572,171,2743,93.77,1075,1497,629,34,13,72.22,24,27,2,0,0,7,31.82,34,10,14,58,59.18,4,57.14,62,59.05,2121,2.94,0,0,0,0,3,0,0,1,2,32,0,0,1,174,75.32,22,0,2,10,227,17,197,135,2997,21,14,0,0,14,0,10,0,0,268.8,347.0,32.98,10,0,0,0,0,14,5,0,0,0,0,0,24,0.0,0.0,34,18,22,43,3,0,0,0,231,19,18,75.0,2121.0,0,0,0,1109,1634,6,1.06,0,137,5,29
963298,Dilane Bakwa,dilane-bakwa,1659,RC Strasbourg,7.53,22.6,3,1,2,0,2,0.81,3,37,5,42,88.1,9,28,16,3,5,55.56,1,1,0,0,0,2,28.57,2,1,0,10,62.5,0,0.0,10,62.5,105,50.0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,66.67,1,0,0,1,19,1,6,4,77,4,0,0,0,1,0,1,0,0,13.5,19.0,33.88,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,3,9,7,6,0,0,0,0,3,2,1,100.0,105.0,0,0,0,9,33,1,0.15,0,6,0,3
818244,Ousmane Dembélé,ousmane-dembele,1644,Paris Saint-Germain,7.42,163.2,22,10,9,4,7,4.5,17,619,126,745,83.09,114,505,332,41,24,61.54,6,0,0,0,0,12,24.49,45,18,20,34,50.75,2,33.33,36,49.32,1062,22.22,3,2,0,0,1,0,9,1,31,14,1,4,5,30,78.95,3,0,1,12,205,10,37,28,940,4,3,1,0,3,8,7,0,0,113.08,180.0,33.51,0,0,0,0,0,5,3,0,0,0,0,0,11,66.67,0.0,41,39,49,37,4,1,0,0,38,8,3,50.0,106.2,0,0,0,123,622,5,6.6,0,25,0,22
1049442,Ilan Kebbal,ilan-kebbal,6070,Paris FC,7.39,214.2,29,9,7,4,4,6.02,13,1231,199,1430,86.08,475,756,409,61,32,45.07,32,8,7,0,0,21,19.09,50,20,21,124,51.24,2,12.5,126,48.84,2229,18.0,4,3,1,0,0,0,7,2,30,20,0,7,2,79,72.48,7,0,0,46,427,24,91,56,1948,61,15,1,0,19,3,9,1,0,251.04,358.0,34.24,2,0,0,0,0,35,3,0,0,0,0,0,26,75.0,0.0,60,71,110,132,14,0,1,0,109,38,17,53.13,247.67,0,0,0,517,913,4,6.55,0,132,0,29
942116,Mason Greenwood,mason-greenwood,1641,Olympique de Marseille,7.37,235.9,32,16,13,4,7,5.81,23,1022,229,1251,81.69,277,745,440,61,54,51.43,15,4,4,0,0,28,25.45,115,48,38,103,46.82,2,22.22,105,45.85,2469,13.91,8,6,1,0,8,0,13,3,64,51,0,5,11,77,65.25,3,0,0,27,465,15,121,67,1802,34,22,3,0,18,1,29,2,0,267.98,356.0,36.0,3,0,0,0,0,36,0,0,0,0,0,0,29,75.0,0.0,59,105,110,124,7,1,0,1,118,36,14,93.33,154.31,0,0,0,319,932,7,14.39,0,82,1,32
156236,Patrik Carlgren,patrik-carlgren,1647,Nantes,7.37,22.1,3,0,0,0,0,0.0,0,28,33,61,45.9,21,7,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,100.0,1,100.0,2,100.0,188,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23.26,6,0,0,0,33,0,13,3,95,1,0,0,0,0,0,0,0,11,10.7,0.0,22.78,1,0,0,9,2,1,1,4,3,3,3,0,2,0.0,0.0,0,0,0,0,0,0,0,0,43,2,0,0.0,0.0,0,0,2,25,36,1,,18,26,0,3
