player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
878938,Cristian Cásseres Jr.,cristian-casseres-jr,1681,Toulouse,8.48,33.9,4,0,4,1,3,1.47,3,305,49,354,86.16,132,173,98,15,7,63.64,20,3,1,0,0,8,50.0,5,1,3,36,70.59,6,75.0,42,71.19,360,0.0,0,0,0,0,0,0,0,0,2,3,0,0,0,27,62.79,12,0,1,0,68,4,47,27,453,9,8,1,0,3,0,1,0,0,44.5,46,33.47,0,0,0,0,0,6,1,0,0,0,0,0,4,0,0,15,11,16,17,2,0,0,0,43,7,16,80.0,0.0,0,0,0,138,216,3,0.87,0,36,2,4
48535,Anthony Lopes,anthony-lopes,1684,Angers,8.3,33.2,4,0,0,0,0,0.01,0,131,28,159,82.39,118,13,2,0,0,0.0,1,0,0,0,0,0,0.0,0,0,0,1,100.0,0,0.0,1,100.0,360,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,57.81,2,0,0,0,28,0,23,15,209,0,0,0,0,0,0,0,0,23,,,,1,0,0,16,6,3,2,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,64,5,1,100.0,0.0,0,0,2,125,34,0,,19,41,0,4
15219,Lukáš Hrádecký,lukas-hradecky,1653,AS Monaco,8.15,32.6,4,0,0,0,0,0.0,0,74,27,101,73.27,61,13,1,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,360,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,44.68,4,0,0,0,28,0,20,10,140,0,0,0,0,0,0,0,0,16,,,,2,0,0,6,10,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,47,2,0,0.0,0.0,0,0,1,68,33,1,,19,36,0,4
902029,Vitinha,vitinha,1644,Paris Saint-Germain,8.03,32.1,4,1,3,0,1,1.59,2,362,31,393,92.11,136,226,117,7,4,100.0,3,4,1,0,0,1,16.67,9,3,3,8,50.0,0,0.0,8,47.06,339,11.11,0,0,0,0,1,0,0,1,0,9,0,1,0,45,80.36,3,0,0,3,41,2,52,40,435,1,2,0,0,3,0,3,0,0,43.37,38,31.75,1,0,0,0,0,5,1,0,0,0,0,0,4,0,0,7,4,6,9,1,0,0,0,56,6,2,66.67,339.0,0,0,0,139,254,1,0.32,0,22,1,4
1638338,Gessime Yassine,yassine-gessime,1659,RC Strasbourg,7.83,31.3,4,2,4,0,1,1.5,3,90,19,109,82.57,26,64,39,5,14,51.85,9,3,1,0,0,3,42.86,9,5,4,34,53.13,1,100.0,35,53.85,347,22.22,0,0,0,0,0,0,2,0,8,1,0,0,2,2,66.67,3,0,0,5,50,3,5,2,206,11,8,0,0,5,0,0,0,0,40.35,30,33.56,0,0,0,0,0,5,2,0,0,0,0,0,4,0,0,5,27,7,30,0,0,0,0,3,7,6,66.67,173.5,0,0,0,30,79,1,0.99,0,24,0,4
847494,Berke Özer,berke-ozer,1643,Lille,7.78,31.1,4,0,0,0,0,0.01,0,110,52,162,67.9,88,22,10,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,2,100.0,1,100.0,3,100.0,360,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32.0,2,0,1,0,54,0,7,2,207,2,0,0,0,0,0,0,0,14,4.08,0,17.78,3,0,0,11,3,1,1,1,4,4,5,0,4,0,0,0,0,0,0,0,0,0,0,75,2,0,0.0,0.0,0,0,5,94,68,0,,36,33,0,4
1154630,Guillaume Restes,guillaume-restes,1681,Toulouse,7.73,23.2,3,0,0,0,0,0.0,0,98,15,113,86.73,92,6,3,0,1,100.0,0,0,0,0,0,0,0.0,0,0,0,2,100.0,0,0.0,2,100.0,251,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42.31,4,0,0,0,15,0,10,7,139,1,0,0,0,0,0,0,0,9,,,,0,0,0,5,4,3,1,1,3,3,1,0,3,0,0,0,1,0,0,0,0,0,0,26,4,0,0.0,0.0,0,0,0,96,17,0,,13,18,0,3
148824,Florian Thauvin,florian-thauvin,1648,RC Lens,7.7,30.8,4,3,4,4,1,1.58,4,134,37,171,78.36,52,82,54,12,5,35.71,2,2,1,0,0,12,30.77,14,9,2,13,37.14,3,100.0,16,42.11,360,21.43,3,3,1,0,0,0,3,0,10,4,0,3,0,15,62.5,1,0,0,9,95,4,27,14,282,6,2,0,0,2,0,3,0,0,43.45,52,34.71,0,0,0,0,0,7,0,0,0,0,0,0,4,100,0,12,14,39,22,0,0,0,0,24,7,1,50.0,120.0,0,0,0,58,113,1,3.49,0,10,0,4
581314,Valentin Rongier,valentin-rongier,1658,Stade Rennais,7.7,30.8,4,1,1,0,0,0.41,1,200,23,223,89.69,84,116,48,5,2,100.0,9,4,0,0,0,0,0.0,3,3,0,14,58.33,6,60.0,20,58.82,344,33.33,0,0,0,0,0,0,0,1,0,3,0,0,1,12,92.31,10,0,0,1,30,0,11,7,274,3,5,0,0,4,0,0,0,0,45.23,34,35.57,1,0,0,0,0,5,0,0,0,0,0,0,4,0,0,5,2,1,14,4,0,0,0,13,5,5,55.56,344.0,0,0,0,92,131,0,0.19,0,16,6,4
2127096,Khalis Merah,khalis-merah,1649,Olympique Lyonnais,7.7,7.7,1,0,1,0,0,0.63,0,12,1,13,92.31,4,8,5,1,0,0.0,4,0,0,0,0,0,0.0,0,0,0,4,80.0,0,0.0,4,80.0,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,1,0,1,0,18,0,0,0,0,1,0,0,0,0,3.65,5,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,50.0,0.0,0,0,0,4,9,0,,0,0,0,1
