player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
288205,Bruno Fernandes,bruno-fernandes,35,Manchester United,7.61,266.2,35,9,33,8,21,12.32,30,1639,355,1994,82.2,550,1089,662,137,15,41.67,54,20,5,0,0,55,30.05,85,24,31,103,47.25,21,38.89,124,45.59,3066,10.59,6,4,0,1,5,1,8,1,39,46,0,0,9,138,60.0,42,0,3,30,594,16,250,152,2647,35,25,5,0,39,4,30,1,0,355.26,601.0,34.88,7,0,0,0,0,40,6,0,0,0,0,0,35,66.67,20.0,136,36,183,148,33,1,0,1,230,46,32,59.26,340.67,0,0,0,626,1368,7,10.83,0,167,5,35
1128801,Max Weiss,max-weiss,6,Burnley,7.57,22.7,3,0,0,0,0,0.01,0,68,44,112,60.71,56,12,5,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,1,100.0,1,50.0,270,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27.87,4,0,0,1,48,0,8,6,146,0,0,0,0,0,0,0,0,10,5.13,0.0,23.33,0,1,0,5,5,4,0,2,2,2,4,0,3,0.0,0.0,1,0,0,1,0,0,0,0,61,4,0,0.0,0.0,0,0,1,58,54,1,,37,21,0,3
856714,Declan Rice,declan-rice,42,Arsenal,7.46,268.5,36,4,17,3,5,6.96,9,1865,271,2136,87.31,803,1062,534,64,14,50.0,70,37,3,0,0,47,26.4,40,13,14,95,56.89,50,67.57,145,60.17,3099,10.0,0,0,0,0,5,0,3,1,13,27,1,0,3,88,48.09,78,1,0,18,498,12,126,66,2769,11,26,0,0,14,1,13,1,0,372.82,633.0,35.39,13,0,0,0,0,19,6,0,0,0,0,0,35,0.0,0.0,63,28,178,96,24,0,0,0,183,25,35,50.0,774.75,0,0,0,874,1262,4,3.17,0,180,12,36
866469,Bruno Guimarães,bruno-guimaraes,39,Newcastle United,7.45,216.1,29,9,7,4,5,4.98,14,1250,201,1451,86.15,478,772,446,46,18,37.5,62,15,6,0,0,21,25.61,42,23,13,155,52.01,13,37.14,168,50.45,2455,21.43,2,2,2,0,2,0,6,3,20,22,2,1,6,81,60.45,36,0,0,46,407,18,123,78,2034,75,45,2,0,26,2,6,1,0,318.98,299.0,33.87,6,0,0,0,0,30,7,0,0,0,0,0,27,100.0,0.0,45,48,82,165,22,0,0,0,134,37,43,69.35,272.78,0,0,0,516,935,5,5.6,0,135,3,29
827606,Rodri,rodri,17,Manchester City,7.43,148.6,20,1,2,0,0,2.59,1,1458,160,1618,90.11,597,861,340,25,7,46.67,41,14,3,0,0,1,16.67,16,3,7,79,62.2,39,78.0,118,66.67,1513,6.25,0,0,0,0,0,0,1,0,8,8,1,0,0,90,68.7,41,0,3,11,203,10,134,94,1869,31,14,1,0,15,0,6,0,0,200.99,216.0,33.68,3,0,0,0,0,12,3,0,0,0,0,0,17,0.0,0.0,25,15,6,59,11,0,0,0,131,15,22,53.66,1513.0,0,0,0,644,974,2,1.13,1,107,3,21
934386,Jérémy Doku,jeremy-doku,17,Manchester City,7.39,221.7,30,5,13,4,5,6.18,10,640,132,772,82.9,111,529,386,60,84,56.76,23,13,0,0,0,16,27.12,39,15,9,167,53.53,4,33.33,171,52.78,1784,12.82,0,0,2,0,0,0,3,2,27,12,0,2,3,14,63.64,2,0,0,49,378,20,10,6,1319,61,23,1,0,10,3,15,1,0,190.08,302.0,35.55,2,0,0,0,0,15,3,0,0,0,0,0,19,0.0,0.0,59,148,59,153,8,0,0,0,22,18,15,65.22,356.8,0,0,0,123,649,5,2.75,0,88,0,30
994546,Elliot Anderson,elliot-anderson,14,Nottingham Forest,7.34,278.8,38,4,9,1,4,4.79,8,2038,345,2383,85.52,932,1106,582,55,50,54.35,104,41,8,0,0,51,28.98,44,10,16,231,53.72,66,58.93,297,54.8,3334,9.09,1,1,0,1,2,0,3,1,17,27,0,1,3,119,53.36,49,0,4,62,656,25,165,79,3300,80,57,0,0,40,2,18,1,0,403.96,501.0,34.65,7,0,0,0,0,41,9,0,0,0,0,0,37,100.0,0.0,54,92,176,245,46,0,0,0,223,50,63,60.58,833.5,0,0,0,1020,1363,3,2.9,0,306,16,38
117777,Granit Xhaka,granit-xhaka,41,Sunderland,7.33,249.2,34,1,9,0,6,3.71,7,1512,295,1807,83.67,660,852,441,34,11,45.83,50,29,8,0,0,23,23.23,21,5,10,99,59.64,56,61.54,155,60.31,2903,4.76,0,0,0,0,3,0,0,1,5,16,0,1,0,138,54.98,85,0,3,17,429,9,199,109,2295,41,23,1,0,16,0,6,0,0,349.75,389.0,35.1,9,0,0,0,0,33,6,0,0,0,0,0,32,0.0,0.0,34,24,99,102,35,0,0,0,251,39,33,66.0,2903.0,0,0,0,723,1084,4,1.02,0,179,20,34
839956,Erling Haaland,erling-haaland,17,Manchester City,7.31,255.9,35,27,9,30,8,2.85,35,252,132,384,65.63,92,160,107,25,17,53.13,15,5,2,0,0,1,33.33,126,59,43,57,46.34,73,61.86,130,53.94,2958,21.43,4,3,0,0,0,0,26,1,114,12,3,21,3,4,28.57,42,0,0,23,225,13,13,5,778,25,24,6,0,6,5,24,0,0,329.23,676.0,36.36,9,0,0,0,0,25,7,0,0,0,0,0,34,75.0,0.0,25,32,3,111,45,0,0,1,14,32,9,60.0,109.56,0,0,0,119,265,6,25.43,0,41,1,35
877994,Marc Guéhi,marc-guehi,17,Manchester City,7.3,255.5,35,3,5,6,3,2.32,6,2070,239,2309,89.65,1115,955,398,18,7,63.64,46,50,6,0,0,3,17.65,32,9,15,91,61.49,103,65.19,194,63.4,3150,9.38,0,0,1,0,0,0,3,0,30,2,1,0,2,77,40.96,164,2,0,18,300,5,160,80,2808,38,25,2,0,11,0,8,0,0,332.45,523.0,35.28,14,0,0,0,0,28,7,0,0,0,0,0,35,0.0,0.0,18,11,17,112,55,0,0,0,188,35,31,67.39,1050.0,0,0,0,1193,1116,5,4.12,37,138,23,35
869792,Gabriel Magalhães,gabriel-magalhaes,42,Arsenal,7.27,232.5,32,3,5,4,4,1.82,7,1528,205,1733,88.17,934,594,205,7,1,50.0,38,23,4,0,0,1,20.0,27,7,10,72,69.9,99,62.26,171,65.27,2751,11.11,0,0,0,0,0,0,3,0,22,5,1,2,0,78,44.57,182,1,2,4,234,2,98,46,2158,34,21,2,0,7,0,10,0,0,293.35,287.0,35.58,17,0,0,0,0,15,5,0,0,0,0,0,30,0.0,0.0,7,2,5,91,60,0,0,0,175,20,20,52.63,917.0,0,0,0,1002,731,5,2.93,46,64,34,32
151545,Virgil van Dijk,virgil-van-dijk,44,Liverpool FC,7.26,275.9,38,6,0,8,0,1.35,6,2485,307,2792,89.0,1336,1149,410,12,2,100.0,22,28,4,0,0,0,0.0,30,14,12,42,70.0,174,74.36,216,73.47,3420,20.0,0,0,0,1,0,0,6,0,27,3,5,0,0,137,45.97,275,2,2,1,327,3,153,82,3261,18,19,1,0,2,1,4,0,0,342.01,509.0,35.36,10,0,0,0,0,42,11,0,0,0,0,0,38,0.0,0.0,12,2,1,78,60,0,0,0,298,53,13,59.09,570.0,0,0,0,1397,1395,5,3.77,141,87,26,38
830659,Marcos Senesi,marcos-senesi,60,Bournemouth,7.24,268.0,37,0,7,2,5,4.67,5,1801,518,2319,77.66,1026,775,330,24,6,66.67,62,56,8,0,0,8,30.77,17,5,8,104,57.14,92,47.92,196,52.41,3290,0.0,0,0,1,0,0,0,0,0,10,7,0,0,0,182,38.16,253,0,2,14,600,2,345,150,2990,37,34,1,0,29,1,4,0,0,323.51,415.0,34.73,10,0,0,0,0,46,7,0,0,0,0,0,37,0.0,0.0,24,9,26,178,100,0,0,0,477,53,35,56.45,0.0,0,0,0,1153,1166,5,1.52,79,154,47,37
962012,Jan Paul van Hecke,jan-paul-van-hecke,30,Brighton & Hove Albion,7.24,260.5,36,3,2,3,3,1.62,6,2198,323,2521,87.19,1345,853,333,13,3,60.0,53,47,9,0,0,10,43.48,23,10,6,95,64.19,114,58.76,209,61.11,3211,13.04,0,0,0,1,0,0,3,0,18,5,1,0,2,133,47.16,189,4,0,6,366,3,230,125,3041,43,27,1,1,21,4,7,0,0,340.61,388.0,34.95,9,0,0,0,0,36,8,0,0,0,0,0,36,0.0,0.0,13,5,23,133,80,0,0,0,282,44,30,56.6,1070.33,0,0,0,1422,1099,5,3.3,11,113,28,36
934235,Bukayo Saka,bukayo-saka,42,Arsenal,7.24,224.3,31,7,12,8,5,7.16,12,593,180,773,76.71,117,476,341,63,50,49.5,41,16,2,0,0,40,32.79,71,27,20,145,52.73,22,42.31,167,51.07,2225,9.86,1,1,0,0,2,0,7,0,52,19,1,4,2,14,35.9,11,0,1,32,407,27,39,15,1382,54,33,1,0,16,14,24,2,0,250.44,469.0,34.71,8,0,0,0,0,11,5,0,0,0,0,0,25,100.0,0.0,61,101,122,160,30,0,0,0,39,16,21,51.22,317.86,0,0,0,147,626,5,7.55,0,117,1,31
189061,Jack Grealish,jack-grealish,48,Everton,7.23,144.6,20,2,5,4,6,3.57,8,482,91,573,84.12,135,347,238,40,23,40.35,21,12,3,0,1,10,25.64,26,8,6,102,54.55,4,17.39,106,50.48,1631,7.69,0,0,0,0,0,0,1,1,19,7,0,1,1,18,56.25,11,0,2,30,227,16,29,18,932,58,13,1,0,10,0,12,2,0,164.9,203.0,34.86,5,0,0,0,0,21,2,0,0,0,0,0,18,0.0,0.0,38,57,39,104,19,0,0,0,32,23,15,71.43,815.5,1,0,0,157,416,3,2.15,0,87,6,20
927361,James Garner,james-garner,48,Everton,7.23,274.7,38,2,12,0,7,5.95,9,1564,229,1793,87.23,663,901,490,56,18,52.94,120,59,12,0,0,53,25.6,45,14,20,179,60.88,30,63.83,209,61.29,3414,4.44,0,0,0,0,11,0,1,1,14,31,0,0,2,60,45.8,85,0,1,15,479,15,76,39,2654,42,39,1,0,46,0,11,0,0,395.69,640.0,35.92,11,0,0,0,0,46,4,0,0,0,0,0,38,0.0,0.0,56,34,207,132,17,0,0,0,131,50,71,59.17,1707.0,0,0,0,741,1052,2,2.03,0,184,10,38
122951,Casemiro,casemiro,35,Manchester United,7.22,245.5,34,9,4,6,2,3.12,11,1301,299,1600,81.31,608,693,306,36,6,37.5,90,31,9,0,1,4,23.53,52,18,18,131,53.25,57,51.35,188,52.66,2593,17.31,0,0,0,0,0,0,8,1,31,21,8,0,1,86,54.09,73,0,5,13,369,9,167,105,2128,36,46,1,0,50,5,16,0,0,288.99,240.0,34.14,2,0,0,0,0,28,3,0,0,0,0,0,33,0.0,0.0,36,16,17,169,54,0,0,0,159,31,45,50.0,288.11,1,0,0,704,896,3,5.52,0,138,27,34
979128,Rayan Cherki,cherki-rayan,17,Manchester City,7.21,238.0,33,4,19,2,12,8.65,16,1104,173,1277,86.45,285,819,480,61,51,48.11,26,7,1,0,0,24,30.0,55,13,19,111,47.03,1,12.5,112,45.9,1794,7.27,0,0,0,0,4,0,3,1,39,16,0,0,4,31,48.44,7,0,1,34,374,16,84,46,1758,34,17,3,0,19,1,23,1,0,220.05,408.0,34.13,3,0,0,0,0,15,3,0,0,0,0,0,19,0.0,0.0,60,106,80,132,7,0,0,0,64,18,18,69.23,448.5,0,0,0,312,965,3,4.13,0,91,1,33
331737,Youri Tielemans,youri-tielemans,40,Aston Villa,7.2,180.1,25,0,5,2,4,3.33,4,959,170,1129,84.94,385,574,281,32,9,52.94,58,18,0,0,0,14,30.43,24,7,10,107,61.14,22,56.41,129,60.28,1862,0.0,0,0,0,0,0,0,0,0,8,16,0,0,0,60,63.16,19,0,1,13,255,9,91,47,1484,41,25,0,0,23,1,7,0,0,217.09,278.0,35.04,2,0,0,0,0,23,4,0,0,0,0,0,21,0.0,0.0,32,17,46,85,17,0,0,0,95,27,36,62.07,0.0,0,0,0,429,700,1,1.17,0,94,14,25
1142562,Mateus Fernandes,mateus-fernandes,37,West Ham United,7.19,259.0,36,3,3,1,4,2.97,7,1366,196,1562,87.45,666,700,346,37,28,58.33,103,35,7,0,0,12,23.08,28,8,9,180,56.25,19,48.72,199,55.43,3024,10.71,0,0,0,0,0,0,2,1,8,20,1,0,2,110,61.45,36,0,4,32,333,17,147,80,2120,49,49,1,0,41,0,11,0,0,345.2,552.0,33.59,5,0,0,0,0,45,5,0,0,0,0,0,35,0.0,0.0,37,48,52,160,20,0,0,0,179,50,67,65.05,1008.0,0,0,0,716,846,1,2.0,0,182,12,36
885908,Reece James,reece-james,38,Chelsea,7.18,208.3,29,2,8,0,4,3.19,6,1178,146,1324,88.97,576,602,301,27,11,50.0,48,33,4,0,0,30,23.81,22,7,6,81,57.04,31,65.96,112,59.26,1961,9.09,0,0,0,0,7,1,1,1,4,18,0,0,2,57,55.34,41,1,3,13,298,7,91,45,1845,22,27,2,0,10,1,9,0,0,220.65,388.0,35.47,4,0,0,0,0,20,0,0,0,0,0,0,20,0.0,14.29,27,22,126,77,16,0,0,0,103,20,33,68.75,980.5,0,0,0,625,699,3,1.04,0,102,6,29
