player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
827606,Rodri,rodri,17,Manchester City,8.01,272.4,34,8,8,2,9,6.1,17,3359,274,3633,92.46,1237,2122,1019,50,42,75.0,70,26,8,1,1,0,0.0,62,22,24,146,55.73,55,70.51,201,59.12,2938,12.9,0,0,1,0,0,0,4,4,25,37,0,3,5,241,80.6,40,1,3,32,361,33,340,265,4116,35,41,0,0,31,6,16,1,0,,,,11,0,0,0,0,24,2,0,0,0,0,0,34,0.0,0.0,49,56,12,139,23,0,0,0,299,26,43,61.43,367.25,0,0,0,1303,2342,13,4.07,0,235,8,34
888971,Arijanet Murić,arijanet-muric,6,Burnley,8.0,80.0,10,0,1,0,0,0.05,0,355,171,526,67.49,281,74,28,4,0,0.0,1,0,0,0,0,0,0.0,0,0,0,3,100.0,4,100.0,7,100.0,900,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,39.55,14,2,2,0,181,0,126,75,688,3,0,0,1,0,0,0,0,64,,,,0,2,1,42,21,15,1,4,17,16,19,0,10,0.0,0.0,4,0,0,0,0,0,0,0,268,16,1,100.0,0.0,0,0,14,321,205,3,,33,106,0,10
70996,Kevin De Bruyne,kevin-de-bruyne,17,Manchester City,7.93,142.7,18,4,21,1,10,7.13,14,674,130,804,83.83,127,582,379,59,10,32.26,14,4,2,0,0,35,25.74,44,17,13,37,36.27,6,54.55,43,38.05,1235,9.09,0,0,0,0,6,0,3,1,17,27,1,1,2,22,73.33,4,0,0,20,296,24,31,12,1154,13,11,0,0,13,1,14,0,0,,,,1,0,0,0,0,7,1,0,0,0,0,0,15,0.0,0.0,59,31,136,70,5,0,0,0,30,8,9,64.29,308.75,0,0,0,140,800,6,2.41,0,54,0,18
859765,Phil Foden,phil-foden,17,Manchester City,7.79,272.8,35,19,10,7,8,6.93,27,1488,182,1670,89.1,364,1143,677,73,47,50.54,31,13,2,0,0,19,21.35,105,48,16,138,52.27,6,26.09,144,50.17,2873,18.1,0,0,0,1,4,2,13,6,59,46,1,17,1,42,62.69,16,0,1,49,417,35,69,41,2299,60,14,1,0,18,5,41,0,0,,,,8,0,0,0,0,24,3,0,0,0,0,0,33,0.0,50.0,73,93,89,143,17,0,0,0,67,27,20,64.52,151.21,0,0,0,403,1356,9,10.34,0,127,0,35
288205,Bruno Fernandes,bruno-fernandes,35,Manchester United,7.75,271.2,35,10,21,7,8,9.74,18,1517,394,1911,79.38,481,1088,666,116,19,47.5,68,27,9,0,0,52,23.32,95,41,27,115,42.91,21,43.75,136,43.04,3119,10.53,5,4,0,0,11,0,8,2,39,56,1,2,7,152,57.36,47,0,2,35,695,34,274,149,2687,28,41,3,0,58,13,27,2,0,,,,7,0,0,0,0,48,4,0,0,0,0,0,35,80.0,0.0,114,40,223,180,27,0,0,1,265,52,38,55.88,311.9,0,0,0,549,1585,7,9.94,0,200,6,35
978838,Michael Olise,michael-olise,7,Crystal Palace,7.74,147.0,19,10,9,3,6,4.99,16,506,103,609,83.09,162,369,222,36,40,54.79,19,11,0,0,0,25,25.77,57,21,15,102,51.78,7,31.82,109,49.77,1277,17.54,1,1,0,0,4,0,8,2,34,23,1,9,0,25,71.43,9,0,0,33,299,7,40,27,1078,43,13,0,0,16,2,21,0,0,,,,1,0,0,0,0,17,2,0,0,0,0,0,14,100.0,0.0,36,73,97,110,15,0,0,0,35,19,10,52.63,127.7,0,0,0,183,523,6,5.51,0,68,0,19
934235,Bukayo Saka,bukayo-saka,42,Arsenal,7.72,270.2,35,16,15,11,9,11.0,25,1087,223,1310,82.98,208,924,650,91,49,47.57,66,15,4,0,0,45,24.86,108,37,27,183,51.12,24,39.34,207,49.4,2933,14.81,6,6,1,0,0,0,15,1,80,28,1,11,4,27,42.86,19,1,0,53,537,37,61,33,2130,69,41,3,0,33,8,44,0,0,,,,3,0,0,0,0,24,3,0,0,0,0,0,35,100.0,0.0,91,103,181,212,37,0,0,0,63,27,35,53.03,183.31,0,0,0,255,1236,5,15.5,0,155,2,35
982780,Cole Palmer,cole-palmer,38,Chelsea,7.7,261.8,34,22,17,7,11,8.75,33,1089,218,1307,83.32,320,785,509,72,52,53.06,23,20,7,0,0,16,19.75,109,46,30,101,44.89,1,20.0,102,44.35,2624,20.18,9,9,1,0,11,0,19,3,52,57,2,17,3,69,65.71,11,0,2,44,451,26,127,74,1893,26,24,1,0,11,6,33,0,0,,,,1,0,0,0,0,41,5,0,0,0,0,0,29,100.0,0.0,72,98,81,128,4,0,0,0,105,46,12,52.17,119.27,0,0,0,368,1020,8,18.21,0,105,2,34
547410,Martin Ødegaard,martin-degaard,42,Arsenal,7.67,268.5,35,8,17,4,10,11.17,18,1649,251,1900,86.79,483,1196,811,102,37,49.33,49,15,2,0,0,30,38.96,77,23,24,122,42.21,3,25.0,125,41.53,3098,10.39,2,2,1,0,4,0,7,1,38,39,0,8,0,45,60.81,5,0,0,58,463,41,88,37,2463,36,30,0,0,41,3,30,0,0,,,,13,0,0,0,0,19,4,0,0,0,0,0,35,100.0,0.0,102,75,77,176,9,0,0,0,74,23,17,34.69,387.25,0,0,0,514,1463,6,7.4,0,158,1,35
356398,James Maddison,james-maddison,33,Tottenham Hotspur,7.59,212.4,28,4,11,4,9,6.27,13,1177,169,1346,87.44,326,874,546,68,32,48.48,33,13,5,0,0,23,17.29,58,23,16,139,57.68,3,33.33,142,56.8,2152,6.9,0,0,0,0,3,0,3,1,31,27,0,1,3,43,62.32,8,0,1,34,395,19,76,25,1884,74,21,0,0,14,2,19,1,0,,,,1,0,0,0,0,30,1,0,0,0,0,0,26,0.0,0.0,67,66,133,108,6,0,0,0,69,31,19,57.58,538.0,0,0,0,341,1138,4,6.43,0,60,3,28
