player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
160893,Salem Al-Dawsari,salem-al-dawsari,21895,Al-Hilal,7.93,15,,69,49,15,82.24
551772,Malcom,malcom,21895,Al-Hilal,7.76,9,,48,8,10,89.7
3306,Karim Benzema,karim-benzema,34315,Al-Ittihad,7.74,21,,29,14,9,81.91
280955,Rúben Neves,ruben-neves,21895,Al-Hilal,7.72,1,,7,47,8,91.75
1106234,Musab Al Juwayr,musab-fahd-aljuwayr,34313,Al-Shabab,7.63,5,,32,67,10,86.48
789438,Cristian Guanca,cristian-guanca,34313,Al-Shabab,7.61,12,,20,31,11,89.12
880790,Mourad Batna,mourad-batna,56023,Al-Fateh,7.61,13,,71,16,6,84.23
115577,Kostas Fortounis,kostas-fortounis,167228,Al-Khaleej,7.6,9,,75,25,5,81.12
750,Cristiano Ronaldo,cristiano-ronaldo,23400,Al-Nassr,7.6,25,,17,6,3,82.1
312110,Alex Telles,alex-telles,23400,Al-Nassr,7.6,0,,2,5,0,92.04
331447,Sergej Milinković-Savić,sergej-milinkovic-savic,21895,Al-Hilal,7.58,12,,24,43,6,81.93
920497,Mohammed Al-Yami,mohammed-al-rubaie,21895,Al-Hilal,7.55,0,,0,0,0,69.77
158213,Riyad Mahrez,riyad-mahrez,34469,Al-Ahli,7.55,8,,25,34,10,85.2
108800,Marcelo Brozović,marcelo-brozovic,23400,Al-Nassr,7.55,2,,12,57,5,90.75
249061,Lucas Zelarayán,lucas-zelarayan,56023,Al-Fateh,7.55,1,,36,12,2,81.51
217704,Sadio Mané,sadio-mane,23400,Al-Nassr,7.53,14,,49,43,11,80.4
916176,Cameron Puertas,cameron-puertas,56027,Al-Qadsiah,7.53,3,,38,83,9,85.44
843114,Julián Quiñones,julian-quinones,56027,Al-Qadsiah,7.53,20,,36,16,5,76.69
244801,Otávio,otavio,23400,Al-Nassr,7.52,1,,31,57,5,86.81
818749,Ahmed Al-Kassar,ahmed-al-kassar,56027,Al-Qadsiah,7.5,0,,0,0,0,83.33
869271,Rakan Najjar,rakan-najjar,336456,Al-Okhdood,7.5,0,,0,1,0,61.82
192144,Aleksandar Mitrović,aleksandar-mitrovic,21895,Al-Hilal,7.48,19,,8,13,2,74.73
859767,Alex Collado,alex-collado,269199,Al-Kholood,7.48,5,,61,62,2,83.5
855817,Moussa Diaby,moussa-diaby,34315,Al-Ittihad,7.47,5,,39,13,14,84.44
361798,Steven Bergwijn,steven-bergwijn,34315,Al-Ittihad,7.47,13,,39,23,7,89.28
234148,N'Golo Kanté,n-golo-kante,34315,Al-Ittihad,7.47,4,,50,76,3,90.48
883367,Mailson,mailson,56021,Al-Taawoun,7.44,0,,0,0,0,70.7
51498,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,56027,Al-Qadsiah,7.43,17,,22,9,3,77.07
290927,Ivan Toney,ivan-toney,34469,Al-Ahli,7.43,23,,12,19,4,71.88
138892,João Cancelo,joao-cancelo,21895,Al-Hilal,7.42,0,,53,55,5,85.25
329245,Talisca,talisca,23400,Al-Nassr,7.4,6,,6,6,0,81.09
818123,Waled Al Enazi,waled-al-enazi,56023,Al-Fateh,7.4,0,,0,0,0,69.23
342909,Georges-Kévin N'Koudou,georges-kevin-nkoudou,204126,Damac FC,7.39,13,,78,26,3,79.75
851150,Renan Lodi,renan-lodi,21895,Al-Hilal,7.39,3,,12,40,7,86.29
1857290,Hamed Al-Shanqity,hamed-al-shanqity,34315,Al-Ittihad,7.37,0,,0,0,0,65.45
826961,Abderazak Hamdallah,abderazak-hamdallah,34313,Al-Shabab,7.36,21,,26,12,2,80.48
79413,Milan Borjan,milan-borjan,168088,Al-Riyadh,7.35,0,,3,1,0,59.85
893191,Mohamed Fouzair,mohamed-fouzair,56031,Al Raed,7.35,2,,11,16,0,70.59
309154,Amir Saâyoud,amir-saayoud,56031,Al Raed,7.34,8,,66,11,7,78.21
1014518,Nawaf Al-Aqidi,nawaf-al-aqidi,56023,Al-Fateh,7.33,0,,0,1,1,70.92
1396009,Kaio César,kaio-cesar,21895,Al-Hilal,7.32,3,,23,14,3,82.8
972585,Juan Pedroza,juan-pedroza,336456,Al-Okhdood,7.31,1,,24,93,2,84.14
850035,Luiz Felipe,luiz-felipe,34315,Al-Ittihad,7.3,0,,0,0,0,92.31
143697,Roberto Firmino,roberto-firmino,34469,Al-Ahli,7.29,5,,22,21,3,79.91
143786,Fayçal Fajr,faycal-fajr,56021,Al-Taawoun,7.28,0,,14,42,6,87.37
1089231,Tozé,toze,168088,Al-Riyadh,7.28,5,,24,63,4,86.8
358694,Marek Rodák,marek-rodak,34318,Al-Ettifaq,7.27,0,,2,2,0,71.44
