player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
916680,Musa Barrow,musa-barrow,56021,Al-Taawoun,7.96,39.8,5,3,5,0,3,1.18,6,129,18,147,87.76,34,95,51,11,10,71.43,4,0,0,0,0,2,18.18,11,6,5,17,48.57,2,40.0,19,47.5,398,27.27,0,0,0,0,0,0,3,0,6,5,0,1,2,7,58.33,3,0,0,7,49,3,15,10,230,3,5,1,0,3,0,0,0,0,29.07,51,35.11,1,0,0,0,0,6,1,0,0,0,0,0,5,0.0,0.0,11,14,11,21,3,0,0,0,12,7,3,75.0,132.67,0,0,0,37,110,2,0.67,0,14,0,5
280955,Rúben Neves,ruben-neves,21895,Al-Hilal,7.85,243.5,31,11,22,1,6,8.05,17,2002,238,2240,89.38,836,1166,599,63,11,47.83,54,26,4,0,0,58,22.83,50,18,21,79,59.4,17,42.5,96,55.49,2749,22.0,9,8,0,1,8,1,8,3,10,40,0,0,11,201,66.56,69,0,2,2,483,28,247,145,2864,15,14,0,1,27,2,11,1,0,231.79,228,35.52,15,0,0,0,0,21,2,0,0,0,0,0,31,88.89,12.5,62,23,254,77,23,0,0,1,302,23,35,64.81,249.91,0,0,0,869,1371,12,8.4,2,167,12,31
851671,João Félix,joao-felix,23400,Al-Nassr,7.75,255.8,33,20,23,13,13,11.4,33,855,192,1047,81.66,181,674,474,96,50,47.17,29,8,7,0,0,32,23.88,116,51,40,154,49.2,19,45.24,173,48.73,2908,17.24,1,1,1,0,2,0,17,3,83,33,2,5,13,40,48.78,12,0,1,32,477,20,106,46,1738,75,57,5,0,19,4,25,4,0,95.09,108,35.54,13,0,0,0,0,25,1,0,0,0,0,0,33,100.0,0.0,92,106,134,182,23,0,0,0,82,26,15,51.72,145.4,0,0,0,195,852,7,14.89,0,84,1,33
115577,Kostas Fortounis,kostas-fortounis,167228,Al-Khaleej,7.67,222.3,29,10,28,3,12,10.81,22,1162,279,1441,80.64,428,734,438,100,48,50.53,14,4,2,0,0,72,26.57,63,22,26,123,49.4,4,30.77,127,48.47,2547,15.87,5,5,0,0,6,0,8,2,33,30,0,1,9,137,72.11,4,0,0,50,647,22,180,112,2150,62,4,2,0,25,10,15,0,0,183.37,262,34.72,1,0,0,0,0,36,7,0,0,0,0,0,29,100.0,0.0,100,95,271,135,9,0,0,0,190,43,9,64.29,254.7,0,0,0,474,967,4,9.88,0,93,1,29
843114,Julián Quiñones,julian-quinones,56027,Al-Qadsiah,7.59,235.3,31,33,10,20,4,4.96,37,630,181,811,77.68,193,437,265,23,19,40.43,19,7,4,0,0,3,17.65,136,59,47,76,42.46,44,50.57,120,45.11,2724,24.26,2,2,1,0,0,0,31,2,108,28,4,5,23,23,58.97,21,0,1,50,357,25,49,31,1315,38,18,0,0,8,15,30,1,0,185.63,372,33.69,8,0,0,0,0,23,6,0,0,0,0,0,31,100.0,0.0,22,47,17,146,43,0,0,0,39,29,8,42.11,82.55,0,0,0,225,586,7,27.36,0,88,0,31
328745,Ibrahim Zaied,ibrahim-zaied,168086,Al-Hazem,7.55,90.6,12,0,0,0,0,0.01,0,129,86,215,60.0,105,24,5,0,1,100.0,2,0,0,0,0,0,0.0,0,0,0,4,66.67,3,100.0,7,77.78,1002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,34.65,9,0,1,0,87,0,39,21,361,1,0,0,0,2,0,0,0,44,8.02,0,23.94,1,4,0,35,9,14,3,3,8,7,7,0,11,0.0,0.0,0,1,0,2,0,0,0,0,127,17,1,50.0,0.0,0,0,5,121,94,2,,37,108,0,12
182001,Yannick Carrasco,yannick-carrasco,34313,Al-Shabab,7.53,218.4,29,18,14,12,8,8.74,26,725,165,890,81.46,172,553,392,76,74,45.68,24,7,4,0,0,51,26.02,103,51,28,163,46.97,5,55.56,168,47.19,2508,17.48,9,8,4,0,15,1,15,3,68,35,0,4,14,24,48.0,6,0,0,63,579,28,44,17,1756,66,20,3,0,15,16,24,0,0,124.83,228,35.92,5,0,0,0,0,48,3,0,0,0,0,0,28,88.89,6.67,76,162,196,188,4,0,0,1,50,51,11,45.83,139.33,0,0,0,187,703,7,16.23,0,122,0,29
138892,João Cancelo,joao-cancelo,21895,Al-Hilal,7.5,15.0,2,0,2,0,0,0.76,0,93,13,106,87.74,44,49,23,4,1,100.0,4,3,0,0,0,2,22.22,4,1,1,9,52.94,0,0.0,9,52.94,174,0.0,0,0,0,0,0,0,0,0,3,1,0,0,0,7,63.64,3,0,0,3,31,4,14,11,161,4,5,0,0,0,1,2,0,0,8.51,15,33.13,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,0.0,4,1,9,8,0,0,0,0,11,2,2,50.0,0.0,0,0,0,47,59,0,0.39,0,13,1,2
158213,Riyad Mahrez,riyad-mahrez,34469,Al-Ahli,7.49,202.3,27,4,20,2,8,8.74,12,742,131,873,84.99,222,520,315,79,26,57.78,25,8,1,0,0,56,39.72,38,10,14,74,48.37,9,56.25,83,49.11,2311,10.53,0,0,1,0,3,0,3,1,27,11,0,4,0,54,65.85,9,0,0,34,333,23,92,50,1356,23,11,2,0,15,18,14,3,0,175.31,226,35.27,6,0,0,0,0,16,1,0,0,0,0,0,27,0.0,0.0,76,45,141,86,7,0,0,0,82,17,11,44.0,577.75,0,0,0,233,640,7,3.61,0,97,2,27
126071,Kalidou Koulibaly,kalidou-koulibaly,21895,Al-Hilal,7.44,133.9,18,1,3,2,2,0.97,3,862,107,969,88.96,417,445,169,11,4,66.67,36,24,6,1,1,1,33.33,11,3,6,43,58.9,36,64.29,79,61.24,1596,9.09,0,0,0,0,0,0,1,0,10,1,0,1,0,60,52.17,59,0,0,1,127,2,78,40,1192,3,13,1,0,15,1,2,1,0,112.21,116,32.9,7,0,0,0,0,13,1,0,0,0,0,0,18,0.0,0.0,10,6,3,50,20,0,0,0,115,14,25,69.44,1596.0,0,0,0,435,534,6,1.68,10,101,14,18
