player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
253369,Simone Perilli,simone-perilli,2701,Hellas Verona,8.1,8.1,1,0,0,0,0,0.01,0,15,20,35,42.86,7,8,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28.57,0,0,0,0,21,0,0,0,47,0,0,0,0,0,0,0,0,8,,,,0,0,0,7,1,2,0,0,1,1,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,28,2,0,0.0,0.0,0,0,2,9,26,1,0.0,5.0,12.0,,1
135700,Hakan Çalhanoğlu,hakan-calhanoglu,2697,Inter,7.68,245.8,32,13,5,0,3,5.83,16,1986,164,2150,92.37,1003,1038,470,53,7,50.0,66,24,5,0,0,55,35.95,62,23,22,96,57.14,26,59.09,122,57.55,2576,20.97,10,10,0,0,12,0,12,1,16,46,0,1,12,148,76.29,21,0,0,7,312,15,162,108,2648,23,43,3,0,17,0,17,1,0,,,,6,0,0,0,0,16,3,0,0,0,0,0,32,100.0,0.0,52,14,153,90,18,0,0,0,194,19,33,50.0,198.15,0,0,0,1049,1254,12,10.15,0.0,166.0,,32
233252,Davide Biraschi,davide-biraschi,2713,Genoa,7.6,7.6,1,1,0,0,0,0.01,1,25,5,30,83.33,14,11,4,0,1,100.0,3,2,0,0,0,0,0.0,1,1,0,6,75.0,1,100.0,7,77.78,90,100.0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,100.0,3,0,0,0,6,0,5,4,51,2,0,0,0,2,0,0,0,0,,,,0,0,0,0,0,4,0,0,0,0,0,0,1,0.0,0.0,0,1,0,2,0,0,0,0,3,4,3,100.0,90.0,0,0,0,16,14,0,0.1,0.0,4.0,,1
301162,Raffaele Di Gennaro,raffaele-di-gennaro,2697,Inter,7.6,7.6,1,0,0,0,0,0.0,0,12,1,13,92.31,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,0,0,0,0,2,0,1,1,21,0,0,0,0,0,0,0,0,4,,,,0,0,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,1,12,1,0,,1.0,3.0,,1
587126,Nicolas Haas,nicolas-haas,2705,Empoli,7.6,7.6,1,0,0,0,0,0.04,0,46,5,51,90.2,26,20,14,0,0,0.0,5,1,1,0,0,0,0.0,1,1,0,6,85.71,3,100.0,9,90.0,90,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,100.0,1,0,0,0,6,0,7,6,63,1,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,1,1,0,0,0,0,0,1,0.0,0.0,0,0,0,1,0,0,0,0,4,2,3,60.0,0.0,0,0,0,28,23,0,0.1,0.0,9.0,,1
793986,Mile Svilar,mile-svilar,2702,AS Roma,7.51,112.7,15,0,0,0,0,0.02,0,449,79,528,85.04,413,36,7,1,1,100.0,0,0,1,0,0,0,0.0,0,0,0,4,100.0,6,100.0,10,100.0,1350,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,43.38,7,0,1,0,79,0,14,6,697,4,0,0,0,0,0,0,0,61,,,,5,2,1,36,23,17,2,5,1,1,16,0,15,0.0,0.0,1,1,0,0,0,0,0,0,136,19,0,0.0,0.0,0,0,21,425,103,2,,89.0,124.0,,15
823984,Lautaro Martínez,lautaro-martinez,2697,Inter,7.5,247.5,33,24,7,13,3,1.96,27,601,159,760,79.08,202,401,233,36,19,32.76,22,20,5,0,0,2,13.33,108,47,34,100,41.84,38,58.46,138,45.39,2668,22.22,3,2,2,1,0,0,21,3,88,20,2,5,17,21,65.63,9,0,0,45,331,28,42,19,1291,59,46,5,0,15,12,27,0,0,,,,8,0,0,0,0,12,4,0,0,0,0,0,31,66.67,0.0,36,58,15,166,27,0,0,1,32,16,16,72.73,111.17,0,0,0,239,536,4,17.64,0.0,90.0,,33
889259,Khvicha Kvaratskhelia,khvicha-kvaratskhelia,2714,SSC Napoli,7.48,254.2,34,11,11,14,6,5.4,17,921,154,1075,85.67,252,692,373,63,101,50.75,42,13,8,0,0,23,23.23,128,45,37,220,52.01,14,41.18,234,51.2,2750,8.59,0,0,2,0,4,1,9,2,79,49,1,2,8,63,73.26,7,0,0,48,452,20,95,56,1873,80,25,2,0,34,4,46,0,0,,,,2,0,0,0,0,34,6,0,0,0,0,0,32,0.0,25.0,63,199,99,223,20,0,0,0,86,40,21,50.0,250.0,0,0,0,274,900,7,11.15,0.0,99.0,,34
844609,Michele Di Gregorio,michele-di-gregorio,2729,Monza,7.45,245.7,33,0,0,0,0,0.05,0,854,294,1148,74.39,730,124,42,0,3,100.0,1,1,0,0,0,0,0.0,0,0,0,6,60.0,8,88.89,14,73.68,2874,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,45.94,25,1,1,1,299,0,168,87,1547,4,0,0,0,3,0,0,0,127,,,,12,5,2,72,52,29,6,15,5,5,17,0,33,0.0,0.0,0,3,0,5,1,0,0,0,529,35,0,0.0,0.0,0,0,31,825,323,7,0.0,223.0,291.0,,33
253367,Domenico Berardi,domenico-berardi,2793,Sassuolo,7.42,126.2,17,9,4,2,3,2.53,12,391,168,559,69.95,84,319,202,27,11,44.0,17,13,6,0,0,12,16.67,51,24,14,56,39.72,9,33.33,65,38.69,1438,17.65,5,5,1,0,2,0,7,2,24,27,0,8,1,49,55.68,8,0,0,24,303,12,95,52,897,28,28,1,0,19,4,13,0,0,,,,0,0,0,0,0,23,4,0,0,0,0,0,17,100.0,0.0,27,25,72,103,18,0,0,0,88,27,8,47.06,159.78,0,0,0,107,524,4,6.54,0.0,57.0,,17
