player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
32493,Dries Mertens,dries-mertens,3061,Galatasaray,7.61,9,8.12,15,43,16,77.23
847983,Sebastian Szymański,sebastian-szymanski,3052,Fenerbahçe,7.55,10,9.31,10,85,11,78.37
295123,Paul Onuachu,paul-onuachu,3051,Trabzonspor,7.52,14,8.11,11,6,4,67.0
233114,Mauro Icardi,mauro-icardi,3061,Galatasaray,7.51,25,21.23,7,6,8,75.05
797144,Đorđe Nikolić,dorde-nikolic,3076,Sivasspor,7.5,0,,0,0,0,63.85
139798,Valentin Eysseric,valentin-eysseric,4954,Fatih Karagümrük,7.46,5,4.48,27,42,7,80.08
825844,Ferdi Kadıoğlu,ferdi-kadioglu,3052,Fenerbahçe,7.44,1,2.5,57,75,4,84.8
38560,Dušan Tadić,dusan-tadic,3052,Fenerbahçe,7.42,10,14.9,32,33,14,73.95
128196,Aytaç Kara,aytac-kara,6063,Kasımpaşa,7.41,13,9.16,19,73,5,82.82
1195797,Poyraz Efe Yıldırım,poyraz-efe-yildirim,3051,Trabzonspor,7.4,1,0.96,0,0,0,66.67
254979,Haris Hajradinović,haris-hajradinovic,6063,Kasımpaşa,7.39,5,6.16,26,63,14,73.48
226986,İrfan Can Kahveci,irfan-can-kahveci,3052,Fenerbahçe,7.39,12,3.98,36,33,7,79.82
14990,Edin Džeko,edin-dzeko,3052,Fenerbahçe,7.39,21,21.64,22,19,3,69.79
224112,Guilherme Haubert Sityá,guilherme-haubert-sitya,3085,Konyaspor,7.35,5,1.62,30,87,7,75.75
243623,Fred,fred,3052,Fenerbahçe,7.34,3,3.99,25,51,4,83.55
903324,Kerem Aktürkoğlu,kerem-akturkoglu,3061,Galatasaray,7.33,12,12.89,32,28,6,66.75
587882,Rey Manaj,rey-manaj,3076,Sivasspor,7.31,18,14.34,20,13,3,74.7
896364,Yusuf Sarı,yusuf-sari,3101,Adana Demirspor,7.3,3,2.92,45,22,7,79.21
999396,Oğuz Aydın,oguz-aydin,6362,Alanyaspor,7.28,13,9.34,54,25,8,77.23
209374,Nuno Da Costa,nuno-da-costa,6063,Kasımpaşa,7.28,14,10.67,49,23,4,64.03
109779,Edin Višća,edin-visca,3051,Trabzonspor,7.28,5,4.34,28,34,9,75.71
249437,Hakim Ziyech,hakim-ziyech,3061,Galatasaray,7.26,6,2.01,15,18,3,76.97
114076,Tasos Bakasetas,tasos-bakasetas,3051,Trabzonspor,7.26,4,2.71,8,27,2,82.97
895009,Emirhan Topçu,emirhan-topcu,3064,Çaykur Rizespor,7.26,1,2.0,6,65,4,78.1
180981,Mame Thiam,mame-thiam,7032,Pendikspor,7.26,18,13.28,18,47,7,72.95
99527,Samu Sáiz,samu-saiz,3076,Sivasspor,7.25,4,2.05,26,8,3,82.42
128587,Thomas Meunier,thomas-meunier,3051,Trabzonspor,7.24,1,0.58,4,24,5,84.61
94540,Ali Şaşal Vural,ali-sasal-vural,3076,Sivasspor,7.23,0,0.0,2,2,0,65.21
178963,Abdülkerim Bardakcı,abdulkerim-bardakc,3061,Galatasaray,7.23,4,3.21,11,25,0,85.13
841199,Denis Drăguş,denis-dragus,5138,Gaziantep FK,7.22,14,13.78,85,54,1,66.36
825850,Bilal Bayazit,bilal-bayazit,3072,Kayserispor,7.22,0,0.0,0,3,0,67.99
28381,Fernando Muslera,fernando-muslera,3061,Galatasaray,7.2,0,0.0,1,1,0,80.82
142619,Kerem Demirbay,kerem-demirbay,3061,Galatasaray,7.2,6,3.03,19,66,3,83.24
910094,Taha Tepe,taha-tepe,3051,Trabzonspor,7.2,0,,0,0,0,72.84
329081,Helton Leite,helton-leite,3056,Antalyaspor,7.2,0,0.0,0,1,0,78.86
754794,Lucas Torreira,lucas-torreira,3061,Galatasaray,7.2,1,2.08,9,80,2,89.52
558738,Krzysztof Piątek,krzysztof-piatek,3086,Başakşehir FK,7.2,17,14.78,17,14,1,72.23
758608,Çağlar Söyüncü,caglar-soyuncu,3052,Fenerbahçe,7.19,2,1.6,1,14,0,81.96
343527,Emre Akbaba,emre-akbaba,3101,Adana Demirspor,7.19,7,7.41,32,65,2,75.58
862055,Gedson Fernandes,gedson-fernandes,3050,Beşiktaş JK,7.19,3,2.94,46,99,3,83.63
1138856,Adam Buksa,adam-buksa,3056,Antalyaspor,7.19,16,12.27,27,17,2,67.86
126077,Ertaç Özbir,ertac-ozbir,3103,MKE Ankaragücü,7.19,0,0.0,1,1,0,82.22
111850,Wilfried Zaha,wilfried-zaha,3061,Galatasaray,7.18,9,4.15,43,29,3,79.36
295361,Mahmoud Trézéguet,mahmoud-trezeguet,3051,Trabzonspor,7.17,9,6.45,23,17,5,83.71
225012,Gökhan Akkan,gokhan-akkan,3064,Çaykur Rizespor,7.17,0,0.0,1,1,1,68.83
897617,Richard,richard-candido,6362,Alanyaspor,7.16,1,1.3,16,74,1,89.13
