player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
925285,Devis Vásquez,devis-vasquez,3050,Beşiktaş JK,7.8,0,,0,0,0,82.86
2266453,Bachir Gueye,bachir-gueye,3056,Antalyaspor,7.75,2,0.33,1,2,0,57.14
907461,Orkun Kökçü,orkun-kokcu,3050,Beşiktaş JK,7.55,8,7.42,18,33,8,85.59
913985,Tarık Çetin,tarik-cetin,3052,Fenerbahçe,7.45,0,,0,0,0,71.19
1481134,Chibuike Nwaiwu,chibuike-nwaiwu,3051,Trabzonspor,7.43,3,1.63,4,34,1,91.33
852404,Mattéo Guendouzi,matteo-guendouzi,3052,Fenerbahçe,7.4,1,0.73,11,15,1,90.53
1065508,Deniz Dilmen,deniz-dilmen,3086,Başakşehir FK,7.4,0,,0,0,0,70.59
840297,Ali Emre Yanar,ali-emre-yanar,6063,Kasımpaşa,7.4,0,,0,0,0,62.07
827418,Muhammed Şengezer,muhammed-sengezer,3086,Başakşehir FK,7.39,0,,1,2,1,71.49
361004,Marco Asensio,marco-asensio,3052,Fenerbahçe,7.31,11,6.29,17,14,12,86.6
1128844,Emersonn,emersonn,3054,Göztepe,7.3,1,0.28,3,4,0,62.96
359332,Majid Hosseini,majid-hosseini,3072,Kayserispor,7.3,0,,2,7,0,89.84
1210422,Jankat Yılmaz,jankat-yilmaz,7040,Eyüpspor,7.29,0,,0,0,0,61.67
353282,Oleksandr Zubkov,oleksandr-zubkov,3051,Trabzonspor,7.24,4,4.11,38,31,7,78.94
981395,Arseniy Batagov,arseniy-batagov,3051,Trabzonspor,7.23,0,1.05,8,47,2,89.23
252577,Rafa Silva,rafa-silva,3050,Beşiktaş JK,7.23,5,4.49,17,9,1,80.67
857738,Yunus Akgün,yunus-akgun,3061,Galatasaray,7.22,7,6.06,24,21,9,85.95
283847,Ivo Grbić,ivo-grbic,4954,Fatih Karagümrük,7.22,0,,0,5,0,75.02
329245,Talisca,talisca,3052,Fenerbahçe,7.21,19,16.3,15,9,4,81.67
913593,Gabriel Sara,gabriel-sara,3061,Galatasaray,7.18,5,2.48,17,28,4,86.96
791355,Eldor Shomurodov,eldor-shomurodov,3086,Başakşehir FK,7.18,22,15.42,30,28,5,75.7
293519,Leroy Sané,leroy-sane,3061,Galatasaray,7.18,7,6.18,67,32,5,84.45
180511,Alexandru Maxim,alexandru-maxim,5138,Gaziantep FK,7.17,5,5.59,20,31,7,87.07
76265,Stefan Savić,stefan-savic,3051,Trabzonspor,7.16,1,0.85,3,15,1,90.13
354860,Florent Hadergjonaj,florent-hadergjonaj,6362,Alanyaspor,7.15,6,3.0,11,23,9,77.05
295123,Paul Onuachu,paul-onuachu,3051,Trabzonspor,7.15,22,16.9,24,6,2,73.46
43559,Güray Vural,guray-vural,3056,Antalyaspor,7.15,2,1.35,1,4,0,72.55
924670,Ernest Muçi,ernest-muci,3051,Trabzonspor,7.14,11,7.78,27,18,3,86.19
845792,Ricardo Velho,ricardo-velho,7802,Gençlerbirliği,7.13,0,,1,1,0,55.72
124737,Gabriel Paulista,gabriel-paulista,3050,Beşiktaş JK,7.13,0,0.39,1,8,1,85.36
217110,Julián Cuesta,julian-cuesta,3056,Antalyaspor,7.13,0,,1,2,0,61.24
928295,Adrian Benedyczak,adrian-benedyczak,6063,Kasımpaşa,7.13,10,6.92,3,11,1,65.22
896364,Yusuf Sarı,yusuf-sari,3086,Başakşehir FK,7.13,1,2.62,24,10,6,85.8
754330,Uğurcan Çakır,ugurcan-cakir,3061,Galatasaray,7.12,0,,1,0,0,77.01
178963,Abdülkerim Bardakcı,abdulkerim-bardakc,3061,Galatasaray,7.12,0,1.9,10,40,1,89.66
1013842,Emmanuel Agbadou,emmanuel-agbadou,3050,Beşiktaş JK,7.12,1,0.38,5,25,1,88.84
254979,Haris Hajradinović,haris-hajradinovic,6063,Kasımpaşa,7.11,2,1.93,5,18,0,75.23
243623,Fred,fred,3052,Fenerbahçe,7.11,3,3.88,16,42,4,85.06
787498,André Onana,andre-onana,3051,Trabzonspor,7.11,0,,3,0,1,75.35
187205,Milan Škriniar,milan-skriniar,3052,Fenerbahçe,7.11,2,1.14,3,40,0,93.26
1479523,Yusuf Akçiçek,akcicek-yusuf,3052,Fenerbahçe,7.1,0,,0,0,0,92.59
867595,Batuhan Şen,batuhan-ahmet-sen,3061,Galatasaray,7.1,0,,0,0,0,78.57
1618417,Arda Yavuz,yavuz-arda,7040,Eyüpspor,7.1,0,,0,3,0,57.89
358524,Marcos Felipe,marcos-felipe,7040,Eyüpspor,7.1,0,,0,0,0,71.28
1108094,Adamo Nagalo,adamo-nagalo,3085,Konyaspor,7.1,0,0.09,4,8,0,89.47
904096,Barış Alper Yılmaz,baris-alper-yilmaz,3061,Galatasaray,7.09,8,8.13,47,23,11,78.58
754794,Lucas Torreira,lucas-torreira,3061,Galatasaray,7.09,3,1.01,7,51,4,91.07
234148,N'Golo Kanté,n-golo-kante,3052,Fenerbahçe,7.09,2,0.36,9,37,0,88.41
997705,Erhan Erentürk,erhan-erenturk,7802,Gençlerbirliği,7.09,0,,0,0,0,49.47
1010634,Hyeon-gyu Oh,hyun-gyu-oh,3050,Beşiktaş JK,7.08,6,3.63,4,3,1,74.02
284395,Qazim Laci,qazim-laci,3064,Çaykur Rizespor,7.07,7,5.25,20,43,9,83.53
566102,Davinson Sánchez,davinson-sanchez,3061,Galatasaray,7.07,1,1.26,9,47,0,90.04
1888002,Christ Inao Oulaï,christ-inao-oulai,3051,Trabzonspor,7.07,2,1.07,41,49,4,91.41
903324,Kerem Aktürkoğlu,kerem-akturkoglu,3052,Fenerbahçe,7.07,8,6.36,22,21,7,75.71
822471,Victor Osimhen,victor-osimhen,3061,Galatasaray,7.06,15,16.89,8,14,5,74.09
105971,Enzo Roco,enzo-roco,4954,Fatih Karagümrük,7.06,0,0.09,1,8,0,82.05
803023,Rick Van Drongelen,rick-van-drongelen,3053,Samsunspor,7.06,2,1.78,11,48,1,87.36
2335264,Eren Yagmur,eren-yagmur,3085,Konyaspor,7.05,1,0.45,2,4,1,55.0
105974,Ertuğrul Taşkıran,ertugrul-taskran,6362,Alanyaspor,7.05,0,,0,2,0,74.15
798375,Mateusz Lis,mateusz-lis,3054,Göztepe,7.05,0,,0,0,0,38.19
758608,Çağlar Söyüncü,caglar-soyuncu,3052,Fenerbahçe,7.04,0,0.16,0,19,1,88.74
974582,Hrvoje Smolčić,hrvoje-smolcic,3065,Kocaelispor,7.03,1,0.92,15,31,1,85.11
357746,Diogo Gonçalves,diogo-goncalves,3085,Konyaspor,7.03,2,1.13,1,5,0,75.51
895009,Emirhan Topçu,emirhan-topcu,3050,Beşiktaş JK,7.03,1,0.82,10,50,0,83.26
226986,İrfan Can Kahveci,irfan-can-kahveci,6063,Kasımpaşa,7.03,2,2.29,18,33,3,76.55
825850,Bilal Bayazit,bilal-bayazit,3072,Kayserispor,7.03,0,,1,1,0,64.44
792142,Felix Uduokhai,felix-uduokhai,3050,Beşiktaş JK,7.03,0,0.23,2,24,0,91.1
1102788,Dorgeles Nene,nene-dorgeles,3052,Fenerbahçe,7.02,9,5.53,12,25,3,81.74
875136,Noa Lang,noa-lang,3061,Galatasaray,7.02,0,0.93,13,6,3,83.38
