player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
70996,Kevin De Bruyne,kevin-de-bruyne,17,Manchester City,8.65,2,1.16,2,4,1,84.13
944656,Julián Alvarez,julian-alvarez,17,Manchester City,8.07,5,1.74,6,3,2,90.8
859765,Phil Foden,phil-foden,17,Manchester City,8.04,5,3.26,11,1,3,89.93
136924,Willi Orbán,willi-orban,36360,RB Leipzig,7.9,1,0.25,1,4,0,92.52
827606,Rodri,rodri,17,Manchester City,7.86,1,0.81,10,14,2,91.88
85859,Antoine Griezmann,antoine-griezmann,2836,Atlético Madrid,7.84,6,4.24,5,12,1,86.36
831005,Raphinha,raphinha,2817,FC Barcelona,7.74,3,2.53,8,8,2,80.12
991011,Jude Bellingham,jude-bellingham,2829,Real Madrid,7.74,4,3.02,19,20,5,90.14
934235,Bukayo Saka,bukayo-saka,42,Arsenal,7.71,4,1.57,10,16,4,85.65
162653,Nick Pope,nick-pope,39,Newcastle United,7.7,0,,0,0,0,63.0
826643,Kylian Mbappé,kylian-mbappe,1644,Paris Saint-Germain,7.69,8,8.16,36,2,0,84.66
868812,Vinícius Júnior,vinicius-junior,2829,Real Madrid,7.66,6,4.49,37,8,4,79.56
997183,Xavi Simons,xavi-simons,36360,RB Leipzig,7.65,2,1.25,15,5,2,81.88
108579,Harry Kane,harry-kane,2672,FC Bayern München,7.62,8,5.9,4,9,4,69.59
138892,João Cancelo,joao-cancelo,2817,FC Barcelona,7.6,2,0.63,29,32,1,87.8
138491,Alexander Meyer,alexander-meyer,2673,Borussia Dortmund,7.6,0,,0,0,0,84.44
845754,Wenderson Galeno,wenderson-galeno,3002,FC Porto,7.59,5,2.87,9,7,3,70.27
934386,Jérémy Doku,jeremy-doku,17,Manchester City,7.59,1,1.28,29,6,1,89.88
857574,Andriy Lunin,andriy-lunin,2829,Real Madrid,7.58,0,,0,0,0,73.52
592010,Mikel Merino,mikel-merino,2824,Real Sociedad,7.56,2,1.94,10,15,1,79.44
856076,David Raum,david-raum,36360,RB Leipzig,7.56,1,0.21,0,17,3,84.49
874705,Samuel Lino,samuel-lino,2836,Atlético Madrid,7.54,3,2.04,9,12,3,90.38
16206,Yann Sommer,yann-sommer,2697,Inter,7.54,0,,0,0,0,82.64
556866,Gregor Kobel,gregor-kobel,2673,Borussia Dortmund,7.54,0,,1,0,0,79.95
282073,Alexander Schlager,alexander-schlager,2046,Red Bull Salzburg,7.53,0,,0,0,0,75.0
812533,Mehdi Taremi,mehdi-taremi,3002,FC Porto,7.53,2,2.6,3,17,2,73.24
577726,Ramy Bensebaini,ramy-bensebaini,2673,Borussia Dortmund,7.52,0,0.09,2,21,0,76.8
857480,Calvin Stengs,calvin-stengs,2959,Feyenoord,7.52,1,0.4,12,8,1,78.73
70988,Thibaut Courtois,thibaut-courtois,2829,Real Madrid,7.5,0,,0,0,0,77.78
259117,Joshua Kimmich,joshua-kimmich,2672,FC Bayern München,7.49,1,0.73,4,23,2,90.88
902029,Vitinha,vitinha,1644,Paris Saint-Germain,7.48,2,1.31,11,15,1,93.85
288205,Bruno Fernandes,bruno-fernandes,35,Manchester United,7.47,2,1.56,7,13,2,75.1
889689,Hwang In-beom,hwang-in-beom,5149,FK Crvena zvezda,7.47,1,0.91,3,19,1,80.67
945122,Matheus Nunes,matheus-nunes,17,Manchester City,7.45,0,1.69,9,4,1,92.88
26502,Toni Kroos,toni-kroos,2829,Real Madrid,7.44,0,0.32,2,21,2,95.24
1015287,Natan,natan,2714,SSC Napoli,7.44,0,0.25,2,10,1,87.31
189061,Jack Grealish,jack-grealish,17,Manchester City,7.44,0,1.15,6,3,2,89.01
45853,İlkay Gündoğan,ilkay-gundogan,2817,FC Barcelona,7.43,0,0.94,10,5,4,90.68
998490,Evanilson,evanilson,3002,FC Porto,7.41,4,1.75,5,6,1,80.19
845385,Brais Méndez,brais-mendez,2824,Real Sociedad,7.41,3,1.66,8,13,1,82.14
122951,Casemiro,casemiro,35,Manchester United,7.4,2,0.21,1,6,0,78.95
30027,Ángel Di María,angel-di-maria,3006,Benfica,7.4,1,0.34,8,3,1,83.44
547838,Dani Ceballos,dani-ceballos,2829,Real Madrid,7.4,1,0.19,3,3,0,91.3
857764,Anthony Racioppi,anthony-racioppi,2445,BSC Young Boys,7.4,0,,0,0,0,66.3
941669,Dmytro Riznyk,dmytro-riznyk,3313,Shakhtar Donetsk,7.4,0,,1,1,0,75.69
875136,Noa Lang,noa-lang,2952,PSV Eindhoven,7.4,0,0.46,13,2,0,78.18
964994,Joško Gvardiol,josko-gvardiol,17,Manchester City,7.38,1,0.13,6,7,1,94.17
135700,Hakan Çalhanoğlu,hakan-calhanoglu,2697,Inter,7.38,1,1.14,1,10,0,88.26
7635,Ivan Rakitić,ivan-rakitic,2833,Sevilla,7.37,0,0.1,1,11,3,80.77
1190933,João Neves,joao-neves,3006,Benfica,7.37,0,0.39,13,24,0,81.61
1088896,Johan Bakayoko,johan-bakayoko,2952,PSV Eindhoven,7.36,1,1.24,20,10,1,80.84
16632,Mats Hummels,mats-hummels,2673,Borussia Dortmund,7.35,1,0.93,7,53,1,86.72
22209,Ørjan Nyland,rjan-nyland,2833,Sevilla,7.35,0,,0,0,0,73.97
818244,Ousmane Dembélé,ousmane-dembele,1644,Paris Saint-Germain,7.35,2,2.96,23,15,1,78.78
97012,Bruma,bruma,2999,Sporting Braga,7.34,2,0.71,11,8,1,85.47
363856,Nicolò Barella,nicolo-barella,2697,Inter,7.34,0,0.86,1,16,1,83.8
547410,Martin Ødegaard,martin-degaard,42,Arsenal,7.33,2,1.33,12,11,1,89.15
