player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
795155,Martin Jedlička,martin-jedlicka,4502,FC Viktoria Plzeň,8.33,33.3,4,0,0,0,0,0.02,0,104,71,175,59.43,56,48,14,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,420,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,47.01,3,0,0,0,71,0,9,5,222,0,0,0,0,0,0,0,0,21,,,,3,0,0,11,10,2,0,1,2,2,5,0,4,0.0,0,0,0,0,1,1,0,0,0,134,2,0,0.0,0.0,0,0,6,64,111,3,,49,52,,4
947156,Giannis Michailidis,giannis-michailidis,3251,PAOK,8.2,8.2,1,0,1,1,0,0.01,0,104,7,111,93.69,67,37,3,1,0,0.0,1,1,0,0,0,0,0.0,4,0,3,2,100.0,1,50.0,3,75.0,90,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,40.0,1,0,0,0,8,0,5,4,121,1,0,1,0,0,0,1,0,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0,0,1,0,0,1,1,0,0,0,10,2,1,100.0,0.0,0,0,0,69,42,1,0.9,2,4,,1
1142614,Serkan Emrecan Terzi,serkan-emrecan-terzi,3050,Beşiktaş JK,8.1,8.1,1,1,0,0,0,0.01,1,32,7,39,82.05,18,14,6,1,0,0.0,3,2,0,0,0,0,0.0,1,1,0,4,57.14,2,100.0,6,66.67,90,100.0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,40.0,0,0,0,0,9,0,2,1,60,2,0,0,0,2,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,1,1,3,0,0,0,0,5,0,3,100.0,90.0,0,0,0,20,20,0,0.03,0,6,,1
558524,Akim Zedadka,akim-zedadka,1643,Lille,8.0,8.0,1,0,0,0,0,0.28,0,54,5,59,91.53,13,43,25,0,2,100.0,2,1,0,0,0,2,33.33,1,0,0,7,87.5,3,60.0,10,76.92,90,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,2,0,0,1,12,1,0,0,89,3,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,2,6,3,2,0,0,0,0,0,2,100.0,0.0,0,0,0,15,50,0,0.09,0,6,,1
1192318,Farès Chaïbi,fares-chaibi,2674,Eintracht Frankfurt,7.96,55.7,7,2,8,1,6,3.38,8,143,53,196,72.96,55,109,52,24,5,83.33,5,2,1,0,0,21,33.87,18,10,4,10,45.45,5,31.25,15,39.47,538,11.11,0,0,0,0,3,0,1,1,10,8,0,1,1,8,47.06,2,0,0,2,107,5,24,9,333,0,6,2,0,3,1,4,1,0,,,,0,0,0,0,0,6,1,0,0,0,0,0,6,0.0,0,23,6,62,23,11,0,0,0,17,7,2,40.0,269.0,0,0,0,67,191,3,1.46,0,16,,7
918517,Benjamin Nygren,benjamin-nygren,1292,FC Nordsjælland,7.82,39.1,5,5,1,2,0,0.64,5,153,16,169,90.53,80,74,47,7,5,55.56,8,2,1,0,0,1,12.5,12,6,5,22,44.0,4,50.0,26,44.83,368,41.67,0,0,0,0,2,0,5,0,10,2,0,5,0,8,72.73,1,0,0,5,36,3,7,6,241,9,10,1,0,11,0,1,1,0,,,,0,0,0,0,0,2,1,0,0,0,0,0,4,0.0,0,6,9,8,32,4,0,0,0,11,3,4,50.0,73.6,0,0,0,81,96,2,2.08,0,24,,5
77726,Josué,josue,3106,Legia Warszawa,7.8,62.4,8,2,5,0,2,2.18,4,377,85,462,81.6,104,297,162,24,6,66.67,7,4,1,0,0,24,42.86,10,4,1,31,53.45,4,50.0,35,53.03,698,20.0,1,1,0,0,1,0,2,0,3,7,0,2,0,47,65.28,2,0,0,5,148,4,80,43,616,18,10,0,0,10,0,5,1,0,,,,0,0,0,0,0,12,0,0,0,0,0,0,8,100.0,0,23,9,56,31,4,0,0,0,72,12,5,71.43,349.0,0,0,0,115,403,4,1.14,0,25,,8
94056,Jeremy Frick,jeremy-frick,2448,Servette FC,7.8,31.2,4,0,0,0,0,0.02,0,80,61,141,56.74,39,41,10,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,100.0,0,0.0,1,100.0,390,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43.4,4,0,0,0,64,0,27,15,179,1,0,0,0,0,0,0,0,14,,,,4,0,0,10,4,0,0,2,2,2,2,0,4,0.0,0,0,0,0,0,0,0,0,0,106,0,0,0.0,0.0,0,0,4,42,99,1,0.0,37,39,,4
51833,Fredrik Gulbrandsen,fredrik-gulbrandsen,661,Molde FK,7.75,31.0,4,5,0,0,0,0.08,5,48,23,71,67.61,28,20,13,2,4,66.67,2,0,2,0,0,0,0.0,13,8,2,10,50.0,5,33.33,15,42.86,349,38.46,0,0,0,0,0,0,5,0,9,4,0,1,4,0,0.0,1,0,0,4,42,3,2,2,123,4,3,0,0,1,2,3,0,0,,,,0,0,0,0,0,5,1,0,0,0,0,0,4,0.0,0,2,6,1,20,10,0,0,0,0,6,1,50.0,69.8,0,0,0,35,37,2,2.88,0,10,,4
149795,Julien De Sart,julien-de-sart,2903,KAA Gent,7.72,38.6,5,1,2,0,1,0.69,2,204,55,259,78.76,78,129,76,9,1,100.0,13,13,3,0,0,3,30.0,9,2,4,18,60.0,9,81.82,27,65.85,350,11.11,0,0,0,0,1,0,0,1,0,9,0,0,1,48,68.57,4,0,0,0,64,2,44,30,335,4,8,0,0,4,0,3,0,0,,,,1,0,0,0,0,3,1,0,0,0,0,0,4,0.0,0,9,1,10,14,2,0,0,0,70,4,7,53.85,350.0,0,0,0,89,180,1,0.21,0,24,,5
