player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
928490,Mukhammejan Seisen,mukhammejan-seisen,36155,Astana,8.85,17.7,2,0,0,0,0,0.0,0,33,33,66,50.0,27,6,3,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,1,50.0,1,100.0,2,66.67,180,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21.43,6,0,0,0,34,0,1,0,113,1,0,0,0,1,0,0,0,22,,,,0,0,0,15,6,4,0,2,2,2,3,0,2,0.0,0.0,0,0,0,1,0,0,0,0,42,4,0,0.0,0.0,0,0,1,31,35,1,,25,24,,2
958966,Mykhailo Mudryk,mykhailo-mudryk,38,Chelsea,7.85,31.4,4,3,2,0,3,1.25,6,74,22,96,77.08,21,54,36,11,6,35.29,1,1,0,0,0,1,14.29,8,4,3,14,42.42,2,25.0,16,39.02,360,37.5,0,0,0,0,0,0,2,1,6,2,1,0,2,3,75.0,1,0,0,3,50,3,5,4,164,7,3,0,0,3,1,1,0,0,,,,2,0,0,0,0,3,0,0,0,0,0,0,4,0.0,0.0,11,17,7,25,6,0,0,0,4,3,1,100.0,120.0,0,0,0,24,79,1,0.8,0,12,,4
893640,Riccardo Sottil,riccardo-sottil,2693,Fiorentina,7.85,31.4,4,2,0,0,1,0.66,3,77,17,94,81.91,17,64,38,4,11,84.62,2,0,1,0,0,4,26.67,12,8,2,23,69.7,0,0.0,23,65.71,273,16.67,0,0,0,0,0,0,2,0,6,6,0,1,1,2,33.33,0,0,0,2,42,2,4,1,161,10,3,0,0,3,0,2,0,0,,,,0,0,0,0,0,3,0,0,0,0,0,0,4,0.0,0.0,4,13,15,12,2,0,0,0,6,3,1,50.0,136.5,0,0,0,21,88,1,1.16,0,12,,4
1160957,Alberto Costa,alberto-baio,3009,Vitória SC,7.78,31.1,4,1,1,1,0,0.22,1,105,31,136,77.21,45,60,35,4,11,91.67,13,11,2,0,0,0,0.0,7,2,3,27,69.23,9,60.0,36,66.67,360,14.29,0,0,0,0,0,0,1,0,4,3,0,0,1,6,54.55,12,0,0,6,55,2,9,5,269,3,4,1,0,1,0,2,0,0,,,,0,0,0,0,0,3,1,0,0,0,0,0,4,0.0,0.0,4,12,8,18,6,0,0,0,11,4,11,84.62,360.0,0,0,0,56,88,0,0.4,0,20,,4
974505,Enzo Fernández,enzo-fernandez,38,Chelsea,7.75,46.5,6,2,2,0,6,0.46,8,237,27,264,89.77,115,126,54,9,3,60.0,6,4,1,0,0,4,50.0,5,4,0,14,56.0,3,37.5,17,51.52,341,40.0,0,0,0,0,0,0,2,0,2,3,1,0,1,14,73.68,3,0,0,1,43,1,18,13,321,5,3,0,0,5,1,1,0,0,,,,0,0,0,0,0,3,0,0,0,0,0,0,5,0.0,0.0,9,5,8,16,5,0,0,0,19,3,5,83.33,170.5,0,0,0,122,150,2,0.54,0,18,,6
1396009,Kaio César,kaio-cesar,3009,Vitória SC,7.73,46.4,6,0,2,3,2,1.75,2,117,35,152,76.97,35,85,56,14,8,53.33,17,3,0,0,0,3,37.5,15,9,4,34,61.82,2,28.57,36,58.06,430,0.0,0,0,1,0,0,0,0,0,10,5,0,0,0,9,64.29,0,0,0,5,68,12,11,5,258,9,8,0,0,1,1,2,0,0,,,,0,0,0,0,0,2,2,0,0,0,0,0,5,0.0,0.0,14,15,8,26,5,0,0,0,14,4,10,58.82,0.0,0,0,0,44,116,0,1.54,0,35,,6
1083777,Kacper Tobiasz,kacper-tobiasz,3106,Legia Warszawa,7.73,30.9,4,0,0,0,0,0.0,0,65,41,106,61.32,53,12,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,100.0,3,100.0,4,100.0,390,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31.48,8,0,0,0,41,0,16,9,151,1,0,0,0,0,0,0,0,15,,,,3,1,1,11,4,3,0,4,2,2,3,0,4,0.0,0.0,0,0,0,0,0,0,0,0,54,3,0,0.0,0.0,0,0,7,65,41,1,,26,26,,4
851671,João Félix,joao-felix,38,Chelsea,7.72,38.6,5,4,3,3,0,0.71,4,131,25,156,83.97,38,94,51,7,8,40.0,2,2,0,0,0,1,14.29,16,7,7,18,51.43,0,0.0,18,51.43,328,25.0,0,0,0,0,0,0,3,1,11,5,0,0,4,15,75.0,0,0,0,0,50,2,25,14,225,8,4,0,0,1,0,2,0,0,,,,1,0,0,0,0,3,0,0,0,0,0,0,3,0.0,0.0,7,20,7,17,0,0,0,0,20,3,1,50.0,82.0,0,0,0,42,121,2,3.14,0,9,,5
990265,Gary Magnee,gary-magnee,2929,Cercle Brugge,7.71,54.0,7,3,4,0,1,1.79,4,100,66,166,60.24,23,100,48,24,11,45.83,15,12,2,0,0,23,35.94,8,5,1,30,44.12,6,42.86,36,43.9,517,37.5,0,0,0,0,1,0,3,0,6,2,0,0,3,4,13.79,18,0,0,8,147,4,24,7,380,4,6,1,0,11,0,2,0,0,,,,2,0,0,0,0,5,2,0,0,0,0,0,5,0.0,0.0,24,24,64,46,8,0,0,0,29,7,12,80.0,172.33,0,0,0,35,195,1,1.06,0,22,,7
977918,Casper Öyvann,casper-oyvann,661,Molde FK,7.7,15.4,2,0,0,0,0,0.07,0,176,11,187,94.12,131,45,9,0,1,100.0,5,4,0,0,0,0,0.0,1,1,0,6,66.67,4,66.67,10,66.67,180,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,55.56,7,0,0,1,13,1,4,3,214,1,0,0,0,2,0,0,0,0,,,,1,0,0,0,0,2,0,0,0,0,0,0,2,0.0,0.0,0,1,0,5,2,0,0,0,9,2,4,80.0,0.0,0,0,0,133,54,0,0.08,0,15,,2
