player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
94234,Simon Sluga,simon-sluga,2413,NK Celje,9.1,0,,0,0,0,89.13
184679,Andreas Linde,andreas-linde,1760,BK Häcken,8.6,0,,0,1,0,79.17
280637,Lukáš Sadílek,lukas-sadilek,2218,AC Sparta Praha,8.1,1,1.05,0,5,1,86.52
578086,Johannes Kreidl,johannes-kreidl,2244,Kuopion Palloseura,8.1,0,,1,1,0,73.78
1009362,Oliwier Zych,zych-oliwier,35268,Raków Częstochowa,7.9,0,,0,0,0,56.25
120387,Hrvoje Miličević,hrvoje-milicevic,3404,AEK Larnaca,7.79,0,0.6,1,13,1,86.37
1014536,Wessel Speel,wessel-speel,3174,Shelbourne,7.78,0,,0,0,0,46.7
988190,Ibrahim Cissé,ibrahim-cisse,2244,Kuopion Palloseura,7.75,1,0.12,3,22,0,89.27
54429,Artur Jędrzejczyk,artur-jedrzejczyk,3106,Legia Warszawa,7.7,0,0.12,0,2,0,91.43
1145989,Ro-Zangelo Daal,ro-zangelo-daal,2950,AZ Alkmaar,7.63,2,1.47,18,8,3,81.46
862223,Manor Solomon,manor-solomon,2693,Fiorentina,7.55,0,0.19,3,0,1,94.0
976364,Ruslan Neshcheret,ruslan-neshcheret,3305,Dynamo Kyiv,7.52,0,,0,0,0,80.5
355486,Stefan Posch,stefan-posch,2556,1. FSV Mainz 05,7.5,2,0.34,1,6,0,83.96
1390323,Miłosz Piekutowski,milosz-piekutowski,7691,Jagiellonia Białystok,7.5,0,,0,0,0,77.05
1149148,Mike Penders,mike-penders,1659,RC Strasbourg,7.5,0,,0,1,0,88.56
978326,Žan-Luk Leban,leban-zan-luk,2413,NK Celje,7.49,0,,0,1,0,76.01
1005998,Fotios Kitsos,fotios-kitsos,3395,Omonia Nicosia,7.48,0,0.08,4,16,0,89.94
95666,Ante Majstorović,ante-majstorovic,2039,HNK Rijeka,7.43,1,0.12,1,5,0,89.22
1514452,Jaures Assoumou,assoumou-jaures,3053,Samsunspor,7.4,0,0.44,6,9,1,84.44
876680,Tjay De Barr,tjay-de-barr,126304,Lincoln Red Imps,7.38,1,0.97,16,5,1,66.83
41021,Valentin Roberge,valentin-roberge,3404,AEK Larnaca,7.38,0,,0,6,0,91.41
1127057,Valentín Barco,valentin-barco,1659,RC Strasbourg,7.37,1,0.95,11,14,0,83.26
886339,Franko Kovačević,franko-kovacevic,2413,NK Celje,7.37,5,5.09,4,1,0,87.5
852434,Barnabás Varga,barnabas-varga,3250,AEK Athens,7.37,1,1.62,6,3,0,56.86
845286,Ismaïla Sarr,ismaila-sarr,7,Crystal Palace,7.36,9,8.1,16,4,0,73.39
1127855,Abdou Karim Sow,abdou-karim-sow,2446,FC Lausanne-Sport,7.36,0,1.08,1,12,0,88.99
793267,Stratos Svarnas,stratos-svarnas,35268,Raków Częstochowa,7.35,1,0.11,2,15,0,86.44
345972,Damian Szymański,damian-szymanski,3106,Legia Warszawa,7.35,0,0.53,0,8,0,82.2
41735,Henry Bonello,henry-bonello,33583,Ħamrun Spartans FC,7.33,0,,0,0,0,72.53
187231,Ľubomír Šatka,lubomir-satka,3053,Samsunspor,7.33,0,0.21,3,9,0,90.44
916183,Toni Fruk,toni-fruk,2039,HNK Rijeka,7.33,5,2.82,16,10,0,72.22
890110,Aboubakary Koita,aboubakary-koita,3250,AEK Athens,7.33,4,2.3,17,11,0,83.13
338475,Rafał Augustyniak,rafa-augustyniak,3106,Legia Warszawa,7.32,2,0.52,3,9,0,86.96
325121,Lukáš Haraslín,lukas-haraslin,2218,AC Sparta Praha,7.31,2,1.54,16,4,1,82.11
843746,Stjepan Radeljić,stjepan-radeljic,2039,HNK Rijeka,7.31,0,0.42,1,14,3,83.06
809489,Joel Pereira,joel-pereira,3121,Lech Poznań,7.31,0,0.23,4,20,2,78.87
987491,Bryan Okoh,bryan-okoh,2446,FC Lausanne-Sport,7.3,0,0.21,1,6,1,86.92
1089580,Matthew Healy,matthew-healy,3177,Shamrock Rovers,7.3,0,0.1,2,8,1,89.8
886365,Dominik Takáč,dominik-takac,2404,ŠK Slovan Bratislava,7.3,0,,0,0,0,69.18
909506,Jaakko Oksanen,jaakko-oksanen,2244,Kuopion Palloseura,7.28,1,0.14,1,13,0,92.74
94312,Daniel Batz,daniel-batz,2556,1. FSV Mainz 05,7.28,0,,0,0,0,61.11
984624,Yéremy Pino,yeremy-pino,7,Crystal Palace,7.28,1,1.79,12,14,2,77.37
209082,Marcus Rohdén,marcus-rohden,3404,AEK Larnaca,7.28,1,0.2,2,7,2,76.74
102982,Zlatan Alomerović,zlatan-alomerovic,3404,AEK Larnaca,7.28,0,,0,1,0,58.74
1652719,Gaoussou Diakite,gaoussou-diakite,2446,FC Lausanne-Sport,7.27,2,2.62,15,12,0,77.45
137677,Vitaliy Buyalskiy,vitaliy-buyalskiy,3305,Dynamo Kyiv,7.27,1,1.13,4,2,1,72.15
1021938,Jamie Roche,jamie-roche,2446,FC Lausanne-Sport,7.27,0,0.29,2,19,0,85.15
137983,Gus Ledes,gus-ledes,3404,AEK Larnaca,7.26,0,0.13,2,4,1,89.7
88528,Florian Lejeune,florian-lejeune,2818,Rayo Vallecano,7.25,1,1.69,1,26,1,88.01
896421,Žan Karničnik,zan-karnicnik,2413,NK Celje,7.25,1,0.1,1,13,0,92.82
208988,Pablo Marí,pablo-mari,2693,Fiorentina,7.25,0,0.23,1,6,0,91.9
1028307,Kaishu Sano,kaishu-sano,2556,1. FSV Mainz 05,7.24,1,0.62,8,17,1,84.32
43136,Guram Kashia,guram-kashia,2404,ŠK Slovan Bratislava,7.23,1,0.77,0,16,1,84.97
604174,Bernardo Lopes,bernardo-lopes,126304,Lincoln Red Imps,7.23,1,0.42,3,6,1,80.87
904850,Valerii Bondar,valerii-bondar,3313,Shakhtar Donetsk,7.23,0,0.76,2,7,0,96.01
280729,Asger Sørensen,asger-srensen,2218,AC Sparta Praha,7.23,1,0.16,1,5,0,90.53
1544436,Omar Janneh,omar-janneh,2446,FC Lausanne-Sport,7.2,1,0.31,4,0,1,61.29
941338,Lazaros Rota,lazaros-rota,3250,AEK Athens,7.2,0,0.32,10,24,2,90.36
46357,Vladimír Weiss,vladimir-weiss,2404,ŠK Slovan Bratislava,7.2,0,,1,5,1,70.24
578364,Taras Romanczuk,taras-romanczuk,7691,Jagiellonia Białystok,7.2,0,0.4,3,18,1,87.57
50826,Adam Matthews,adam-matthews,3177,Shamrock Rovers,7.2,0,,0,3,0,84.72
931844,Chris Richards,chris-richards,7,Crystal Palace,7.2,0,1.18,5,29,0,88.52
793995,Danylo Ignatenko,danylo-ignatenko,2404,ŠK Slovan Bratislava,7.2,0,0.49,2,14,0,88.1
1471221,Alisson Santana,alisson,3313,Shakhtar Donetsk,7.18,3,0.93,15,8,0,81.82
930660,Doni Arifi,doni-arifi,2244,Kuopion Palloseura,7.18,0,0.07,5,15,1,89.24
1190938,Martial Godo,martial-godo,1659,RC Strasbourg,7.18,4,4.39,16,8,3,82.24
922018,Peer Koopmeiners,peer-koopmeiners,2950,AZ Alkmaar,7.18,0,0.39,4,26,2,87.94
885719,Martin Zlomislić,martin-zlomislic,2039,HNK Rijeka,7.18,0,,0,0,0,67.32
1008111,Denso Kasius,denso-kasius,2950,AZ Alkmaar,7.18,0,0.68,4,8,2,81.68
885709,Klisman Cake,klisman-cake,5413,KF Shkëndija,7.17,0,0.03,2,9,0,84.96
1087931,Isak Steiner Jensen,isak-steiner-jensen,2950,AZ Alkmaar,7.16,5,2.22,14,6,1,83.19
826043,Jan Král,jan-kral,2207,SK Sigma Olomouc,7.16,2,0.26,0,7,0,84.0
1405756,Kees Smit,kees-smit,2950,AZ Alkmaar,7.16,0,1.83,16,16,4,86.89
359670,Francis Uzoho,francis-uzoho,3395,Omonia Nicosia,7.16,0,,0,0,0,57.69
1562120,Wojciech Mońka,monka-wojciech,3121,Lech Poznań,7.16,0,0.2,0,11,0,91.82
946291,Svit Sešlar,svit-seslar,2413,NK Celje,7.15,2,1.68,3,3,1,77.93
51225,Domagoj Vida,domagoj-vida,3250,AEK Athens,7.15,1,1.15,0,2,0,91.54
827540,Alexandru Cicâldău,alexandru-cicaldau,116223,Universitatea Craiova,7.15,1,0.25,4,4,0,69.7
850404,Orbelín Pineda,orbelin-pineda,3250,AEK Athens,7.15,0,0.67,20,22,2,87.76
175177,Jesús Imaz,jesus-imaz,7691,Jagiellonia Białystok,7.14,3,1.15,2,3,0,78.57
972886,Fabiano Parisi,fabiano-parisi,2693,Fiorentina,7.14,0,0.18,10,7,0,85.71
1014718,Arb Manaj,arb-manaj,229755,FC Drita,7.14,2,0.6,0,5,0,63.64
253303,Enric Saborit,enric-saborit,3404,AEK Larnaca,7.14,1,0.1,0,7,0,79.79
1001765,Vincenzo Polito,vincenzo-polito,33583,Ħamrun Spartans FC,7.14,0,0.29,2,20,0,87.5
1109771,Adam Wharton,adam-wharton,7,Crystal Palace,7.14,0,1.32,2,20,1,79.63
1119294,Maxim Dekker,maxim-dekker,2950,AZ Alkmaar,7.13,0,,0,5,0,90.91
1145982,Wouter Goes,wouter-goes,2950,AZ Alkmaar,7.13,0,0.07,3,8,0,89.81
962404,Kevin Mouanga,kevin-mouanga,2446,FC Lausanne-Sport,7.13,0,0.42,6,15,1,86.02
979665,Irakli Azarovi,azarovi-irakli,3313,Shakhtar Donetsk,7.13,0,0.02,0,6,1,83.47
827372,Karlo Letica,karlo-letica,2446,FC Lausanne-Sport,7.13,0,,0,0,0,59.44
794338,Daichi Kamada,daichi-kamada,7,Crystal Palace,7.12,1,0.99,7,29,4,87.06
962068,Sebastian Nanasi,sebastian-nanasi,1659,RC Strasbourg,7.12,2,1.35,4,3,3,88.35
833562,Yehor Nazaryna,yehor-nazaryna,3313,Shakhtar Donetsk,7.12,2,0.44,4,11,1,87.87
980671,Sven Mijnans,sven-mijnans,2950,AZ Alkmaar,7.12,6,4.84,11,18,0,83.14
1153198,Gabriel Sigua,sigua-gabriel,2446,FC Lausanne-Sport,7.12,1,0.43,5,11,1,85.82
921157,Faton Maloku,faton-maloku,229755,FC Drita,7.11,0,,0,1,0,70.06
905421,Luis Palma,luis-palma,3121,Lech Poznań,7.11,2,1.16,4,9,2,74.11
204272,Graham Burke,graham-burke,3177,Shamrock Rovers,7.1,3,2.26,2,1,2,86.71
157377,Silvan Widmer,silvan-widmer,2556,1. FSV Mainz 05,7.1,1,1.23,2,12,0,71.94
64384,Kristinn Jónsson,kristinn-jonsson,1901,Breidablik Kópavogur,7.1,1,0.18,6,13,0,68.46
909991,Simon Sohm,simon-sohm,2693,Fiorentina,7.1,1,0.13,2,1,0,79.12
877558,Daniel Mandroiu,daniel-mandroiu,3177,Shamrock Rovers,7.1,1,0.07,3,1,0,96.55
1185603,Kaden Rodney,kaden-rodney,7,Crystal Palace,7.1,0,,0,1,0,79.66
134910,Tomáš Huk,tomas-huk,2207,SK Sigma Olomouc,7.1,0,,0,5,0,90.91
856203,Martin Trnovský,martin-trnovsky,2404,ŠK Slovan Bratislava,7.1,0,,0,0,0,65.52
905345,Yuki Kobayashi,yuki-kobayashi,7691,Jagiellonia Białystok,7.1,0,,0,3,0,88.64
1149030,Sven Xerri,sven-xerri,33583,Ħamrun Spartans FC,7.1,0,,0,1,0,80.0
1413197,Taras Mykhavko,taras-mykhavko,3305,Dynamo Kyiv,7.1,0,0.07,1,8,0,86.73
2007717,Joel Drakes-Thomas,joel-drakes-thomas,7,Crystal Palace,7.1,0,0.06,3,2,0,84.0
