player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
1183625,Giovanni Bonfanti,giovanni-bonfanti,2686,Atalanta,8.9,1,0.22,0,2,0,92.31
794953,Kevin Danso,kevin-danso,1648,RC Lens,8.3,0,0.07,0,1,0,95.45
115577,Kostas Fortounis,kostas-fortounis,3245,Olympiacos FC,7.92,1,0.8,9,10,5,78.97
1142638,Bobby Clark,bobby-clark,44,Liverpool FC,7.85,1,0.49,2,6,1,90.41
1128560,Roger Fernandes,roger-fernandes,2999,Sporting Braga,7.85,1,0.2,3,6,0,82.76
32493,Dries Mertens,dries-mertens,3061,Galatasaray,7.8,1,0.37,3,3,0,68.09
1175821,Niccolò Pisilli,niccolo-pisilli,2702,AS Roma,7.8,1,0.24,0,1,0,92.31
981603,Jay Gorter,jay-gorter,2953,AFC Ajax,7.75,0,0.0,0,0,0,73.96
164055,Brice Samba,brice-samba,1648,RC Lens,7.7,0,0.0,0,0,0,75.44
822600,Exequiel Palacios,exequiel-palacios,2681,Bayer 04 Leverkusen,7.68,0,0.89,4,26,1,93.77
30027,Ángel Di María,angel-di-maria,3006,Benfica,7.67,4,5.48,8,11,1,77.7
1019322,Florian Wirtz,florian-wirtz,2681,Bayer 04 Leverkusen,7.65,4,2.65,15,6,4,84.23
825945,Simon Banza,simon-banza,2999,Sporting Braga,7.65,2,1.91,2,1,0,45.83
904897,Ryan Gravenberch,ryan-gravenberch,44,Liverpool FC,7.64,2,1.66,6,9,1,82.04
100744,Magnus Wolff Eikrem,magnus-wolff-eikrem,661,Molde FK,7.64,2,0.74,4,3,1,71.08
119242,Luis Muriel,luis-muriel,2686,Atalanta,7.62,4,3.01,8,2,0,72.27
1160960,Álvaro Djaló,alvaro-djalo,2999,Sporting Braga,7.6,1,0.4,1,6,0,72.0
63708,Itamar Nitzan,itamar-nitzan,5197,Maccabi Haifa,7.6,0,0.0,0,0,0,61.11
862967,Cody Gakpo,cody-gakpo,44,Liverpool FC,7.56,4,3.39,11,5,1,84.4
97012,Bruma,bruma,2999,Sporting Braga,7.5,0,0.03,0,1,2,77.27
242883,David von Ballmoos,david-von-ballmoos,2445,BSC Young Boys,7.5,0,0.0,0,0,0,67.16
51498,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,1641,Olympique de Marseille,7.49,10,5.95,10,4,3,75.53
793986,Mile Svilar,mile-svilar,2702,AS Roma,7.47,0,0.0,0,1,0,72.92
975079,João Pedro,joao-pedro,30,Brighton & Hove Albion,7.47,6,5.11,9,2,0,74.02
1190933,João Neves,joao-neves,3006,Benfica,7.47,0,0.19,14,22,0,88.05
994363,Bart Verbruggen,bart-verbruggen,30,Brighton & Hove Albion,7.47,0,0.0,0,0,0,82.8
171961,Vincenzo Grifo,vincenzo-grifo,2538,SC Freiburg,7.45,4,2.56,8,8,2,83.56
788027,Theo Hernández,theo-hernandez,2692,AC Milan,7.45,0,0.18,12,5,3,87.58
1392044,Quilindschy Hartman,quilindschy-hartman,2959,Feyenoord,7.45,0,0.0,2,4,1,82.07
788921,Florian Sotoca,florian-sotoca,1648,RC Lens,7.45,0,0.15,0,6,0,69.0
905163,Mohammed Kudus,mohammed-kudus,37,West Ham United,7.44,5,2.66,18,23,0,87.1
308764,Daniel Podence,daniel-podence,3245,Olympiacos FC,7.43,3,0.88,5,5,1,74.39
284441,Ruben Loftus-Cheek,ruben-loftus-cheek,2692,AC Milan,7.4,4,1.95,4,3,0,90.84
857482,Filip Ugrinić,filip-ugrinic,2445,BSC Young Boys,7.4,1,0.06,0,1,0,92.59
877842,Yannik Keitel,yannik-keitel,2538,SC Freiburg,7.4,0,0.0,0,0,0,80.77
955245,Harvey Elliott,harvey-elliott,44,Liverpool FC,7.38,0,0.91,10,13,4,84.98
1133175,Sharif Kaiuf,kaiuf-sharif,5197,Maccabi Haifa,7.38,0,0.0,0,0,0,63.03
177177,Alejandro Grimaldo,alex-grimaldo,2681,Bayer 04 Leverkusen,7.38,2,1.55,10,18,3,87.78
1009334,Lorenz Assignon,lorenz-assignon,1658,Stade Rennais,7.38,1,0.35,2,5,0,83.66
851284,Rafael Leão,rafael-leao,2692,AC Milan,7.37,3,2.68,11,3,3,83.8
