player_id,player_name,player_slug,team_id,team_name,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,kilometersCovered,numberOfSprints,topSpeed,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,appearances
100390,Marco Bizot,marco-bizot,40,Aston Villa,8.43,33.7,4,0,0,0,0,0.0,0,109,39,148,73.65,94,15,2,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,2,66.67,2,66.67,360,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38.71,6,0,0,0,40,0,19,13,203,1,0,0,0,0,0,0,0,26,11.41,0.0,23.7,3,0,0,13,13,1,0,1,4,4,1,0,4,0.0,0,0,0,0,1,1,0,0,0,62,1,0,0.0,0.0,0,1,4,108,40,1,,15,35,0,4
995654,Viljami Sinisalo,viljami-sinisalo,2352,Celtic,7.9,7.9,1,0,0,0,0,0.0,0,21,11,32,65.63,16,5,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45.0,2,0,0,0,11,0,1,0,49,0,0,0,0,0,0,0,0,6,5.54,0.0,22.69,1,0,0,4,2,0,0,1,1,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,0.0,0,0,3,17,15,0,,2,10,0,1
958380,Antony,antony,2816,Real Betis,7.71,77.1,10,6,2,1,3,1.36,9,338,68,406,83.25,108,230,127,16,17,48.57,14,9,2,0,0,6,28.57,30,13,12,54,55.67,2,28.57,56,53.85,788,20.0,0,0,0,0,1,0,4,2,9,21,1,4,1,8,57.14,1,0,0,7,128,8,19,9,617,23,9,0,0,9,1,5,0,0,80.39,170.0,36.04,1,0,0,0,0,6,3,0,0,0,0,0,9,0.0,0,16,35,21,48,5,0,0,0,14,9,10,71.43,131.33,0,0,0,121,285,2,2.55,0,40,1,10
879183,Elías Ólafsson,elias-olafsson,1289,FC Midtjylland,7.71,77.1,10,0,0,0,0,0.01,0,231,116,347,66.57,190,41,8,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,50.0,3,100.0,4,80.0,930,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,36.57,8,0,0,0,122,0,36,22,509,1,0,0,0,1,0,0,0,47,22.83,2.0,29.02,5,4,0,26,20,9,1,4,11,10,15,0,10,0.0,0,0,0,0,1,0,0,0,0,175,10,0,0.0,0.0,0,0,9,222,125,2,,71,123,0,10
795155,Martin Jedlička,martin-jedlicka,4502,FC Viktoria Plzeň,7.65,30.6,4,0,0,0,1,0.0,1,54,52,106,50.94,40,14,5,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,360,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31.58,2,0,0,0,53,0,5,3,141,0,0,0,0,0,0,0,0,13,5.7,0.0,17.61,2,1,0,10,3,2,0,1,0,0,2,0,4,0.0,0,1,0,0,0,0,0,0,0,76,2,0,0.0,0.0,0,0,3,45,61,0,,23,38,0,4
869476,Florian Wiegele,florian-wiegele,4502,FC Viktoria Plzeň,7.63,45.8,6,0,0,0,0,0.0,0,124,78,202,61.39,104,20,4,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,1,100.0,1,100.0,2,100.0,570,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30.56,4,0,0,0,79,0,21,12,288,1,0,0,0,0,0,0,0,25,,,,3,1,0,15,9,4,0,4,1,1,7,0,6,0.0,0,0,0,0,0,0,0,0,0,108,4,0,0.0,0.0,0,0,2,123,79,0,,34,87,0,6
1134470,Zakaria El Ouahdi,zakaria-el-ouahdi,2890,KRC Genk,7.59,68.3,9,4,5,0,1,1.41,5,293,40,333,87.99,146,147,73,12,16,64.0,22,14,3,0,0,6,30.0,18,6,5,50,54.95,3,50.0,53,54.64,828,22.22,0,0,0,0,1,0,3,1,9,9,0,1,3,17,51.52,31,0,0,8,93,4,14,11,607,12,10,0,0,15,1,7,0,0,85.08,170.0,33.83,3,0,0,0,0,7,1,0,0,0,0,0,9,0.0,0,12,25,20,44,3,0,0,0,33,8,18,81.82,207.0,0,0,0,156,177,3,1.21,0,49,4,9
1384847,Daniele Ghilardi,daniele-ghilardi,2702,AS Roma,7.55,30.2,4,0,1,0,0,0.34,0,146,32,178,82.02,90,56,17,1,1,50.0,19,3,1,0,0,0,0.0,1,1,0,24,66.67,12,75.0,36,69.23,360,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,52.38,14,1,0,0,40,1,20,11,252,4,7,0,0,4,1,0,0,0,37.8,65.0,34.89,1,0,0,0,0,3,0,0,0,0,0,0,4,0.0,0,1,2,1,16,4,0,0,0,21,3,14,73.68,0.0,0,0,0,102,76,1,0.03,0,25,4,4
852434,Barnabás Varga,barnabas-varga,1925,Ferencváros TC,7.5,45.0,6,4,1,2,0,0.77,4,80,55,135,59.26,23,57,38,7,5,62.5,7,3,1,0,0,1,50.0,10,8,1,17,50.0,45,64.29,62,59.62,448,40.0,2,0,0,0,0,0,4,0,10,0,3,0,1,1,33.33,12,0,0,4,73,5,5,2,204,5,10,0,0,1,1,1,0,0,48.25,85.0,32.92,0,0,0,0,0,3,2,0,0,0,0,0,5,0.0,0,7,8,2,42,25,0,0,2,3,5,3,42.86,112.0,0,0,0,29,106,1,2.99,0,13,1,6
1410178,Jamaldeen Jimoh,jamaldeen-jimoh,40,Aston Villa,7.5,7.5,1,1,0,0,0,0.01,1,12,2,14,85.71,4,8,4,0,1,100.0,1,0,0,0,0,0,0.0,4,2,1,2,66.67,0,0.0,2,66.67,24,25.0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0.0,0,0,0,1,5,0,0,0,25,0,0,0,0,0,0,1,0,0,3.14,9.0,30.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,0,0,0,0,0,0,1,100.0,24.0,0,0,0,5,9,0,0.31,0,1,0,1
