player_id,player_name,player_slug,team_id,team_name,rating,goals,expectedGoals,successfulDribbles,tackles,assists,accuratePassesPercentage
1398511,Adama Boiro,adama-boiro,2825,Athletic Club,8.4,1,0.06,2,2,1,100.0
998772,Dane Scarlett,dane-scarlett,33,Tottenham Hotspur,8.2,1,0.21,0,1,1,100.0
288205,Bruno Fernandes,bruno-fernandes,35,Manchester United,8.06,7,6.9,9,32,4,78.58
979128,Rayan Cherki,cherki-rayan,1649,Olympique Lyonnais,8.0,4,2.23,34,5,8,84.04
1064009,Urko González,urko-gonzalez,2824,Real Sociedad,8.0,0,,0,8,0,86.44
788180,Rémy Descamps,remy-descamps,1649,Olympique Lyonnais,7.8,0,,0,0,0,61.11
126588,Filip Kostić,filip-kostic,3052,Fenerbahçe,7.7,0,0.15,2,13,0,81.61
826210,Rafik Guitane,rafik-guitane,2999,Sporting Braga,7.7,0,0.06,1,5,0,66.67
928033,Charles Vanhoutte,charles-vanhoutte,4860,Royale Union Saint-Gilloise,7.69,0,0.23,4,22,2,82.82
355174,Patrick Berg,patrick-berg,656,Bodø/Glimt,7.67,2,1.44,3,66,3,86.85
594618,İrfan Can Eğribayat,irfan-can-egribayat,3052,Fenerbahçe,7.67,0,,1,0,0,62.43
1403125,Oyindamola Ajayi,ajayi-oyindamola,33,Tottenham Hotspur,7.6,1,0.12,0,0,0,100.0
151967,Aleš Mandous,ales-mandous,2216,SK Slavia Praha,7.6,0,,0,0,0,82.35
796358,Diadié Samassékou,diadie-samassekou,2569,TSG Hoffenheim,7.6,0,0.01,1,1,0,93.06
254461,Hendrik Bonmann,hendrik-bonmann,43840,Ludogorets,7.58,0,,0,0,0,65.0
32493,Dries Mertens,dries-mertens,3061,Galatasaray,7.56,1,1.41,3,7,5,74.93
355088,Roland Sallai,roland-sallai,3061,Galatasaray,7.55,2,0.16,0,4,0,87.93
913654,Pedro Porro,pedro-porro,33,Tottenham Hotspur,7.52,2,1.29,11,22,3,76.83
1106824,Darío Osorio,dario-osorio,1289,FC Midtjylland,7.51,3,0.65,13,20,0,80.21
328247,Philip Zinckernagel,philip-zinckernagel,656,Bodø/Glimt,7.5,2,2.03,14,9,1,77.23
1082215,Javier Martón,javier-marton-anso,2825,Athletic Club,7.5,1,0.44,0,0,0,100.0
829932,Cristian Romero,cristian-romero,33,Tottenham Hotspur,7.49,0,0.32,3,9,1,88.95
852404,Mattéo Guendouzi,matteo-guendouzi,2699,Lazio,7.48,0,0.16,5,15,2,89.96
188133,Andrija Živković,andrija-zivkovic,3251,PAOK,7.47,1,1.53,6,12,2,80.0
913593,Gabriel Sara,gabriel-sara,3061,Galatasaray,7.46,0,0.72,11,14,1,86.5
